new_id,publish_date,congress,category,issue,mid
3041297633,2024/4/19,118,武装部队,Armed Forces,L000266
3130909381,2024/10/18,118,政府运作和政治,Government Operations and Politics,C000127
3144141572,2024/11/22,118,政府运作和政治,Government Operations and Politics,C000127
2884002140,2023/10/24,118,"科学, 技术, 通信","Science, Technology, Communications",C000127
2957557584,2024/3/15,118,政府运作和政治,Government Operations and Politics,C000127
3031213344,2024/4/3,118,"科学, 技术, 通信","Science, Technology, Communications",C000127
2822873110,2023/6/6,118,交通与公共工程,Transportation and Public Works,C000127
2833795636,2023/7/6,118,"科学, 技术, 通信","Science, Technology, Communications",C000127
2774807398,2023/2/10,118,经济和公共财政,Economics and Public Finance,C000127
3117061311,2024/10/16,118,外交,Foreign Affairs,V000128
2827123830,2023/6/14,118,外交,Foreign Affairs,V000128
2871894553,2023/9/14,118,"公民权利和自由, 少数民族问题","Civil Rights and Liberties, Minority Issues",V000128
2919201132,2024/1/26,118,联盟和集体安全,Alliance and Collective Security,V000128
2919200825,2024/1/26,118,联盟和集体安全,Alliance and Collective Security,V000128
2919200104,2024/1/26,118,联盟和集体安全,Alliance and Collective Security,V000128
2828910453,2023/6/22,118,外交,Foreign Affairs,V000128
2811263767,2023/5/9,118,商业,Commerce,V000128
2809695842,2023/5/5,118,商业,Commerce,V000128
2866416479,2023/9/14,118,政府运作和政治,Government Operations and Politics,V000128
2884002140,2023/10/24,118,"科学, 技术, 通信","Science, Technology, Communications",V000128
2857479071,2023/8/17,118,健康,Health,V000128
2773882296,2023/1/30,118,交通与公共工程,Transportation and Public Works,V000128
3130909381,2024/10/18,118,政府运作和政治,Government Operations and Politics,P000607
3144141572,2024/11/22,118,政府运作和政治,Government Operations and Politics,P000607
2884002140,2023/10/24,118,"科学, 技术, 通信","Science, Technology, Communications",P000607
2857479071,2023/8/17,118,健康,Health,P000607
2810210702,2023/4/28,118,政府运作和政治,Government Operations and Politics,P000607
2785268582,2023/3/3,118,政府运作和政治,Government Operations and Politics,P000607
2857455376,2023/8/18,118,外交,Foreign Affairs,P000607
2822497031,2023/5/26,118,政府运作和政治,Government Operations and Politics,P000607
2790457206,2023/3/17,118,政府运作和政治,Government Operations and Politics,P000607
2826827556,2023/6/9,118,政府运作和政治,Government Operations and Politics,P000607
2860878120,2023/8/25,118,国会政治行动,Congressional political operations,P000607
2824076938,2023/6/2,118,政府运作和政治,Government Operations and Politics,P000607
2890915939,2023/11/10,118,政府运作和政治,Government Operations and Politics,P000607
2794895749,2023/3/24,118,国会政治行动,Congressional political operations,P000607
2834504468,2023/6/30,118,政府运作和政治,Government Operations and Politics,P000607
2829096358,2023/6/16,118,政府运作和政治,Government Operations and Politics,P000607
2833702076,2023/6/23,118,政府运作和政治,Government Operations and Politics,P000607
2836525824,2023/7/7,118,政府运作和政治,Government Operations and Politics,P000607
2876646096,2023/10/6,118,政府运作和政治,Government Operations and Politics,P000607
2878446401,2023/10/13,118,政府运作和政治,Government Operations and Politics,P000607
2854619589,2023/8/11,118,政府运作和政治,Government Operations and Politics,P000607
2781181295,2023/2/24,118,政府运作和政治,Government Operations and Politics,P000607
2821478857,2023/6/1,118,经济和公共财政,Economics and Public Finance,P000607
3119954437,2024/10/24,118,"公民权利和自由, 少数民族问题","Civil Rights and Liberties, Minority Issues",B001243
3112472874,2024/9/9,118,"艺术, 文化, 宗教","Art, Culture, Religion",B001243
2775822385,2023/2/13,118,国际贸易,International Trade,B001243
2776632929,2023/2/13,118,政府运作和政治,Government Operations and Politics,B001243
2857455376,2023/8/18,118,外交,Foreign Affairs,B001243
2810210702,2023/4/28,118,政府运作和政治,Government Operations and Politics,B001243
