"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Margin of Error!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Margin of Error!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Margin of Error!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Margin of Error!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Margin of Error!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Margin of Error!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Margin of Error!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Margin of Error!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Margin of Error!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Margin of Error!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Margin of Error!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Margin of Error!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Margin of Error!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Margin of Error!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Margin of Error!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Margin of Error!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Margin of Error!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Margin of Error!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Margin of Error!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Margin of Error!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Margin of Error!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Margin of Error!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Margin of Error!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Margin of Error!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Margin of Error!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Margin of Error!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Margin of Error!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Margin of Error!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Margin of Error!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Margin of Error!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"5001500US0101","Congressional District 1 (115th Congress), Alabama","713410","3462","343769","3101","21479","761","21687","2199","24958","1858","15014","994","7992","620","4696","1208","3634","912","12679","1434","23832","987","21246","1368","19142","1970","20959","1823","21645","1339","23300","1091","23544","2145","8251","1315","14562","1860","8853","1461","11012","1556","15945","1326","9374","1273","5532","1029","4433","988","369641","2814","21669","912","21274","1794","22880","1929","13574","780","8520","1307","5239","1362","4754","1321","11219","1617","24529","993","22630","1161","23870","1965","20775","1824","22866","1221","23969","841","25406","1918","11723","1443","15981","1981","10022","1282","13766","1663","16407","1456","12217","1427","8733","1525","7618","1242",
"5001500US0102","Congressional District 2 (115th Congress), Alabama","673776","6626","328474","4155","21092","1296","21345","2058","23661","2362","13221","1301","10058","1422","5226","1410","2959","853","13831","1791","24024","1378","20319","1661","21825","2179","19832","2157","20134","1398","21704","1299","23200","1509","6943","1013","11554","1254","6758","1035","9615","1234","13240","1425","8848","1084","5353","843","3732","755","345302","4207","19313","1402","19945","1984","20698","2335","12688","1284","10712","1593","6285","1737","3830","943","12370","1923","21619","1407","21562","1587","22997","2354","20687","2021","21905","1465","22764","1142","25923","1965","8795","1210","12111","1538","6388","932","10195","1138","16997","1456","11983","1190","7655","1074","7880","1072",
"5001500US0103","Congressional District 3 (115th Congress), Alabama","710488","4658","346742","2755","21301","1284","22945","2503","24502","2438","12872","1552","11286","1604","7198","1607","5424","1499","15010","2047","22041","1746","20287","1483","21852","2167","21769","2180","23661","1967","20710","1016","22428","1868","10108","1699","11776","1550","7240","1299","9416","1314","15884","1526","9428","1211","5463","851","4141","1037","363746","3884","19393","1546","21364","2075","20827","2002","13103","1122","11043","1639","6450","1384","5460","1350","14302","1601","25019","1782","24912","1771","22053","1787","19249","2000","22887","1141","24241","1043","24660","1780","9204","1346","14102","1668","8180","1132","13086","1770","17768","1520","9594","1283","9153","1483","7696","1111",
"5001500US0104","Congressional District 4 (115th Congress), Alabama","685553","5159","332923","3806","20270","1453","23278","2210","21585","1961","12877","1030","10731","1752","4174","1203","3570","974","11811","1516","21088","1651","20022","1199","18071","2020","22832","2332","21032","1184","22823","1222","22972","2021","9317","1366","12714","1469","6753","1148","11372","1373","16537","1590","9497","1054","6389","1010","3208","756","352630","3889","21661","1550","21487","2126","22349","2104","13923","1464","9328","1905","3469","1003","4362","1198","12649","1990","20796","1451","18286","1343","19507","1944","22202","1534","22145","1184","22230","1136","23976","2025","9310","1196","14790","1826","8222","1230","13930","1411","17406","1591","12479","1213","9601","1339","8522","1393",
"5001500US0105","Congressional District 5 (115th Congress), Alabama","718713","200","353533","1531","21039","869","22442","2328","23188","2299","14620","869","9218","852","3202","1022","6043","1521","14823","1756","25075","1180","23413","980","22923","2158","20894","1875","22744","776","25046","827","24962","2001","10271","1529","12426","1539","6951","970","11201","1178","13632","1306","9144","967","5695","828","4581","845","365180","1531","19779","813","19451","2028","21802","1806","14106","771","9215","1504","4679","1220","6318","1426","13308","1836","23506","1228","22639","932","22731","2403","21802","2173","23532","806","26724","959","26327","1717","9823","1467","13885","1479","8336","1163","11252","1549","17628","1734","11635","1236","9766","1248","6936","923",
"5001500US0106","Congressional District 6 (115th Congress), Alabama","700401","8862","333957","5675","21682","1640","21334","1782","23391","2012","14584","934","8743","1424","3316","1309","3897","1113","11952","1512","19905","1760","21511","2017","25475","2445","21105","2270","24496","1322","21627","1427","22136","2125","8799","1303","12745","1847","7666","1049","9763","1281","12403","1342","8293","979","4432","876","4702","739","366444","5087","20428","1524","21908","1739","26809","2134","14241","1076","9294","1362","6092","1531","3722","1082","12893","1616","21693","1519","23260","1898","22621","2553","24256","2389","24446","1334","23269","1513","23545","2081","9293","1453","15506","1453","8587","1378","11714","1176","14590","1495","11575","1371","8169","1407","8533","1199",
"5001500US0107","Congressional District 7 (115th Congress), Alabama","672406","12110","320498","7039","20522","1978","20911","2281","21470","2827","12724","1421","13906","1827","4829","1243","5912","1644","18538","2630","25146","2165","21668","2096","18230","2552","16705","2087","17972","1866","19261","1877","19320","1828","8472","1546","12551","1634","8739","1318","8677","1169","10515","1403","6685","863","4537","854","3208","814","351908","6766","19269","1934","19746","2446","16489","2066","13891","1802","14692","2148","6929","1495","6515","1742","12772","1827","25422","1951","23428","2012","24359","2068","17283","2246","20902","1555","22295","1608","21413","2116","10828","1645","15525","1621","9352","1326","11672","1643","13243","1469","10478","1413","7927","1253","7478","1138",
"5001500US0200","Congressional District (at Large) (115th Congress), Alaska","739795","*****","385776","2177","26064","1147","27390","1842","25234","1565","15373","1214","10731","1466","5167","1298","7294","1642","17918","2104","33805","1247","29715","1308","28346","2200","21871","2195","22454","854","24117","1220","25189","1569","10980","1174","12589","1140","7785","1203","9857","1146","11896","1159","5770","829","3728","666","2503","561","354019","2177","26855","1276","27101","2014","23512","1912","13652","1197","8002","1154","4931","1104","4427","952","14583","1320","28902","1321","25727","1375","27420","2057","19487","1720","19454","897","23027","1371","23814","1522","9336","1401","12287","1213","6495","1024","10367","1281","10438","1235","6322","1032","4343","637","3537","815",
"5001500US0401","Congressional District 1 (115th Congress), Arizona","765810","9540","386962","7167","22939","1543","22859","2024","30957","2764","17206","1759","13244","1683","5921","1638","5790","1296","16634","2145","27621","2112","23920","1807","23919","2120","22421","2121","21244","1670","19460","1527","23679","2025","8289","1269","14751","1713","9824","1450","13014","1544","16952","1696","12687","1506","8605","1297","5026","942","378848","5073","21366","1705","25093","1976","26521","2097","15638","1539","15602","1976","6762","1606","5114","1176","13186","1869","21605","2077","20657","1645","22673","1996","19985","2320","20457","1756","20979","1781","25808","2024","9970","1382","15312","1756","9699","1465","14919","1709","17872","1833","14070","1638","8196","1105","7364","1556",
