congress,state_code,district,high_edu_share,foreign_born_ratio,white_ratio,black_or_african_american_ratio,asian_ratio,american_indian_and_alaska_native_ratio,native_hawaiian_and_other_pacific_islander_ratio,white_collar_share,blue_collar_share,agriculture_share,median_household_income_that_year
115,AK,99,0.29486800273860964,0.08053638119375887,0.6426954989497256,0.03202203037706306,0.06482795875802937,0.14981996746620202,0.011364490232752721,0.5926042814270265,0.2175110857602812,0.011766902979510706,73181
115,AK,At Large,0.29486800273860964,0.08053638119375887,0.6426954989497256,0.03202203037706306,0.06482795875802937,0.14981996746620202,0.011364490232752721,0.5926042814270265,0.2175110857602812,0.011766902979510706,73181
116,AK,99,0.30194108970412636,0.07980096918166346,0.6421628197855225,0.03082653835375814,0.05970651156114798,0.15794517083706403,0.01356444237880103,0.578963406516356,0.2384330687462834,0.009683116821641899,75463
116,AK,At Large,0.30194108970412636,0.07980096918166346,0.6421628197855225,0.03082653835375814,0.05970651156114798,0.15794517083706403,0.01356444237880103,0.578963406516356,0.2384330687462834,0.009683116821641899,75463
117,AK,99,0.3168584108463923,0.07783974967536365,0.5950782128086773,0.03014821422725636,0.06378899728287557,0.1334453192348403,0.01766062679368405,0.5880378041280301,0.23149383350615163,0.008587930844947814,77845
117,AK,At Large,0.3168584108463923,0.07783974967536365,0.5950782128086773,0.03014821422725636,0.06378899728287557,0.1334453192348403,0.01766062679368405,0.5880378041280301,0.23149383350615163,0.008587930844947814,77845
118,AK,99,0.3249594682884729,0.07560505694114646,0.5956591574107657,0.02866352334177795,0.059080509294988044,0.1346389312331778,0.01451583434005176,0.5918677853286166,0.22442428086017502,0.009959446564885496,86631
118,AK,At Large,0.3249594682884729,0.07560505694114646,0.5956591574107657,0.02866352334177795,0.059080509294988044,0.1346389312331778,0.01451583434005176,0.5918677853286166,0.22442428086017502,0.009959446564885496,86631
115,AL,1,0.2471377877078617,0.032317624562906475,0.671731912236939,0.2769472184193802,0.014938869898009178,0.009582461945916587,1.833763077810347e-4,0.5582842820668124,0.24968795697989205,0.004341831834746032,47984
115,AL,2,0.22852998887163617,0.026721690541742053,0.6373690914551245,0.3144201707525272,0.011190193342988894,0.0038945245869141014,1.4794015524839893e-4,0.5604356246040431,0.2659300668087312,0.007028235327996314,46579
