"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","510229","2650","5066","1329","0","208","590","758","58","98","0","208","110","128","233","265","366","459","1084","639","807","445","3595","1144","6610","1515","9885","1838","13682","2410","7664","1810","142151","7359","26706","3140","30885","3459","74367","5427","48790","3935","87046","5235","38776","3800","8127","1534","3631","995",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","498956","4690","6054","1185","14","23","272","288","0","208","0","208","463","293","451","312","738","453","1779","659","1991","642","5277","1173","6230","1127","12321","2071","11577","1813","10344","1613","129000","6493","29078","2926","33507","3184","73398","4455","46958","3190","77269","3868","38378","3603","8338","1564","5519","1420",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","491337","4250","6656","1688","49","89","0","208","0","208","358","299","159","75","67","79","846","422","1719","790","2388","724","5132","1119","8652","1626","10110","1742","12402","1896","11503","2317","131774","6682","30876","3239","37246","3487","70156","4225","43287","3460","74869","4556","30965","3283","6397","1505","5726","1268",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","498953","4000","11340","2255","116","118","0","208","221","324","215","256","332","426","713","467","859","345","2449","1007","3029","1027","7187","1468","11659","1841","12604","2085","14713","2144","11043","1809","129488","5055","32755","2728","37857","3429","72272","4209","54616","3683","58820","4569","25919","2302","5686","1057","5060","1028",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","516959","2202","8381","1807","108","137","0","208","0","208","0","208","368","304","70","83","150","126","2155","1024","1630","761","3996","1143","5623","1539","8982","2118","8771","1723","9004","2077","103500","6268","24947","2967","32112","2945","67728","4649","45774","3935","114421","5185","62199","4159","8533","1521","8507","1956",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","488034","6324","4345","1169","255","216","135","216","0","208","100","143","386","310","242","256","305","324","2280","860","1004","495","2751","834","6391","1662","6732","1884","8970","1944","8905","1459","105271","5235","16763","2456","28858","3140","60944","3950","32097","2943","120799","5590","56470","4521","16039","2487","7992","1510",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","470456","8523","7563","1239","0","208","788","660","187","223","209","316","172","181","127","145","426","269","2494","831","938","408","3686","1317","5341","1143","8123","1329","13583","2132","9839","1577","133102","6989","21744","2210","28376","3111","68438","4529","40015","3125","76092","4379","33970","3398","8770","1721","6473","1534",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","489218","1732","5001","1476","34","46","20","39","0","170","519","432","901","536","322","300","449","373","875","513","662","390","2167","545","2323","692","4331","1076","6896","1221","8169","1978","116008","5660","26447","2672","33863","3047","82215","4669","48370","4214","94168","4883","39551","3585","9379","1656","6548","1327",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","598630","14412","8214","2446","262","358","116","136","0","228","51","56","288","256","465","396","700","536","4902","2094","536","732","3418","1196","4398","1894","3494","1008","4133","1356","9131","1993","72583","5233","15759","2334","33167","3338","76683","5965","45165","3260","193116","8465","77737","5126","29888","3035","14424","2052",
