"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","510408","3128","5281","1190","0","216","0","216","92","145","312","302","208","212","838","707","522","393","1376","990","1777","696","4139","1267","5948","1362","10382","2342","13964","2531","9259","1953","145887","7018","23517","2864","33425","3953","76697","5656","46971","4004","77910","4845","36556","3181","9820","1884","5527","1571",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","470899","5458","7621","1552","321","437","280","232","170","146","223","200","407","263","318","217","672","288","1286","413","1450","454","4795","835","9133","1566","12354","2032","12976","2207","8975","1587","132839","5451","30599","3042","26543","2659","67837","4540","42593","2995","66607","4635","31860","3058","5855","1168","5185","1409",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","500335","4754","6892","1328","0","216","38","69","18","32","937","814","523","363","263","291","631","491","2413","789","1443","591","6450","1582","9036","1880","13502","2460","15681","2350","10783","2115","124739","6355","26965","2618","34020","2935","74408","5504","45243","4034","75017","5283","37008","4139","6219","1495","8106","1697",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","488670","4485","9316","1891","164","165","28","56","123","136","391","325","1897","939","879","572","596","434","3557","968","2585","865","7518","1552","12045","2258","13209","2172","14384","2641","7836","1413","142849","6407","29310","2967","32392","2807","64446","5064","49900","4261","57904","4362","26986","3585","6147","1315","4208","1031",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","537863","2184","9214","2185","287","291","63","105","272","264","1121","1012","776","831","373","369","1274","683","2186","910","1342","600","4733","1607","7522","1540","10559","1989","11205","1942","8233","1629","109354","6062","24397","3061","34300","3984","73565","6427","43826","4073","116268","6785","61111","4690","8169","1778","7713","1621",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","501802","6755","6383","1714","0","216","41","67","0","216","201","231","90","139","155","160","970","540","826","519","1016","526","3015","911","3921","1114","5481","1400","8111","2034","8709","2306","107991","6272","21102","2870","28069","2896","67201","5371","39305","3269","124533","5568","50621","3531","15193","2236","8868","1520",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","441231","8541","7099","1742","271","370","0","216","71","121","243","239","183","164","172","283","220","210","1653","750","1071","617","2981","920","6452","1536","10263","1847","17621","3336","11871","2014","139100","7152","20636","2913","26486","3321","66273","5621","35190","3394","54037","3694","27372","2883","6463","1532","5503","1789",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","485779","2439","4674","1215","0","184","30","40","151","140","185","170","762","602","322","338","612","418","516","265","895","418","2401","631","3172","897","4044","1063","7497","1356","7229","1458","109305","5552","26168","3364","34890","3270","83360","5571","40276","3063","101422","5224","39120","2995","12444","1969","6304","1679",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","527907","7324","6124","1457","0","224","41","69","112","107","219","159","674","337","359","280","2158","659","3630","1179","1182","493","6151","1422","6397","1729","9529","1911","11380","1581","10290","1686","115271","6311","23625","2620","35232","3496","100371","5637","52930","4023","84029","4893","42172","3740","7099","1409","8932","1685",
