"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","50663","1500",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","50494","1061",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","51925","1924",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","47531","1703",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","59950","2015",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","69072","3443",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","38023","1961",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","75463","2694",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","56117","2193",
"5001600US0402","Congressional District 2 (116th Congress), Arizona","54835","2025",
"5001600US0403","Congressional District 3 (116th Congress), Arizona","54583","1795",
"5001600US0404","Congressional District 4 (116th Congress), Arizona","55040","1984",
"5001600US0405","Congressional District 5 (116th Congress), Arizona","82540","3286",
"5001600US0406","Congressional District 6 (116th Congress), Arizona","76615","1931",
"5001600US0407","Congressional District 7 (116th Congress), Arizona","49066","1799",
"5001600US0408","Congressional District 8 (116th Congress), Arizona","73632","3810",
"5001600US0409","Congressional District 9 (116th Congress), Arizona","65379","1951",
"5001600US0501","Congressional District 1 (116th Congress), Arkansas","43193","1594",
"5001600US0502","Congressional District 2 (116th Congress), Arkansas","53600","2407",
"5001600US0503","Congressional District 3 (116th Congress), Arkansas","54310","2079",
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","43824","1702",
"5001600US0601","Congressional District 1 (116th Congress), California","61433","2217",
"5001600US0602","Congressional District 2 (116th Congress), California","80051","3101",
"5001600US0603","Congressional District 3 (116th Congress), California","73191","2916",
"5001600US0604","Congressional District 4 (116th Congress), California","86374","2116",
"5001600US0605","Congressional District 5 (116th Congress), California","85856","2759",
"5001600US0606","Congressional District 6 (116th Congress), California","64687","2996",
"5001600US0607","Congressional District 7 (116th Congress), California","77786","2663",
"5001600US0608","Congressional District 8 (116th Congress), California","56140","3014",
"5001600US0609","Congressional District 9 (116th Congress), California","72237","2186",
"5001600US0610","Congressional District 10 (116th Congress), California","69647","2710",
"5001600US0611","Congressional District 11 (116th Congress), California","103580","3988",
"5001600US0612","Congressional District 12 (116th Congress), California","127290","5902",
"5001600US0613","Congressional District 13 (116th Congress), California","91514","3010",
"5001600US0614","Congressional District 14 (116th Congress), California","125980","6796",
"5001600US0615","Congressional District 15 (116th Congress), California","125018","3027",
"5001600US0616","Congressional District 16 (116th Congress), California","50401","2555",
"5001600US0617","Congressional District 17 (116th Congress), California","147671","4264",
"5001600US0618","Congressional District 18 (116th Congress), California","149375","4909",
"5001600US0619","Congressional District 19 (116th Congress), California","107240","5228",
"5001600US0620","Congressional District 20 (116th Congress), California","80461","2187",
"5001600US0621","Congressional District 21 (116th Congress), California","46037","1798",
"5001600US0622","Congressional District 22 (116th Congress), California","66532","2542",
"5001600US0623","Congressional District 23 (116th Congress), California","63550","2736",
"5001600US0624","Congressional District 24 (116th Congress), California","76308","2721",
"5001600US0625","Congressional District 25 (116th Congress), California","84670","3098",
"5001600US0626","Congressional District 26 (116th Congress), California","91602","2218",
"5001600US0627","Congressional District 27 (116th Congress), California","90792","1864",
"5001600US0628","Congressional District 28 (116th Congress), California","74431","3026",
"5001600US0629","Congressional District 29 (116th Congress), California","60970","1539",
"5001600US0630","Congressional District 30 (116th Congress), California","89460","3785",
"5001600US0631","Congressional District 31 (116th Congress), California","70554","3148",
"5001600US0632","Congressional District 32 (116th Congress), California","71136","2572",
"5001600US0633","Congressional District 33 (116th Congress), California","117012","5000",
"5001600US0634","Congressional District 34 (116th Congress), California","52043","1132",
"5001600US0635","Congressional District 35 (116th Congress), California","73069","3625",
"5001600US0636","Congressional District 36 (116th Congress), California","58728","3542",
"5001600US0637","Congressional District 37 (116th Congress), California","69573","2946",
"5001600US0638","Congressional District 38 (116th Congress), California","79573","3166",
"5001600US0639","Congressional District 39 (116th Congress), California","96431","3496",
"5001600US0640","Congressional District 40 (116th Congress), California","51774","1758",
"5001600US0641","Congressional District 41 (116th Congress), California","69984","2910",
"5001600US0642","Congressional District 42 (116th Congress), California","90651","4748",
"5001600US0643","Congressional District 43 (116th Congress), California","66670","2853",
"5001600US0644","Congressional District 44 (116th Congress), California","59030","1892",
"5001600US0645","Congressional District 45 (116th Congress), California","115427","3441",
"5001600US0646","Congressional District 46 (116th Congress), California","71800","2670",
"5001600US0647","Congressional District 47 (116th Congress), California","72493","2251",
"5001600US0648","Congressional District 48 (116th Congress), California","100604","2589",
"5001600US0649","Congressional District 49 (116th Congress), California","100037","3077",
"5001600US0650","Congressional District 50 (116th Congress), California","78346","4093",
"5001600US0651","Congressional District 51 (116th Congress), California","52471","1982",
"5001600US0652","Congressional District 52 (116th Congress), California","106524","4446",
"5001600US0653","Congressional District 53 (116th Congress), California","82083","2672",
"5001600US0801","Congressional District 1 (116th Congress), Colorado","77507","2381",
"5001600US0802","Congressional District 2 (116th Congress), Colorado","87585","2225",
"5001600US0803","Congressional District 3 (116th Congress), Colorado","59973","1781",
"5001600US0804","Congressional District 4 (116th Congress), Colorado","83609","2729",
"5001600US0805","Congressional District 5 (116th Congress), Colorado","71244","1829",
"5001600US0806","Congressional District 6 (116th Congress), Colorado","87312","2967",
"5001600US0807","Congressional District 7 (116th Congress), Colorado","77164","1984",
"5001600US0901","Congressional District 1 (116th Congress), Connecticut","75502","2214",
"5001600US0902","Congressional District 2 (116th Congress), Connecticut","80280","2312",
"5001600US0903","Congressional District 3 (116th Congress), Connecticut","70574","2312",
"5001600US0904","Congressional District 4 (116th Congress), Connecticut","101646","2482",
"5001600US0905","Congressional District 5 (116th Congress), Connecticut","73616","3908",
"5001600US1000","Congressional District (at Large) (116th Congress), Delaware","70176","1623",
"5001600US1198","Delegate District (at Large) (116th Congress), District of Columbia","92266","2497",
"5001600US1201","Congressional District 1 (116th Congress), Florida","58358","2982",
"5001600US1202","Congressional District 2 (116th Congress), Florida","54087","1870",
"5001600US1203","Congressional District 3 (116th Congress), Florida","56005","2406",
"5001600US1204","Congressional District 4 (116th Congress), Florida","77026","2398",
"5001600US1205","Congressional District 5 (116th Congress), Florida","43667","2088",
"5001600US1206","Congressional District 6 (116th Congress), Florida","55281","1905",
"5001600US1207","Congressional District 7 (116th Congress), Florida","66748","2727",
"5001600US1208","Congressional District 8 (116th Congress), Florida","58740","2696",
"5001600US1209","Congressional District 9 (116th Congress), Florida","54878","2089",
"5001600US1210","Congressional District 10 (116th Congress), Florida","61737","1615",
"5001600US1211","Congressional District 11 (116th Congress), Florida","52749","1515",
"5001600US1212","Congressional District 12 (116th Congress), Florida","56761","1663",
"5001600US1213","Congressional District 13 (116th Congress), Florida","56612","1474",
"5001600US1214","Congressional District 14 (116th Congress), Florida","60022","2765",
"5001600US1215","Congressional District 15 (116th Congress), Florida","57496","2051",
"5001600US1216","Congressional District 16 (116th Congress), Florida","68071","2428",
"5001600US1217","Congressional District 17 (116th Congress), Florida","53693","1675",
"5001600US1218","Congressional District 18 (116th Congress), Florida","68744","2641",
"5001600US1219","Congressional District 19 (116th Congress), Florida","67598","2548",
"5001600US1220","Congressional District 20 (116th Congress), Florida","49223","2522",
"5001600US1221","Congressional District 21 (116th Congress), Florida","65394","1679",
"5001600US1222","Congressional District 22 (116th Congress), Florida","69452","3024",
"5001600US1223","Congressional District 23 (116th Congress), Florida","69198","2872",
"5001600US1224","Congressional District 24 (116th Congress), Florida","44275","1973",
"5001600US1225","Congressional District 25 (116th Congress), Florida","56270","2257",
"5001600US1226","Congressional District 26 (116th Congress), Florida","65584","2421",
"5001600US1227","Congressional District 27 (116th Congress), Florida","60384","2657",
"5001600US1301","Congressional District 1 (116th Congress), Georgia","55542","2064",
"5001600US1302","Congressional District 2 (116th Congress), Georgia","39728","1923",
"5001600US1303","Congressional District 3 (116th Congress), Georgia","66614","2028",
"5001600US1304","Congressional District 4 (116th Congress), Georgia","60128","2338",
"5001600US1305","Congressional District 5 (116th Congress), Georgia","60247","2270",
"5001600US1306","Congressional District 6 (116th Congress), Georgia","100110","3936",
"5001600US1307","Congressional District 7 (116th Congress), Georgia","80926","2394",
"5001600US1308","Congressional District 8 (116th Congress), Georgia","50745","1704",
"5001600US1309","Congressional District 9 (116th Congress), Georgia","59728","2100",
"5001600US1310","Congressional District 10 (116th Congress), Georgia","61151","2439",
"5001600US1311","Congressional District 11 (116th Congress), Georgia","76640","2468",
"5001600US1312","Congressional District 12 (116th Congress), Georgia","50217","1524",
"5001600US1313","Congressional District 13 (116th Congress), Georgia","66203","1901",
"5001600US1314","Congressional District 14 (116th Congress), Georgia","56150","1997",
"5001600US1501","Congressional District 1 (116th Congress), Hawaii","86674","2571",
"5001600US1502","Congressional District 2 (116th Congress), Hawaii","79985","3483",
"5001600US1601","Congressional District 1 (116th Congress), Idaho","62886","2280",
"5001600US1602","Congressional District 2 (116th Congress), Idaho","58708","1810",
"5001600US1701","Congressional District 1 (116th Congress), Illinois","56680","1668",
"5001600US1702","Congressional District 2 (116th Congress), Illinois","51472","1971",
"5001600US1703","Congressional District 3 (116th Congress), Illinois","75411","2852",
"5001600US1704","Congressional District 4 (116th Congress), Illinois","59548","2230",
"5001600US1705","Congressional District 5 (116th Congress), Illinois","94144","3697",
"5001600US1706","Congressional District 6 (116th Congress), Illinois","105292","3210",
"5001600US1707","Congressional District 7 (116th Congress), Illinois","64312","3406",
"5001600US1708","Congressional District 8 (116th Congress), Illinois","77991","2658",
"5001600US1709","Congressional District 9 (116th Congress), Illinois","78569","3278",
"5001600US1710","Congressional District 10 (116th Congress), Illinois","84608","3130",
"5001600US1711","Congressional District 11 (116th Congress), Illinois","81598","2281",
"5001600US1712","Congressional District 12 (116th Congress), Illinois","53008","2115",
"5001600US1713","Congressional District 13 (116th Congress), Illinois","53578","1812",
"5001600US1714","Congressional District 14 (116th Congress), Illinois","100011","4132",
"5001600US1715","Congressional District 15 (116th Congress), Illinois","56268","1279",
"5001600US1716","Congressional District 16 (116th Congress), Illinois","62868","1698",
"5001600US1717","Congressional District 17 (116th Congress), Illinois","50346","1124",
"5001600US1718","Congressional District 18 (116th Congress), Illinois","67284","2008",
"5001600US1801","Congressional District 1 (116th Congress), Indiana","61104","1911",
