"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_002E","B05012_002M","B05012_003E","B05012_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native","Margin of Error!!Total:!!Native","Estimate!!Total:!!Foreign-Born","Margin of Error!!Total:!!Foreign-Born",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","735373","2819","712995","4528","22378","3389",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","690107","6886","670896","7121","19211","2420",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","742147","5538","716780","7014","25367","2946",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","708532","6011","681986","6236","26546","2356",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","773212","216","737420","4081","35792","4081",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","723686","10486","695654","10652","28032","3058",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","666820","12561","647632","12544","19188","3084",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","732673","*****","673612","4446","59061","4446",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","774354","9460","724872","10084","49482","5015",
"5001600US0402","Congressional District 2 (116th Congress), Arizona","754647","11777","680499","11305","74148","5307",
"5001600US0403","Congressional District 3 (116th Congress), Arizona","780337","17156","631337","16186","149000","7919",
"5001600US0404","Congressional District 4 (116th Congress), Arizona","848908","14318","780471","13895","68437","7493",
"5001600US0405","Congressional District 5 (116th Congress), Arizona","891118","12021","804524","12517","86594","8042",
"5001600US0406","Congressional District 6 (116th Congress), Arizona","786168","18892","686834","19290","99334","6835",
"5001600US0407","Congressional District 7 (116th Congress), Arizona","791774","17716","591496","16154","200278","9370",
"5001600US0408","Congressional District 8 (116th Congress), Arizona","863775","15497","779447","15384","84328","6201",
"5001600US0409","Congressional District 9 (116th Congress), Arizona","785235","16402","680902","15921","104333","7473",
"5001600US0501","Congressional District 1 (116th Congress), Arkansas","714143","3986","702204","4417","11939","1851",
"5001600US0502","Congressional District 2 (116th Congress), Arkansas","771880","2385","742549","4128","29331","3069",
"5001600US0503","Congressional District 3 (116th Congress), Arkansas","851053","4247","770452","5891","80601","4827",
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","688815","4620","667698","5232","21117","2236",
"5001600US0601","Congressional District 1 (116th Congress), California","701063","6859","658722","7527","42341","3580",
"5001600US0602","Congressional District 2 (116th Congress), California","718090","6014","615500","7913","102590","7743",
"5001600US0603","Congressional District 3 (116th Congress), California","762445","7011","618911","8854","143534","7006",
"5001600US0604","Congressional District 4 (116th Congress), California","782605","8401","705154","11293","77451","6529",
"5001600US0605","Congressional District 5 (116th Congress), California","710312","8461","559543","10217","150769","6346",
"5001600US0606","Congressional District 6 (116th Congress), California","784724","11037","606695","12383","178029","8204",
"5001600US0607","Congressional District 7 (116th Congress), California","789764","12031","627735","12112","162029","9585",
"5001600US0608","Congressional District 8 (116th Congress), California","759705","11082","651545","11898","108160","7853",
"5001600US0609","Congressional District 9 (116th Congress), California","808663","10872","623089","12285","185574","9587",
"5001600US0610","Congressional District 10 (116th Congress), California","774782","6520","604284","11105","170498","8485",
"5001600US0611","Congressional District 11 (116th Congress), California","771855","10183","575114","10958","196741","8510",
"5001600US0612","Congressional District 12 (116th Congress), California","718792","8342","476464","10152","242328","10136",
"5001600US0613","Congressional District 13 (116th Congress), California","761542","4010","549426","9618","212116","8315",
"5001600US0614","Congressional District 14 (116th Congress), California","719826","10814","456601","11881","263225","9441",
"5001600US0615","Congressional District 15 (116th Congress), California","784297","6867","493420","10801","290877","9779",
"5001600US0616","Congressional District 16 (116th Congress), California","751686","13839","577981","13698","173705","8697",
"5001600US0617","Congressional District 17 (116th Congress), California","771306","10559","387137","10434","384169","9344",
"5001600US0618","Congressional District 18 (116th Congress), California","721174","13755","489814","13003","231360","9469",
"5001600US0619","Congressional District 19 (116th Congress), California","722407","13915","459944","13625","262463","10827",
"5001600US0620","Congressional District 20 (116th Congress), California","748911","7204","555449","8117","193462","7249",
"5001600US0621","Congressional District 21 (116th Congress), California","718991","17274","522802","15244","196189","9190",
"5001600US0622","Congressional District 22 (116th Congress), California","810279","15745","665604","15880","144675","8286",
"5001600US0623","Congressional District 23 (116th Congress), California","770688","17141","654392","15201","116296","7265",
"5001600US0624","Congressional District 24 (116th Congress), California","740591","2208","612474","6662","128117","6434",
"5001600US0625","Congressional District 25 (116th Congress), California","738117","11909","583550","12842","154567","7190",
"5001600US0626","Congressional District 26 (116th Congress), California","717217","3557","556247","7910","160970","7489",
"5001600US0627","Congressional District 27 (116th Congress), California","688082","8963","435004","10102","253078","9048",
"5001600US0628","Congressional District 28 (116th Congress), California","694675","15901","432897","14659","261778","9140",
"5001600US0629","Congressional District 29 (116th Congress), California","691770","17797","405040","11875","286730","12217",
"5001600US0630","Congressional District 30 (116th Congress), California","764996","21719","520142","16328","244854","11936",
"5001600US0631","Congressional District 31 (116th Congress), California","758538","12527","597793","13797","160745","8432",
"5001600US0632","Congressional District 32 (116th Congress), California","689035","10216","444350","11725","244685","7534",
"5001600US0633","Congressional District 33 (116th Congress), California","686798","14006","530136","12186","156662","8223",
"5001600US0634","Congressional District 34 (116th Congress), California","696606","19568","390886","13112","305720","12308",
"5001600US0635","Congressional District 35 (116th Congress), California","748055","9822","532094","12391","215961","10191",
"5001600US0636","Congressional District 36 (116th Congress), California","761959","10299","587404","12305","174555","9563",
"5001600US0637","Congressional District 37 (116th Congress), California","700635","21196","482216","16861","218419","10486",
"5001600US0638","Congressional District 38 (116th Congress), California","691366","13111","494365","11472","197001","7727",
