"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B24010_001E","Estimate!!Total:"
"B24010_001M","Margin of Error!!Total:"
"B24010_002E","Estimate!!Total:!!Male:"
"B24010_002M","Margin of Error!!Total:!!Male:"
"B24010_003E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:"
"B24010_003M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:"
"B24010_004E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"B24010_004M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"B24010_005E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:"
"B24010_005M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:"
"B24010_006E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Top executives"
"B24010_006M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Top executives"
"B24010_007E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Advertising, promotions, marketing, sales, public relations and fundraising managers"
"B24010_007M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Advertising, promotions, marketing, sales, public relations and fundraising managers"
"B24010_008E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Financial managers"
"B24010_008M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Financial managers"
"B24010_009E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Human resources managers"
"B24010_009M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Human resources managers"
"B24010_010E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Operations specialties managers except financial managers and human resources managers"
"B24010_010M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Operations specialties managers except financial managers and human resources managers"
"B24010_011E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Farmers, ranchers, and other agricultural managers"
"B24010_011M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Farmers, ranchers, and other agricultural managers"
"B24010_012E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Other management occupations except farmers, ranchers, and other agricultural managers"
"B24010_012M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations:!!Other management occupations except farmers, ranchers, and other agricultural managers"
"B24010_013E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations:"
"B24010_013M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations:"
"B24010_014E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations:!!Human resources workers"
"B24010_014M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations:!!Human resources workers"
"B24010_015E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations:!!Other business operations specialists"
"B24010_015M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations:!!Other business operations specialists"
"B24010_016E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations:!!Financial specialists:"
