"GEO_ID","NAME","C24010_001E","C24010_001M","C24010_002E","C24010_002M","C24010_003E","C24010_003M","C24010_004E","C24010_004M","C24010_005E","C24010_005M","C24010_006E","C24010_006M","C24010_007E","C24010_007M","C24010_008E","C24010_008M","C24010_009E","C24010_009M","C24010_010E","C24010_010M","C24010_011E","C24010_011M","C24010_012E","C24010_012M","C24010_013E","C24010_013M","C24010_014E","C24010_014M","C24010_015E","C24010_015M","C24010_016E","C24010_016M","C24010_017E","C24010_017M","C24010_018E","C24010_018M","C24010_019E","C24010_019M","C24010_020E","C24010_020M","C24010_021E","C24010_021M","C24010_022E","C24010_022M","C24010_023E","C24010_023M","C24010_024E","C24010_024M","C24010_025E","C24010_025M","C24010_026E","C24010_026M","C24010_027E","C24010_027M","C24010_028E","C24010_028M","C24010_029E","C24010_029M","C24010_030E","C24010_030M","C24010_031E","C24010_031M","C24010_032E","C24010_032M","C24010_033E","C24010_033M","C24010_034E","C24010_034M","C24010_035E","C24010_035M","C24010_036E","C24010_036M","C24010_037E","C24010_037M","C24010_038E","C24010_038M","C24010_039E","C24010_039M","C24010_040E","C24010_040M","C24010_041E","C24010_041M","C24010_042E","C24010_042M","C24010_043E","C24010_043M","C24010_044E","C24010_044M","C24010_045E","C24010_045M","C24010_046E","C24010_046M","C24010_047E","C24010_047M","C24010_048E","C24010_048M","C24010_049E","C24010_049M","C24010_050E","C24010_050M","C24010_051E","C24010_051M","C24010_052E","C24010_052M","C24010_053E","C24010_053M","C24010_054E","C24010_054M","C24010_055E","C24010_055M","C24010_056E","C24010_056M","C24010_057E","C24010_057M","C24010_058E","C24010_058M","C24010_059E","C24010_059M","C24010_060E","C24010_060M","C24010_061E","C24010_061M","C24010_062E","C24010_062M","C24010_063E","C24010_063M","C24010_064E","C24010_064M","C24010_065E","C24010_065M","C24010_066E","C24010_066M","C24010_067E","C24010_067M","C24010_068E","C24010_068M","C24010_069E","C24010_069M","C24010_070E","C24010_070M","C24010_071E","C24010_071M","C24010_072E","C24010_072M","C24010_073E","C24010_073M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians","Estimate!!Total:!!Male:!!Service occupations:","Margin of Error!!Total:!!Male:!!Service occupations:","Estimate!!Total:!!Male:!!Service occupations:!!Healthcare support occupations","Margin of Error!!Total:!!Male:!!Service occupations:!!Healthcare support occupations","Estimate!!Total:!!Male:!!Service occupations:!!Protective service occupations:","Margin of Error!!Total:!!Male:!!Service occupations:!!Protective service occupations:","Estimate!!Total:!!Male:!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors","Margin of Error!!Total:!!Male:!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors","Estimate!!Total:!!Male:!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors","Margin of Error!!Total:!!Male:!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors","Estimate!!Total:!!Male:!!Service occupations:!!Food preparation and serving related occupations","Margin of Error!!Total:!!Male:!!Service occupations:!!Food preparation and serving related occupations","Estimate!!Total:!!Male:!!Service occupations:!!Building and grounds cleaning and maintenance occupations","Margin of Error!!Total:!!Male:!!Service occupations:!!Building and grounds cleaning and maintenance occupations","Estimate!!Total:!!Male:!!Service occupations:!!Personal care and service occupations","Margin of Error!!Total:!!Male:!!Service occupations:!!Personal care and service occupations","Estimate!!Total:!!Male:!!Sales and office occupations:","Margin of Error!!Total:!!Male:!!Sales and office occupations:","Estimate!!Total:!!Male:!!Sales and office occupations:!!Sales and related occupations","Margin of Error!!Total:!!Male:!!Sales and office occupations:!!Sales and related occupations","Estimate!!Total:!!Male:!!Sales and office occupations:!!Office and administrative support occupations","Margin of Error!!Total:!!Male:!!Sales and office occupations:!!Office and administrative support occupations","Estimate!!Total:!!Male:!!Natural resources, construction, and maintenance occupations:","Margin of Error!!Total:!!Male:!!Natural resources, construction, and maintenance occupations:","Estimate!!Total:!!Male:!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations","Margin of Error!!Total:!!Male:!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations","Estimate!!Total:!!Male:!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations","Margin of Error!!Total:!!Male:!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations","Estimate!!Total:!!Male:!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations","Margin of Error!!Total:!!Male:!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations","Estimate!!Total:!!Male:!!Production, transportation, and material moving occupations:","Margin of Error!!Total:!!Male:!!Production, transportation, and material moving occupations:","Estimate!!Total:!!Male:!!Production, transportation, and material moving occupations:!!Production occupations","Margin of Error!!Total:!!Male:!!Production, transportation, and material moving occupations:!!Production occupations","Estimate!!Total:!!Male:!!Production, transportation, and material moving occupations:!!Transportation occupations","Margin of Error!!Total:!!Male:!!Production, transportation, and material moving occupations:!!Transportation occupations","Estimate!!Total:!!Male:!!Production, transportation, and material moving occupations:!!Material moving occupations","Margin of Error!!Total:!!Male:!!Production, transportation, and material moving occupations:!!Material moving occupations","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Life, physical, and social science occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Community and social service occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Legal occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Educational instruction, and library occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Education, legal, community service, arts, and media occupations:!!Arts, design, entertainment, sports, and media occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health diagnosing and treating practitioners and other technical occupations","Estimate!!Total:!!Female:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians","Margin of Error!!Total:!!Female:!!Management, business, science, and arts occupations:!!Healthcare practitioners and technical occupations:!!Health technologists and technicians","Estimate!!Total:!!Female:!!Service occupations:","Margin of Error!!Total:!!Female:!!Service occupations:","Estimate!!Total:!!Female:!!Service occupations:!!Healthcare support occupations","Margin of Error!!Total:!!Female:!!Service occupations:!!Healthcare support occupations","Estimate!!Total:!!Female:!!Service occupations:!!Protective service occupations:","Margin of Error!!Total:!!Female:!!Service occupations:!!Protective service occupations:","Estimate!!Total:!!Female:!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors","Margin of Error!!Total:!!Female:!!Service occupations:!!Protective service occupations:!!Firefighting and prevention, and other protective service workers including supervisors","Estimate!!Total:!!Female:!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors","Margin of Error!!Total:!!Female:!!Service occupations:!!Protective service occupations:!!Law enforcement workers including supervisors","Estimate!!Total:!!Female:!!Service occupations:!!Food preparation and serving related occupations","Margin of Error!!Total:!!Female:!!Service occupations:!!Food preparation and serving related occupations","Estimate!!Total:!!Female:!!Service occupations:!!Building and grounds cleaning and maintenance occupations","Margin of Error!!Total:!!Female:!!Service occupations:!!Building and grounds cleaning and maintenance occupations","Estimate!!Total:!!Female:!!Service occupations:!!Personal care and service occupations","Margin of Error!!Total:!!Female:!!Service occupations:!!Personal care and service occupations","Estimate!!Total:!!Female:!!Sales and office occupations:","Margin of Error!!Total:!!Female:!!Sales and office occupations:","Estimate!!Total:!!Female:!!Sales and office occupations:!!Sales and related occupations","Margin of Error!!Total:!!Female:!!Sales and office occupations:!!Sales and related occupations","Estimate!!Total:!!Female:!!Sales and office occupations:!!Office and administrative support occupations","Margin of Error!!Total:!!Female:!!Sales and office occupations:!!Office and administrative support occupations","Estimate!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:","Margin of Error!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:","Estimate!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations","Margin of Error!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations","Estimate!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations","Margin of Error!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations","Estimate!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations","Margin of Error!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations","Estimate!!Total:!!Female:!!Production, transportation, and material moving occupations:","Margin of Error!!Total:!!Female:!!Production, transportation, and material moving occupations:","Estimate!!Total:!!Female:!!Production, transportation, and material moving occupations:!!Production occupations","Margin of Error!!Total:!!Female:!!Production, transportation, and material moving occupations:!!Production occupations","Estimate!!Total:!!Female:!!Production, transportation, and material moving occupations:!!Transportation occupations","Margin of Error!!Total:!!Female:!!Production, transportation, and material moving occupations:!!Transportation occupations","Estimate!!Total:!!Female:!!Production, transportation, and material moving occupations:!!Material moving occupations","Margin of Error!!Total:!!Female:!!Production, transportation, and material moving occupations:!!Material moving occupations",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","304338","6666","157724","4256","46583","3762","22534","3269","17771","3134","4763","1295","10072","1923","3685","1407","4828","1171","1559","715","10166","1493","2609","826","1898","840","3570","937","2089","814","3811","1094","3159","1045","652","420","21411","3028","984","550","6567","1604","2734","768","3833","1291","7203","2095","5878","1435","779","405","23355","2834","18465","2682","4890","1674","29674","3391","432","355","18489","2879","10753","1987","36701","3267","16320","2191","11188","2101","9193","1815","146614","5005","60452","4648","16247","2411","11073","2069","5174","1249","3564","1349","1562","680","678","396","1324","894","22912","2634","4048","1225","1705","652","15254","2197","1905","687","17729","2690","12685","2288","5044","1413","31834","3739","6261","1404","2416","908","1504","674","912","568","11378","2383","4787","1253","6992","1550","42899","3616","16967","2576","25932","2738","2134","1244","357","381","1711","1168","66","58","9295","1985","4261","1335","2446","832","2588","1005",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","285238","6211","143232","3917","37572","2324","17050","1680","13108","1417","3942","955","8219","1492","3296","901","4077","999","846","442","7817","1233","2096","691","964","378","3405","784","1352","561","4486","1053","2932","894","1554","713","23598","2665","771","403","6076","1614","2361","761","3715","1428","7825","1874","8066","1513","860","389","20409","2087","14816","1810","5593","1372","22820","2028","1856","774","11007","1474","9957","1442","38833","3614","17328","2765","11636","1894","9869","1689","142006","4297","58645","3567","20202","2307","12409","1920","7793","1638","2661","857","882","501","859","534","920","564","20566","2174","3773","1102","1431","604","14421","1730","941","308","15216","1925","8465","1263","6751","1367","27320","2472","7801","1176","1674","587","837","409","837","466","8740","1682","4213","936","4892","1035","41143","3093","15511","1931","25632","2357","1721","731","958","598","282","210","481","304","13177","1713","8433","1435","2362","877","2382","803",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","312851","7781","164425","5424","49921","4254","23203","2852","16969","2319","6234","1695","10251","1882","4991","1426","3800","1041","1460","700","10877","2255","2342","1106","734","370","5940","1569","1861","1249","5590","1360","3498","991","2092","1053","22139","2951","855","645","6073","1697","4343","1395","1730","818","6033","1595","7476","1799","1702","967","16699","2101","12090","1858","4609","1275","30498","3332","692","387","17689","2523","12117","2249","45168","4493","23658","3329","11790","2273","9720","1735","148426","4548","60004","3845","17330","2329","11104","2231","6226","1508","4007","1022","2552","939","378","276","1077","584","24097","2523","3058","1042","1402","568","18226","2210","1411","672","14570","2175","8045","1497","6525","1515","28745","3202","6035","1563","1586","686","1017","541","569","488","10692","2060","5080","1616","5352","1557","41860","3457","16691","2607","25169","2330","962","662","37","65","327","321","598","587","16855","2100","9923","1711","1955","737","4977","1575",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","293868","7135","161114","4636","38620","3370","18434","2459","14807","2213","3627","1095","8580","1525","3618","903","4646","1159","316","221","6613","1115","1791","669","100","105","3025","728","1697","650","4993","1247","3829","991","1164","642","18958","2131","900","478","4450","977","2328","632","2122","691","5158","1183","7971","1743","479","337","17993","2315","12485","1824","5508","1360","34871","3845","953","620","20267","3044","13651","2191","50672","3546","27737","3252","13038","1838","9897","1640","132754","5082","50400","3559","14303","2275","9238","1956","5065","1246","2127","835","1104","623","427","280","596","383","17157","2163","1681","535","1605","724","12273","1661","1598","729","16813","2182","9788","1704","7025","1498","25690","2455","7861","1428","501","294","194","164","307","257","9002","1678","4435","1268","3891","912","38937","3216","16125","2254","22812","2542","850","442","42","47","662","420","146","146","16877","2525","11685","2335","1655","653","3537","983",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","342119","6683","184265","4611","72302","4617","29182","3269","21197","2924","7985","1433","27155","2696","12106","1864","13026","1747","2023","952","13007","2392","2789","1031","1030","611","6174","1753","3014","1155","2958","943","2326","771","632","466","23027","2905","412","282","7697","1754","5517","1621","2180","765","6991","1407","6284","1619","1643","922","21902","2967","15898","2473","6004","1503","28686","2740","413","360","17159","2286","11114","1557","38348","3281","20745","2727","10345","1778","7258","1635","157854","4460","65767","3196","22976","2477","13837","2145","9139","1866","6803","1272","4125","1205","2277","740","401","325","19852","2243","3329","874","665","369","13620","2009","2238","742","16136","2032","10719","1764","5417","1363","32427","3163","7804","1891","1553","874","1351","832","202","206","11840","2304","4189","1101","7041","1935","42530","3023","17524","2278","25006","2550","1168","551","48","71","681","410","439","308","15962","2269","11082","2149","1823","717","3057","1067",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","339524","7188","177251","5163","71663","4134","36067","2724","24650","2368","11417","1552","14450","1965","7415","1360","6417","1306","618","363","12722","1764","2084","726","2194","690","4940","1072","3504","989","8424","1507","6624","1218","1800","778","20490","2402","547","383","6680","1536","3648","1193","3032","1134","6548","1484","4751","1224","1964","966","25850","2822","19344","2576","6506","1298","25587","2660","196","193","12366","1695","13025","1845","33661","3655","14971","2433","10872","1941","7818","1724","162273","5763","81999","4673","31005","3520","17015","2512","13990","2386","3821","844","1846","584","1101","432","874","480","25548","2618","3832","1005","2671","890","16312","2127","2733","671","21625","2831","14162","2387","7463","1709","23526","3001","5091","1347","898","484","776","485","122","145","8308","1588","3505","1296","5724","1322","45121","3301","17631","2321","27490","2689","1193","641","587","483","304","329","302","275","10434","2217","6211","1431","2063","888","2160","937",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","275529","8838","135370","5316","27927","3053","12792","2277","9831","1958","2961","977","4379","1107","1502","530","1687","599","1190","529","7894","1598","1767","818","1604","897","2903","785","1620","638","2862","751","1966","580","896","483","21169","2867","1201","716","4242","1243","3004","1159","1238","612","8373","2060","6529","1501","824","483","19715","2701","11716","1918","7999","2081","21500","2726","1160","542","11955","2453","8385","1517","45059","4284","17438","2898","13188","2623","14433","2540","140159","5716","51404","4408","16480","2419","9762","1850","6718","1645","2321","953","1055","570","309","193","957","801","18620","2740","4296","1567","315","286","11910","2040","2099","786","13983","2262","9995","2075","3988","1154","34589","3668","10712","2263","2679","937","1733","890","946","504","11149","1792","4568","1326","5481","1777","39760","3488","14889","2444","24871","2730","822","532","54","116","554","450","214","244","13584","2088","7810","1672","1195","604","4579","1415",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","338011","5871","183089","4134","58338","3703","24272","2829","18281","2333","5991","1355","14175","2068","3722","1077","7075","1487","3378","995","14461","1927","2926","905","1816","719","7023","1555","2696","834","5430","1377","3419","1022","2011","929","27452","3195","2502","742","6589","1308","3562","866","3027","1098","7345","1596","7741","1751","3275","1246","25241","2943","13763","2347","11478","1659","36976","2528","2555","512","21090","2445","13331","1714","35082","3294","9346","1765","15124","2192","10612","1754","154922","3993","71251","3637","22941","2282","14965","1977","7976","1277","6245","1352","1266","638","1558","590","3421","1022","28126","2253","5980","1387","1395","562","16970","1738","3781","1099","13939","1967","10973","1823","2966","885","30997","2823","9029","1249","2000","951","1646","930","354","208","8579","1593","3875","1270","7514","1358","40866","3210","13427","1826","27439","2635","1602","597","718","479","683","308","201","148","10206","1704","3816","882","2768","955","3622","1045",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","301393","8795","156750","6093","47780","3640","18561","2695","14555","2400","4006","1062","14245","2147","4842","1114","7141","1857","2262","855","10112","1686","2256","966","610","342","4783","1051","2463","956","4862","1476","3685","1184","1177","750","31371","3066","1068","470","7459","1377","3319","982","4140","1128","10923","2318","9329","1662","2592","729","17683","2729","11599","2144","6084","1458","30572","3403","2236","852","17482","2447","10854","2300","29344","3331","10394","1907","11194","2276","7756","1588","144643","5355","59232","4309","21170","3339","12296","2354","8874","2084","4201","1248","1871","928","874","380","1456","653","21985","2371","2810","806","1246","666","15589","2050","2340","835","11876","1717","8032","1472","3844","1127","32532","3079","9293","1704","1489","583","800","454","689","354","10252","1715","5093","1559","6405","1488","43674","3320","16021","2074","27653","2604","2162","671","666","384","939","455","557","304","7043","1591","2927","1135","2936","1023","1180","442",
