"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"5001500US0101","Congressional District 1 (115th Congress), Alabama","713410","3462","479792","3332","198799","3328","6699","1258","10717","1699","79","127","7077","3016","10247","2472","647","634","9600","2509",
"5001500US0102","Congressional District 2 (115th Congress), Alabama","673776","6626","434984","4336","207087","6283","2427","714","7686","1493","174","216","5410","1778","16008","3045","874","405","15134","3035",
"5001500US0103","Congressional District 3 (115th Congress), Alabama","710488","4658","487936","4455","187176","4274","1287","612","11727","1152","49","85","8383","1807","13930","2882","1207","636","12723","2858",
"5001500US0104","Congressional District 4 (115th Congress), Alabama","685553","5159","594163","5897","49177","3260","6636","1939","3863","888","211","240","16865","4224","14638","2901","2234","1312","12404","2353",
"5001500US0105","Congressional District 5 (115th Congress), Alabama","718713","200","544610","3066","129234","2538","5138","1082","12993","1083","563","542","10506","2722","15669","2615","885","550","14784","2636",
"5001500US0106","Congressional District 6 (115th Congress), Alabama","700401","8862","548436","7530","111541","6479","1437","604","13451","1587","119","156","11631","2945","13786","2358","1897","1113","11889","2113",
"5001500US0107","Congressional District 7 (115th Congress), Alabama","672406","12110","222797","9120","424453","8976","1557","966","6471","1290","386","479","7436","2888","9306","2647","1700","1416","7606","2142",
"5001500US0200","Congressional District (at Large) (115th Congress), Alaska","739795","*****","474856","3312","22107","1923","109948","4628","49385","2179","8830","643","11279","2328","63390","5290","3695","1214","59695","5218",
"5001500US0401","Congressional District 1 (115th Congress), Arizona","765810","9540","509036","8537","17786","2972","173643","4951","12252","1696","3984","1989","20137","3641","28972","4144","4449","1599","24523","4081",
