"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","735510","3622","477507","4442","192547","4981","4642","1556","12129","1136","811","719","9564","2558","38310","5924","17474","3638","20836","4043",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","724401","7738","436219","3610","220309","8513","1854","623","10334","1424","296","204","12877","2562","42512","4382","18309","3251","24203","3010",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","730373","3227","498408","3705","169913","4214","4074","1671","11899","1572","267","220","9793","2160","36019","4609","13660","3377","22359","3451",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","722049","5964","592678","7074","45679","3176","4667","1942","5447","1641","386","394","32977","4245","40215","4239","16568","3131","23647","2618",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","758622","3654","529689","5065","133299","3843","5697","1868","15401","1148","145","82","20510","4291","53881","5374","21544","4106","32337","3441",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","722381","9416","505911","6998","141451","8928","1867","932","13088","1764","496","411","17327","4405","42241","6514","26059","5178","16182","3493",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","715132","12470","263529","7558","395559","11249","1690","1019","9147","1944","244","872","13161","3724","31802","4729","12539","2875","19263","3662",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","733406","*****","436860","4325","21022","2459","98745","4687","43330","2801","10646","1068","19432","3315","103371","6701","20695","4021","82676","5857",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","804256","22081","574043","16223","31910","7619","14310","3262","40755","6042","1019","755","45201","9237","97018","10321","68111","9870","28907","4812",
"5001800US0402","Congressional District 2 (118th Congress), Arizona","833298","6866","486513","8088","25071","4080","152191","4436","13098","2735","2190","869","39918","6115","114317","9272","71772","7397","42545","5208",
"5001800US0403","Congressional District 3 (118th Congress), Arizona","814391","24226","228722","12601","94333","11103","25624","5522","18464","3686","1610","889","143974","16921","301664","18163","260731","16961","40933","7070",
"5001800US0404","Congressional District 4 (118th Congress), Arizona","814381","17786","487459","16150","43657","6806","19454","3832","48726","6459","4396","1901","59143","9265","151546","13111","109319","13146","42227","5937",
"5001800US0405","Congressional District 5 (118th Congress), Arizona","857744","16572","596525","17294","27403","6360","12836","3343","55071","7231","788","650","46322","8708","118799","9615","71953","8451","46846","6745",
"5001800US0406","Congressional District 6 (118th Congress), Arizona","813933","16423","545839","12183","30107","4166","13373","4247","23965","2299","2850","1444","52784","7394","145015","11052","104425","9823","40590","4956",
"5001800US0407","Congressional District 7 (118th Congress), Arizona","811832","17054","309222","14246","30962","4313","27951","3517","15698","3071","526","499","120620","11736","306853","15243","274111","14792","32742","5048",
