"issue","congress","committee_el","label","pred","importance_intl","importance_dom","importance_prof","intl_percentage","dom_percentage","prof_percentage","decision"
"Agriculture and Food",115,"Committee on Agriculture",10,0.216163951772582,9.6905,26.4633,28.1808,0.150626567974309,0.411338533230952,0.438034898794739,"prof"
"Agriculture and Food",115,"Committee on Agriculture, Nutrition, and Forestry",5,0.298885416481928,1.116,7.3813,6.0789,0.0765631646108039,0.506393984714809,0.417042850674387,"dom"
"Agriculture and Food",115,"Committee on Appropriations",1,0.100567412635985,11.4202,21.1829,16.9707,0.230367653881688,0.427300307823891,0.342332038294422,"dom"
"Agriculture and Food",115,"Committee on Armed Services",1,0.095005134910947,10.3466,16.3973,16.131,0.241320679465142,0.382445206869287,0.376234113665571,"dom"
"Agriculture and Food",115,"Committee on Banking, Housing, and Urban Affairs",2,0.110991579258435,0.7702,1.4356,1.1299,0.230896063794706,0.430374434151752,0.338729502053542,"dom"
"Agriculture and Food",115,"Committee on Commerce, Science, and Transportation",1,0.121211593960811,0.9245,2.3655,1.3803,0.197953022289789,0.506498511872899,0.295548465837312,"dom"
"Agriculture and Food",115,"Committee on Education and the Workforce",1,0.0878761589212321,3.5535,5.2498,4.9542,0.258295475195348,0.381595493367254,0.360109031437398,"dom"
"Agriculture and Food",115,"Committee on Energy and Commerce",2,0.0838670684520052,9.4108,19.9128,19.2886,0.193589263600495,0.409625567244437,0.396785169155068,"dom"
"Agriculture and Food",115,"Committee on Energy and Natural Resources",0,0.056292895420963,0.5462,1.2971,1.0401,0.18942914614691,0.449850870500104,0.360719983352986,"dom"
"Agriculture and Food",115,"Committee on Environment and Public Works",0,0.101352509570965,0.69,1.8475,1.2889,0.180326155132762,0.482829813924315,0.336844030942923,"dom"
"Agriculture and Food",115,"Committee on Ethics",0,0.153258023400238,0.1657,0.6708,0.1804,0.162946209066772,0.659651883174353,0.177401907758875,"dom"
"Agriculture and Food",115,"Committee on Finance",1,0.135360211073825,0.1952,0.3835,0.1685,0.261241970021413,0.513249464668094,0.225508565310493,"dom"
"Agriculture and Food",115,"Committee on Financial Services",4,0.0929421707589123,6.9291,13.885,11.6739,0.213281827136173,0.427388574242797,0.359329598621029,"dom"
"Agriculture and Food",115,"Committee on Foreign Affairs",0,0.084406318623124,5.3189,7.2088,7.7392,0.262442702139942,0.355693273268235,0.381864024591822,"prof"
"Agriculture and Food",115,"Committee on Foreign Relations",1,0.102920870939346,0.5559,1.089,0.869,0.221130514340268,0.433191455507379,0.345678030152353,"dom"
"Agriculture and Food",115,"Committee on Health, Education, Labor, and Pensions",1,0.0651409254372115,0.4394,1.2125,1.0056,0.165343367826905,0.456255879586077,0.378400752587018,"dom"
"Agriculture and Food",115,"Committee on Homeland Security",0,0.0955892386129759,2.0155,4.7526,3.7399,0.191806242862581,0.45228397411496,0.355909783022459,"dom"
"Agriculture and Food",115,"Committee on Homeland Security and Governmental Affairs",1,0.109873732319545,0.2193,0.4719,0.3308,0.214579256360078,0.46174168297456,0.323679060665362,"dom"
"Agriculture and Food",115,"Committee on House Administration",1,0.0983541275590189,0.5262,0.6661,0.7033,0.277590208904832,0.351392698881621,0.371017092213547,"prof"
"Agriculture and Food",115,"Committee on Indian Affairs",2,0.115089076376448,1.4656,3.8835,2.3545,0.190248714886547,0.504114959239836,0.305636325873617,"dom"
"Agriculture and Food",115,"Committee on Natural Resources",0,0.117834850579531,2.5997,3.7203,3.7396,0.258429758638514,0.369825838005487,0.371744403355998,"prof"
"Agriculture and Food",115,"Committee on Oversight and Accountability",2,0.103075171227456,4.8196,6.8015,7.2373,0.255567810630807,0.360661561956476,0.383770627412718,"prof"
"Agriculture and Food",115,"Committee on Rules",0,0.0633592925745669,0.3338,0.553,0.679,0.213181760122621,0.353174096308596,0.433644143568783,"prof"
"Agriculture and Food",115,"Committee on Rules and Administration",0,0.159857952566057,0.1664,0.5365,0.1388,0.197695140786503,0.637400498990139,0.164904360223357,"dom"
"Agriculture and Food",115,"Committee on Science, Space, and Technology",1,0.144630488886812,1.1436,1.5482,1.5107,0.272123735871505,0.368399762046401,0.359476502082094,"dom"
"Agriculture and Food",115,"Committee on Small Business",1,0.128885021932608,0.8583,1.6951,0.999,0.241611305033217,0.477170363697782,0.281218331269001,"dom"
"Agriculture and Food",115,"Committee on Small Business and Entrepreneurship",0,0.0947686095179048,0.5634,1.2107,1.0515,0.199391279728199,0.42847536806342,0.37213335220838,"dom"
"Agriculture and Food",115,"Committee on Transportation and Infrastructure",0,0.0985720786590595,0.9275,2.0326,1.1829,0.223871590634806,0.490610668597635,0.28551774076756,"dom"
"Agriculture and Food",115,"Committee on Veterans' Affairs",1,0.0987917734870709,0.2004,0.7952,0.4421,0.139389302357933,0.55310565486541,0.307505042776657,"dom"
"Agriculture and Food",115,"Committee on Ways and Means",0,0.103489417818408,5.9302,6.8704,8.5723,0.27746351688353,0.321453803648546,0.401082679467924,"prof"
"Agriculture and Food",115,"Committee on the Budget",2,0.0810624585414056,4.8785,5.6263,6.9497,0.27949812369303,0.322340943596207,0.398160932710762,"prof"
"Agriculture and Food",115,"Committee on the Judiciary",1,0.0907875035452276,1.0536,2.8665,2.2477,0.170822659619313,0.464752423878855,0.364424916501832,"dom"
"Agriculture and Food",115,"Permanent Select Committee on Intelligence",1,0.103053598157634,4.1863,8.4298,6.2646,0.221723770834768,0.446477090362116,0.331799138803116,"dom"
"Agriculture and Food",115,"Select Committee on Intelligence",3,0.0921799315674327,2.0916,5.1682,3.9721,0.186219606656042,0.460135863032969,0.353644530310989,"dom"
"Agriculture and Food",115,"Special Committee on Aging",2,0.108002029537969,2.0722,4.7496,3.5358,0.200065652274658,0.458561828995134,0.341372518730208,"dom"
"Agriculture and Food",115,NA,20,0.11118797478298,32.6652,62.6632,48.0656,0.227800326373488,0.437000153423435,0.335199520203077,"dom"
"Agriculture and Food",116,"Commission on Security and Cooperation in Europe",1,0.13468758013084,1.4211,2.215,2.0454,0.250127607146,0.389861832262607,0.360010560591393,"dom"
"Agriculture and Food",116,"Committee on Agriculture",3,0.23682855686108,6.8738,31.4063,30.308,0.100218551031447,0.457897215406171,0.441884233562382,"dom"
"Agriculture and Food",116,"Committee on Agriculture, Nutrition, and Forestry",6,0.288740984745775,1.0921,8.3492,7.1636,0.0657697426663214,0.502815433998398,0.431414823335281,"dom"
"Agriculture and Food",116,"Committee on Appropriations",10,0.106322473775045,10.2435,20.9664,17.0382,0.212308878484334,0.434553899531795,0.353137221983871,"dom"
"Agriculture and Food",116,"Committee on Armed Services",1,0.125058587255321,12.5734,20.3107,18.624,0.244105296060231,0.394320504930293,0.361574199009476,"dom"
"Agriculture and Food",116,"Committee on Banking, Housing, and Urban Affairs",0,0.0853700607993025,0.5684,1.5636,1.3357,0.163912679874268,0.450904057444416,0.385183262681316,"dom"
"Agriculture and Food",116,"Committee on Commerce, Science, and Transportation",1,0.117976700518125,0.4648,0.9362,0.7279,0.218328714359528,0.439757621306778,0.341913664333693,"dom"
"Agriculture and Food",116,"Committee on Education and the Workforce",1,0.0692963871159668,2.78,9.6156,8.8179,0.131048624696538,0.45327739411224,0.415673981191223,"dom"
"Agriculture and Food",116,"Committee on Energy and Commerce",3,0.11450724202083,8.2758,17.3504,13.5975,0.210989784237591,0.442344806838723,0.346665408923686,"dom"
"Agriculture and Food",116,"Committee on Energy and Natural Resources",0,0.0761578318037648,0.4974,1.2878,1.0859,0.1732437045035,0.448538887534394,0.378217407962105,"dom"
"Agriculture and Food",116,"Committee on Environment and Public Works",1,0.123650066350889,0.4498,1.6838,1.0511,0.141237793198731,0.528715420604767,0.330046786196502,"dom"
"Agriculture and Food",116,"Committee on Ethics",0,0.106348155588429,0.1277,0.6425,0.3499,0.114007677885903,0.573609499151861,0.312382822962236,"dom"
