"issue","congress","committee_el","party","label","pred","importance_intl","importance_dom","importance_prof","intl_percentage","dom_percentage","prof_percentage","decision"
"Agriculture And Food",115,"Committee on Agriculture","Democratic",0,0.628805475265719,2.0817,4.6236,3.7276,0.199532248943247,0.443174956148338,0.357292794908415,"dom"
"Agriculture And Food",115,"Committee on Agriculture","Republican",3,0.618946972027223,6.2347,8.7031,10.2133,0.247889754324861,0.346032579091968,0.406077666583171,"prof"
"Agriculture And Food",115,"Committee on Agriculture, Nutrition, and Forestry","Democratic",0,0.651951037601847,0.9154,2.4718,1.7856,0.176964120012372,0.477845654191154,0.345190225796474,"dom"
"Agriculture And Food",115,"Committee on Agriculture, Nutrition, and Forestry","Republican",0,0.63973022120583,1.9159,4.7592,3.3822,0.190498443916359,0.473208515207859,0.336293040875782,"dom"
"Agriculture And Food",115,"Committee on Appropriations","Democratic",1,0.480707361629099,10.1999,12.1807,13.5447,0.283919688910044,0.339056319641033,0.377023991448923,"prof"
"Agriculture And Food",115,"Committee on Appropriations","Republican",2,0.500566168508333,9.7591,11.7111,13.884,0.276037924772729,0.331250601060129,0.392711474167143,"prof"
"Agriculture And Food",115,"Committee on Armed Services","Democratic",0,0.539474541163753,7.6914,9.6308,9.5459,0.28626512481344,0.358447378117545,0.355287497069015,"dom"
"Agriculture And Food",115,"Committee on Armed Services","Independent",0,0.631237955942406,0.9562,0.7073,1.1172,0.34387024849858,0.254360412845686,0.401769338655734,"prof"
"Agriculture And Food",115,"Committee on Armed Services","Republican",1,0.451877506497266,8.57,9.6738,10.6954,0.296138110244927,0.334280145961188,0.369581743793885,"prof"
"Agriculture And Food",115,"Committee on Banking, Housing, and Urban Affairs","Democratic",0,0.643523070815292,0.42,1.3444,0.6928,0.170926257528895,0.547126811004395,0.28194693146671,"dom"
"Agriculture And Food",115,"Committee on Banking, Housing, and Urban Affairs","Republican",0,0.628929513944815,1.2564,2.0116,2.1094,0.2336445122178,0.374084129876892,0.392271357905307,"prof"
"Agriculture And Food",115,"Committee on Commerce, Science, and Transportation","Democratic",0,0.421708218033085,0.6689,1.3413,1.0549,0.218231052820463,0.437603993344426,0.344164953835111,"dom"
"Agriculture And Food",115,"Committee on Commerce, Science, and Transportation","Republican",1,0.563266034830244,1.2818,1.4959,1.6553,0.289149560117302,0.337446424543199,0.373404015339499,"prof"
"Agriculture And Food",115,"Committee on Education and the Workforce","Democratic",0,0.455140430203691,2.5326,3.8891,3.4032,0.257773616016448,0.395841179045079,0.346385204938473,"dom"
"Agriculture And Food",115,"Committee on Education and the Workforce","Republican",1,0.528207095589774,2.3409,3.5568,3.1199,0.259592352732434,0.394428672817601,0.345978974449965,"dom"
"Agriculture And Food",115,"Committee on Energy and Commerce","Democratic",0,0.524629464692714,4.2921,4.8984,5.0839,0.300685142632965,0.343159782547778,0.356155074819257,"prof"
"Agriculture And Food",115,"Committee on Energy and Commerce","Republican",0,0.472324558086648,6.3857,8.5575,8.7112,0.269958231872294,0.361772017045454,0.368269751082251,"prof"
"Agriculture And Food",115,"Committee on Energy and Natural Resources","Democratic",0,0.572035190218877,0.5583,0.8844,0.7793,0.251260126012601,0.398019801980198,0.350720072007201,"dom"
"Agriculture And Food",115,"Committee on Energy and Natural Resources","Republican",0,0.248246503159347,0.3596,0.6547,0.3289,0.267718880285884,0.487418106015485,0.24486301369863,"dom"
"Agriculture And Food",115,"Committee on Environment and Public Works","Democratic",0,0.462040358303205,0.8364,1.1729,1.1578,0.264090177133655,0.37033879574374,0.365571027122604,"dom"
"Agriculture And Food",115,"Committee on Environment and Public Works","Republican",0,0.504423166401609,0.6201,0.5525,0.7891,0.31610337972167,0.281643472498343,0.402253147779987,"prof"
"Agriculture And Food",115,"Committee on Ethics","Democratic",0,0.454879633038697,0.4254,0.5889,0.5614,0.26997524909564,0.373738655835502,0.356286095068858,"dom"
"Agriculture And Food",115,"Committee on Finance","Democratic",1,0.534660290658304,0.5012,0.8126,0.9163,0.224743285054482,0.364378279000942,0.410878435944576,"prof"
"Agriculture And Food",115,"Committee on Financial Services","Democratic",0,0.501465366645159,5.4029,8.7929,8.2172,0.241060991388926,0.39231249721144,0.366626511399634,"dom"
"Agriculture And Food",115,"Committee on Financial Services","Republican",0,0.470118398024503,6.3641,9.2163,8.5795,0.263415825396628,0.381470949796978,0.355113224806394,"dom"
"Agriculture And Food",115,"Committee on Foreign Affairs","Democratic",0,0.469926679925791,5.5822,7.7075,7.5905,0.267344182526987,0.369129606038256,0.363526211434756,"dom"
"Agriculture And Food",115,"Committee on Foreign Affairs","Republican",0,0.565425357177395,3.3624,5.563,5.2286,0.237558287409919,0.39303377137205,0.36940794121803,"dom"
"Agriculture And Food",115,"Committee on Foreign Relations","Democratic",0,0.516177823339012,0.4852,0.6198,0.6153,0.282043829564611,0.360285996628495,0.357670173806894,"dom"
"Agriculture And Food",115,"Committee on Foreign Relations","Republican",0,0.610490780001701,0.7993,0.7347,0.9547,0.321171696066219,0.295214368947643,0.383613934986137,"prof"
"Agriculture And Food",115,"Committee on Health, Education, Labor, and Pensions","Democratic",0,0.572035190218877,0.5583,0.8844,0.7793,0.251260126012601,0.398019801980198,0.350720072007201,"dom"
"Agriculture And Food",115,"Committee on Health, Education, Labor, and Pensions","Republican",0,0.418289504610639,0.4431,0.5804,0.5266,0.285852525643507,0.374427456293142,0.339720018063351,"dom"
"Agriculture And Food",115,"Committee on Homeland Security","Democratic",0,0.564955463934605,2.728,2.453,3.1922,0.325801366263794,0.292958486600105,0.381240147136101,"prof"
"Agriculture And Food",115,"Committee on Homeland Security","Republican",0,0.475826455888058,1.5318,2.2268,2.2687,0.25414364640884,0.36945232525343,0.37640402833773,"prof"
"Agriculture And Food",115,"Committee on Homeland Security and Governmental Affairs","Republican",0,0.612399131655552,0.4144,1.1922,0.8813,0.166566180312714,0.479199324731701,0.354234494955585,"dom"
"Agriculture And Food",115,"Committee on House Administration","Democratic",0,0.200202512240504,0.7363,0.5666,1.0165,0.31745278951453,0.244287315685091,0.438259894800379,"prof"
"Agriculture And Food",115,"Committee on House Administration","Republican",0,0.528525364507871,0.62,0.673,0.8435,0.290194242920665,0.315001170138076,0.394804586941259,"prof"
"Agriculture And Food",115,"Committee on Indian Affairs","Democratic",0,0.594163616892646,1.4567,3.2214,2.1119,0.214536082474227,0.474432989690722,0.311030927835052,"dom"
"Agriculture And Food",115,"Committee on Indian Affairs","Republican",1,0.542651814196492,2.2894,3.1933,3.3358,0.259613312921699,0.362113738164087,0.378272948914214,"prof"
"Agriculture And Food",115,"Committee on Natural Resources","Democratic",0,0.36732674038677,2.2054,2.2695,2.3894,0.321285491601474,0.330623661553254,0.348090846845272,"prof"
"Agriculture And Food",115,"Committee on Natural Resources","Republican",1,0.485392746872705,2.7614,4.0337,3.937,0.257302857781795,0.375853747169706,0.366843395048499,"dom"
"Agriculture And Food",115,"Committee on Oversight and Accountability","Democratic",0,0.445709765684777,5.8899,4.0712,6.5508,0.356706375401983,0.246561570745947,0.39673205385207,"prof"
"Agriculture And Food",115,"Committee on Oversight and Accountability","Independent",0,0.454879633038697,0.4254,0.5889,0.5614,0.26997524909564,0.373738655835502,0.356286095068858,"dom"
"Agriculture And Food",115,"Committee on Oversight and Accountability","Republican",1,0.401890792122429,2.2834,1.2394,2.7186,0.365847406030698,0.198577242285385,0.435575351683917,"prof"
"Agriculture And Food",115,"Committee on Rules","Democratic",0,0.24471397980035,1.1659,1.0806,1.1543,0.342831098565043,0.317748764996471,0.339420136438485,"intl"
"Agriculture And Food",115,"Committee on Rules and Administration","Democratic",0,0.589810766651785,0.4677,1.085,0.5721,0.220114834337349,0.510636295180723,0.269248870481928,"dom"
"Agriculture And Food",115,"Committee on Small Business","Democratic",0,0.705063799089456,1.7907,0.5707,1.9298,0.417295861297539,0.132993102162565,0.449711036539896,"prof"
"Agriculture And Food",115,"Committee on Small Business","Republican",0,0.559448053482391,0.5407,0.8355,0.7683,0.252133364420611,0.389601305665656,0.358265329913733,"dom"
