"search_key","type","number","congress","effective_date","year","month","bioguide_id","issue"
"[""china""]","HAMDT","43","115","12/1/2017","2017","01","R000606","Labor and Employment"
"[""china""]","HAMDT","76","115","10/3/2017","2017","03","S001200","Law"
"[""china""]","HAMDT","77","115","10/3/2017","2017","03","J000032","Law"
"[""china""]","HAMDT","78","115","10/3/2017","2017","03","C000714","Civil Rights and Liberties, Minority Issues"
"[""china""]","HAMDT","79","115","10/3/2017","2017","03","J000294","Government Operations and Politics"
"[""taiwan"", ""china""]","HAMDT","160","115","12/7/2017","2017","07","T000238","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","161","115","12/7/2017","2017","07","C001062","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","162","115","12/7/2017","2017","07","P000598","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","163","115","12/7/2017","2017","07","J000298","National Security"
"[""taiwan"", ""china""]","HAMDT","164","115","12/7/2017","2017","07","N000002","Armed Forces"
"[""china"", ""taiwan""]","HAMDT","165","115","12/7/2017","2017","07","N000002","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","166","115","12/7/2017","2017","07","B000574","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","167","115","12/7/2017","2017","07","W000795","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","168","115","12/7/2017","2017","07","A000371","National Security"
"[""taiwan"", ""china""]","HAMDT","169","115","12/7/2017","2017","07","G000559","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","170","115","12/7/2017","2017","07","B000574","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","171","115","12/7/2017","2017","07","M001177","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","172","115","12/7/2017","2017","07","R000575","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","173","115","12/7/2017","2017","07","T000238","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","174","115","12/7/2017","2017","07","T000238","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","175","115","12/7/2017","2017","07","T000238","Armed Forces"
"[""china""]","HAMDT","177","115","13/7/2017","2017","07","G000559","Armed Forces"
"[""china""]","HAMDT","178","115","13/7/2017","2017","07","B001297","Armed Forces"
"[""china""]","HAMDT","179","115","13/7/2017","2017","07","P000605","Armed Forces"
"[""china""]","HAMDT","180","115","13/7/2017","2017","07","G000565","Armed Forces"
"[""china""]","HAMDT","181","115","13/7/2017","2017","07","R000583","Government Operations and Politics"
