"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","735373","2819","357370","2904","21384","895","23997","1994","24868","2178","13691","769","9355","1341","7190","2234","2881","1134","12223","1920","21810","1357","22548","1675","21015","2189","22762","2328","20775","1409","21914","889","26200","2268","9302","1594","12700","1753","10736","1884","10061","1217","18726","1853","10965","1330","7414","1230","4853","939","378003","2306","20646","1249","20415","2099","25276","2212","13795","1009","9087","992","3838","1545","5152","1331","11167","1560","22979","1450","23254","924","22582","2656","24511","2516","22276","1175","23640","1089","25361","2443","11550","1860","16983","1905","10275","1273","15010","1773","19684","1831","12842","1703","10136","1563","7544","1502",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","690107","6886","334099","4853","20518","1909","19423","2207","27312","2363","14439","1277","8393","1654","4288","1055","4466","1181","12494","1648","21398","1923","21810","1723","21147","2377","23371","2211","18273","938","21319","1486","20593","1710","8906","1242","13186","1470","8511","1206","9862","1211","15087","1462","9709","1082","4767","729","4827","821","356008","4167","18933","1609","20261","2216","23284","2309","13652","1172","10441","1547","4633","1187","4792","1228","11879","1718","20226","1662","22668","1620","24190","2264","21709","2335","22240","1339","21890","1236","21620","1467","10534","1564","14826","1734","9336","1328","12559","1485","16762","1398","12946","1244","8632","1226","7995","1188",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","742147","5538","360827","4088","21807","2264","22056","2361","23129","2791","14154","1701","13169","2055","7331","1687","4761","1520","15883","2036","22299","1543","21486","2037","21378","2863","24182","2602","21236","2129","23473","1946","23195","2242","9927","1483","15534","1706","7476","1513","10788","1471","17334","1732","11077","1138","6477","1115","2675","739","381320","4459","20970","2122","20304","2565","24249","2858","13097","1557","14075","1763","7367","1865","4485","1353","14975","1988","22355","1731","23817","2121","23824","2866","23644","2728","24229","2040","23558","1404","24602","2454","9462","1479","15210","1979","8456","1623","14475","1812","20130","1687","14127","1455","8248","1289","5661","1058",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","708532","6011","346474","4342","24313","1703","20789","2524","23875","2358","13466","1078","9250","1427","5058","1307","5694","1427","9755","1568","20105","1762","20009","1623","23461","2126","20473","2197","20612","1401","23142","1108","24835","2032","9309","1555","13438","1764","8737","1439","10960","1521","18172","1699","11090","1281","6284","1117","3647","1029","362058","4429","20593","2021","23205","2375","21703","2394","13371","1219","8008","1755","4144","1262","3926","933","12712","1837","19690","1395","22672","1733","22608","2107","19770","2422","22073","1427","24635","1264","24761","1948","8622","1370","16860","1699","9085","1373","13554","1633","19536","1597","12576","1504","9729","1505","8225","1194",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","773212","216","380381","2230","20745","1202","21184","2345","27158","2395","15422","1550","8070","1216","4862","1283","5065","1238","14818","1910","25799","1281","23259","1978","26224","2768","27531","2867","22123","991","26013","1465","27297","2305","12533","1981","14629","1765","8571","1738","9781","1554","18168","1867","10505","1176","6540","1250","4084","1024","392831","2230","19502","992","21043","2524","27388","2681","15159","1423","10790","1704","5863","1793","5586","1842","12694","1581","24132","1096","25310","1194","23521","2752","25478","2908","23449","1105","24986","713","26630","2256","11843","2032","15355","2055","9908","1754","12849","1986","19579","2147","14076","1790","8491","1222","9199","1387",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","723686","10486","349840","6082","19884","1885","24484","2212","20936","2226","15587","1231","8871","1362","3033","893","3459","1129","12349","1538","23527","1731","23602","1757","20738","2341","23450","2168","24526","1523","23629","1282","24130","2350","8409","1711","13560","1853","8957","1505","9709","1256","15771","1581","9463","1305","7205","1069","4561","940","373846","5956","22468","1800","18760","1798","26869","2473","14147","1265","9036","1387","5435","1198","3350","905","13216","1682","23665","2071","22983","1292","24304","2304","23615","2587","24910","1621","23662","1643","23973","2736","9298","1297","15220","1790","8772","1413","12269","1588","18634","1883","13509","1479","7800","1115","7951","1180",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","666820","12561","316905","7998","20831","2192","22853","2988","21071","2758","11127","1447","13256","1745","6454","1444","6570","1607","13324","2168","23219","2206","20930","2316","17007","2343","21912","2978","16851","1745","16858","1674","18543","2063","8001","1412","12415","2028","6706","1105","11240","1455","14175","1703","7274","1173","3453","872","2835","884","349915","7084","17497","2101","19766","2518","20612","2670","12474","1272","12965","2685","6531","2010","6083","1349","14175","2396","23012","2336","25019","1950","19036","2169","24197","2293","17833","1713","18245","1659","21852","2290","10241","1556","14361","1897","9574","1667","12689","1769","17559","1832","9097","1191","9398","1549","7699","1367",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","732673","*****","383121","2429","24610","1587","25627","2606","27616","2424","15130","1541","12751","2060","5426","1033","6997","1659","14254","1661","28641","1557","30684","1732","28937","2344","23642","2025","21497","1501","22185","1269","22239","1888","10968","1569","12241","1594","10299","1340","10109","1286","14491","1275","7818","1010","3808","847","3151","709","349552","2429","21588","1372","26444","2205","24891","2103","13495","1119","8887","1083","4553","1033","2857","761","11768","1139","26123","1462","26893","1343","25939","2251","24437","2220","18657","1105","20121","987","20732","1944","9501","1286","13932","1861","8749","1189","11625","1520","12018","1238","8588","1053","4196","862","3558","768",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","774354","9460","386770","7034","18319","1696","24447","2617","24133","2431","16065","1617","11889","1778","7059","1834","5583","1418","15298","1950","25537","2096","24493","2179","24215","2971","24549","2509","23293","2121","19989","1644","20705","2204","11978","1761","12247","1876","10179","1464","13713","1673","23713","2123","14784","1552","9134","1503","5448","1366","387584","5652","19683","1921","24871","2559","25781","2251","14573","1549","13460","2182","5490","1313","4838","1162","14958","2043","22019","2194","24528","2316","18494","2495","22642","2250","18338","1593","21705","2083","21629","2210","10926","1559","18107","1959","11664","1678","16762","2381","23410","2305","15678","1473","10169","1715","7859","1234",
