"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","501707","426","4749","571","14","17","115","133","74","68","192","186","110","79","343","139","275","158","1435","433","1209","301","3957","584","7664","899","10317","990","12403","1132","9989","939","138023","3130","25572","1368","31381","1469","74679","2685","45877","1864","84622","3003","35280","1735","8440","817","4987","664",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","489049","1752","6360","584","245","127","134","78","101","65","198","103","512","143","373","129","734","201","2194","316","2482","291","4909","465","7981","825","12766","962","11501","732","9900","777","129234","2741","26671","1227","31716","1191","72672","2135","44705","1511","74645","2291","36515","1413","7626","606","4875","555",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","490065","826","7548","719","14","23","31","35","231","262","358","168","611","264","379","175","597","156","2050","351","2458","434","6486","792","8708","793","12715","1004","13054","899","10083","779","127702","2742","29369","1479","33429","1394","73250","2348","45804","1878","68046","2404","34389","1552","6206","682","6547","703",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","495704","1650","9937","924","109","56","66","68","209","118","317","134","1352","356","738","215","649","197","2913","462","3251","558","7378","762","11065","846","15353","1119","14009","974","9099","702","136617","2734","31540","1160","36345","1478","69915","1891","50072","1648","59291","1794","25141","1166","5852","625","4486","501",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","507885","972","7092","953","219","180","27","31","34","43","291","206","479","177","166","100","561","259","2125","457","1810","338","4871","752","7321","860","8733","859","10557","1052","8380","929","102702","3143","22917","1236","32315","1421","72467","2710","41351","1747","111079","2725","56915","1743","7608","848","7865","674",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","490765","2766","5446","599","111","61","22","41","73","49","92","74","479","213","366","176","800","227","1903","411","1380","310","2854","415","4986","1036","7105","682","8181","911","8353","754","101590","2308","18303","1198","30293","1468","66418","2193","39456","1811","118267","2619","50210","1766","15316","976","8761","736",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","473127","3076","8021","674","49","47","275","174","179","93","253","163","668","258","418","190","310","146","2022","370","1390","347","4170","555","6742","655","10681","868","13465","874","10917","867","135460","3382","20674","1295","29205","1468","72223","2162","41893","1702","69036","2392","30726","1383","7696","749","6654","802",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","487903","820","4174","541","65","47","79","61","151","89","155","85","407","132","509","251","508","192","940","212","941","258","2359","322","3291","595","4773","512","6817","601","6685","674","115232","2336","25974","1231","35356","1477","82491","1939","44564","1706","95793","2343","41004","1749","9294","833","6341","639",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","601548","4726","6193","738","261","192","124","100","290","240","242","170","317","145","242","116","532","198","3096","693","546","197","2743","532","4002","586","3271","502","4517","628","8565","750","79462","3281","14026","992","34557","1611","84196","2456","45885","1954","185455","3325","81014","2009","28326","1364","13686","900",
