"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001900US0101","Congressional District 1 (119th Congress), Alabama","535244","5870","7810","1832","517","412","175","181","331","489","177","224","73","74","49","59","626","441","1493","613","1744","1030","4755","1515","5730","1597","9318","1856","10809","2231","8800","1954","127904","5205","33731","3476","35378","3168","77850","5264","60010","3795","93929","5572","41910","4658","7946","1699","4179","1015",
"5001900US0102","Congressional District 2 (119th Congress), Alabama","476955","5654","8660","1865","0","213","262","236","296","261","0","213","375","307","53","95","242","232","1611","799","1786","770","4227","1290","5721","1765","9215","1586","12752","2417","11256","2254","130723","6757","23854","2736","26982","2999","61715","5154","46651","4873","78100","4964","38070","3890","8270","1617","6134","1443",
"5001900US0103","Congressional District 3 (119th Congress), Alabama","506957","3214","7214","1308","159","169","0","213","0","213","26","45","333","257","214","166","841","537","2021","663","1889","751","5746","1456","8730","1791","10591","1871","10908","1872","11262","2182","132774","6874","32672","3159","36778","3413","71164","4557","47228","3124","72906","4403","38441","3666","6737","1348","8323","1730",
"5001900US0104","Congressional District 4 (119th Congress), Alabama","506335","5740","9176","1658","145","161","0","213","339","385","123","139","990","491","1110","517","2122","1928","3683","1040","3171","1073","5342","1542","7370","1409","11577","1988","12954","1953","10034","1723","135502","5329","26950","2605","37132","3128","66738","4321","56754","4367","69170","4785","32455","2902","7734","1589","5764","1427",
"5001900US0105","Congressional District 5 (119th Congress), Alabama","536383","3144","6238","1386","0","213","309","288","0","213","241","402","172","181","91","28","168","211","2096","1146","1578","624","6559","2189","5176","1117","9104","1739","8831","2049","7714","1712","112290","5648","25245","2941","34112","2805","67109","4915","51968","3841","120044","5863","60373","4423","8677","1701","8288","1351",
"5001900US0106","Congressional District 6 (119th Congress), Alabama","496479","7380","3791","1034","220","250","380","446","0","213","52","84","190","303","106","136","50","70","1743","845","865","512","2051","850","5698","1282","5003","1182","7066","1490","6528","1261","104066","5247","18839","2171","33241","3549","64958","4300","37344","3796","125619","5376","54299","4340","14818","2679","9552","1615",
"5001900US0107","Congressional District 7 (119th Congress), Alabama","481708","8042","8592","1938","4","8","0","213","0","213","67","117","194","283","281","292","1619","737","2736","1246","1777","835","2772","845","5062","1152","6914","1154","10900","2109","10064","1776","127465","5467","26655","3066","27769","2683","70227","6022","43513","3957","77775","4393","38454","3742","9828","1906","9040","1781",
"5001900US0200","Congressional District (at Large) (119th Congress), Alaska","497924","2388","2510","988","403","290","114","131","15","4","351","467","263","88","120","91","224","148","1319","556","1757","705","1449","468","4413","1086","5049","1267","7609","1188","7236","1250","118875","5193","22914","2164","37217","3236","75508","5183","47485","3072","97736","4479","44758","3439","13467","2322","7132","1546",
"5001900US0401","Congressional District 1 (119th Congress), Arizona","626303","14188","6527","2254","0","237","0","237","0","237","540","502","899","775","376","373","324","266","1855","847","110","189","2609","1143","1506","828","3278","1196","3985","1484","8232","2104","78142","7079","15646","2854","39396","3992","76605","4988","42046","3114","204909","9243","94103","6210","31702","3756","13513","2086",
