"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","516671","2890","5112","1442","62","83","0","210","212","354","57","101","180","270","197","227","36","52","931","894","1109","694","3917","1235","6736","1326","9800","1775","10242","2175","10470","1830","138421","6987","27962","3535","33467","3093","78226","5584","46299","4833","92394","6111","36340","3421","9382","2056","5119","995",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","494798","4808","6172","1206","570","497","34","42","251","300","14","25","781","531","235","169","494","346","1949","819","2319","746","4214","997","6953","1488","11324","1378","12949","1917","10318","1688","129961","5402","25372","2116","33684","2727","73897","4146","46113","3535","76859","4229","38435","3462","6904","1307","4996","1236",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","497715","3278","8151","1568","0","210","0","210","0","210","188","207","371","486","268","259","44","78","1645","747","1886","674","5655","1391","6875","1463","8815","1295","13054","2431","9221","1399","131283","5749","29200","3085","35521","2452","68694","3762","48496","3729","74494","4782","39127","3517","7879","1672","6848","1480",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","496801","4716","12785","2394","150","177","0","210","66","98","0","210","439","357","528","593","330","284","3039","1281","3087","935","6964","1415","8400","1581","14089","2217","11655","1827","12315","1879","134058","5457","31211","2505","37651","3677","67897","4364","50310","3965","62443","4072","25756","2662","7425","1239","6203","1317",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","525175","3040","6481","1405","117","140","118","206","54","103","55","90","253","253","147","214","758","538","2027","1163","1277","618","4784","1320","6575","1915","7756","2050","8845","1820","8383","2047","103360","5453","25219","2801","34970","3639","68928","4605","44469","4041","121764","5204","61129","4698","9654","1617","8052","1578",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","498455","6028","4930","1504","174","170","6","2","0","210","54","97","303","296","87","92","362","299","1645","730","1610","734","2543","736","4317","1254","6473","1463","6598","1571","7288","1556","106178","5458","19840","2442","31005","3222","68083","4780","41404","3552","118193","5620","53605","3809","15428","2035","8329","1568",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","469352","7861","10950","2381","0","210","33","57","131","186","299","338","568","357","982","950","236","209","1356","675","459","289","4389","1302","6237","1428","9144","1640","13057","1961","10383","2168","129472","6558","21017","2587","31296","3269","70604","4795","44657","3915","69878","4281","30396","2916","7858","1506","5950","1457",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","493892","2853","6569","1521","14","36","211","222","239","232","32","47","95","64","447","366","367","289","843","375","795","408","1764","394","3541","1093","4932","942","7466","1232","6146","1238","117865","5356","25742","2462","36279","3356","79313","4386","42025","3040","99091","5225","43218","3680","9328","1560","7570","1547",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","605973","14661","8039","2674","633","923","333","335","258","319","146","239","285","330","56","93","154","252","2480","1405","371","340","2079","973","2729","1085","3129","1105","3712","1047","7547","2360","86040","7123","12956","2536","33470","3817","75963","5581","47932","3888","194101","6750","80958","5634","29206","3387","13396","1842",
