"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"5001500US0101","Congressional District 1 (115th Congress), Alabama","46449","831",
"5001500US0102","Congressional District 2 (115th Congress), Alabama","44765","641",
"5001500US0103","Congressional District 3 (115th Congress), Alabama","44725","760",
"5001500US0104","Congressional District 4 (115th Congress), Alabama","41822","598",
"5001500US0105","Congressional District 5 (115th Congress), Alabama","52874","928",
"5001500US0106","Congressional District 6 (115th Congress), Alabama","63009","772",
"5001500US0107","Congressional District 7 (115th Congress), Alabama","35059","512",
"5001500US0200","Congressional District (at Large) (115th Congress), Alaska","76114","979",
"5001500US0401","Congressional District 1 (115th Congress), Arizona","50317","726",
"5001500US0402","Congressional District 2 (115th Congress), Arizona","50270","593",
"5001500US0403","Congressional District 3 (115th Congress), Arizona","44332","649",
"5001500US0404","Congressional District 4 (115th Congress), Arizona","47671","589",
"5001500US0405","Congressional District 5 (115th Congress), Arizona","70934","784",
"5001500US0406","Congressional District 6 (115th Congress), Arizona","67405","1027",
"5001500US0407","Congressional District 7 (115th Congress), Arizona","39005","713",
"5001500US0408","Congressional District 8 (115th Congress), Arizona","63062","917",
"5001500US0409","Congressional District 9 (115th Congress), Arizona","54210","705",
"5001500US0501","Congressional District 1 (115th Congress), Arkansas","39864","571",
"5001500US0502","Congressional District 2 (115th Congress), Arkansas","49526","872",
"5001500US0503","Congressional District 3 (115th Congress), Arkansas","48058","706",
"5001500US0504","Congressional District 4 (115th Congress), Arkansas","39248","632",
"5001500US0601","Congressional District 1 (115th Congress), California","48524","768",
"5001500US0602","Congressional District 2 (115th Congress), California","68709","1216",
"5001500US0603","Congressional District 3 (115th Congress), California","61268","688",
"5001500US0604","Congressional District 4 (115th Congress), California","72371","971",
"5001500US0605","Congressional District 5 (115th Congress), California","71526","845",
"5001500US0606","Congressional District 6 (115th Congress), California","51479","517",
"5001500US0607","Congressional District 7 (115th Congress), California","69964","990",
"5001500US0608","Congressional District 8 (115th Congress), California","50051","814",
"5001500US0609","Congressional District 9 (115th Congress), California","60717","671",
"5001500US0610","Congressional District 10 (115th Congress), California","59543","1043",
"5001500US0611","Congressional District 11 (115th Congress), California","83343","763",
"5001500US0612","Congressional District 12 (115th Congress), California","97282","1435",
"5001500US0613","Congressional District 13 (115th Congress), California","70222","1128",
"5001500US0614","Congressional District 14 (115th Congress), California","101753","1140",
"5001500US0615","Congressional District 15 (115th Congress), California","103109","1093",
"5001500US0616","Congressional District 16 (115th Congress), California","40689","570",
"5001500US0617","Congressional District 17 (115th Congress), California","115390","1709",
"5001500US0618","Congressional District 18 (115th Congress), California","122124","1961",
"5001500US0619","Congressional District 19 (115th Congress), California","91357","1258",
"5001500US0620","Congressional District 20 (115th Congress), California","66078","974",
"5001500US0621","Congressional District 21 (115th Congress), California","40330","724",
"5001500US0622","Congressional District 22 (115th Congress), California","56097","871",
"5001500US0623","Congressional District 23 (115th Congress), California","57341","1101",
"5001500US0624","Congressional District 24 (115th Congress), California","67574","1026",
"5001500US0625","Congressional District 25 (115th Congress), California","75860","973",
"5001500US0626","Congressional District 26 (115th Congress), California","80281","1026",
"5001500US0627","Congressional District 27 (115th Congress), California","73445","1008",
"5001500US0628","Congressional District 28 (115th Congress), California","62319","871",
"5001500US0629","Congressional District 29 (115th Congress), California","50823","639",
"5001500US0630","Congressional District 30 (115th Congress), California","76169","1188",
"5001500US0631","Congressional District 31 (115th Congress), California","58167","1070",
"5001500US0632","Congressional District 32 (115th Congress), California","64151","795",
"5001500US0633","Congressional District 33 (115th Congress), California","103176","1137",
"5001500US0634","Congressional District 34 (115th Congress), California","40215","487",
"5001500US0635","Congressional District 35 (115th Congress), California","58467","979",
"5001500US0636","Congressional District 36 (115th Congress), California","46772","629",
"5001500US0637","Congressional District 37 (115th Congress), California","54063","1061",
"5001500US0638","Congressional District 38 (115th Congress), California","65963","906",
"5001500US0639","Congressional District 39 (115th Congress), California","85147","1071",
"5001500US0640","Congressional District 40 (115th Congress), California","43499","680",
"5001500US0641","Congressional District 41 (115th Congress), California","60629","675",
"5001500US0642","Congressional District 42 (115th Congress), California","77297","1210",
"5001500US0643","Congressional District 43 (115th Congress), California","52806","776",
"5001500US0644","Congressional District 44 (115th Congress), California","49774","728",
"5001500US0645","Congressional District 45 (115th Congress), California","97431","1697",
"5001500US0646","Congressional District 46 (115th Congress), California","59863","899",
"5001500US0647","Congressional District 47 (115th Congress), California","63887","1036",
"5001500US0648","Congressional District 48 (115th Congress), California","87413","1197",
"5001500US0649","Congressional District 49 (115th Congress), California","82202","1355",
"5001500US0650","Congressional District 50 (115th Congress), California","70774","1458",
"5001500US0651","Congressional District 51 (115th Congress), California","44759","773",
"5001500US0652","Congressional District 52 (115th Congress), California","89955","1339",
"5001500US0653","Congressional District 53 (115th Congress), California","68799","936",
"5001500US0801","Congressional District 1 (115th Congress), Colorado","62195","733",
"5001500US0802","Congressional District 2 (115th Congress), Colorado","75021","951",
"5001500US0803","Congressional District 3 (115th Congress), Colorado","51456","636",
"5001500US0804","Congressional District 4 (115th Congress), Colorado","71357","860",
"5001500US0805","Congressional District 5 (115th Congress), Colorado","61391","786",
"5001500US0806","Congressional District 6 (115th Congress), Colorado","75962","818",
"5001500US0807","Congressional District 7 (115th Congress), Colorado","65880","742",
"5001500US0901","Congressional District 1 (115th Congress), Connecticut","69910","925",
"5001500US0902","Congressional District 2 (115th Congress), Connecticut","74427","1006",
"5001500US0903","Congressional District 3 (115th Congress), Connecticut","66465","838",
"5001500US0904","Congressional District 4 (115th Congress), Connecticut","92799","1218",
"5001500US0905","Congressional District 5 (115th Congress), Connecticut","71132","1172",
"5001500US1000","Congressional District (at Large) (115th Congress), Delaware","63036","738",
"5001500US1198","Delegate District (at Large) (115th Congress), District of Columbia","77649","1075",
"5001500US1201","Congressional District 1 (115th Congress), Florida","53480","600",
"5001500US1202","Congressional District 2 (115th Congress), Florida","47146","681",
"5001500US1203","Congressional District 3 (115th Congress), Florida","47047","924",
"5001500US1204","Congressional District 4 (115th Congress), Florida","66753","1018",
"5001500US1205","Congressional District 5 (115th Congress), Florida","39667","651",
"5001500US1206","Congressional District 6 (115th Congress), Florida","45873","590",
"5001500US1207","Congressional District 7 (115th Congress), Florida","56681","889",
"5001500US1208","Congressional District 8 (115th Congress), Florida","50998","567",
"5001500US1209","Congressional District 9 (115th Congress), Florida","48016","816",
"5001500US1210","Congressional District 10 (115th Congress), Florida","50380","713",
"5001500US1211","Congressional District 11 (115th Congress), Florida","45051","671",
"5001500US1212","Congressional District 12 (115th Congress), Florida","50542","666",
"5001500US1213","Congressional District 13 (115th Congress), Florida","47370","664",
"5001500US1214","Congressional District 14 (115th Congress), Florida","50891","582",
"5001500US1215","Congressional District 15 (115th Congress), Florida","52460","648",
"5001500US1216","Congressional District 16 (115th Congress), Florida","56355","869",
"5001500US1217","Congressional District 17 (115th Congress), Florida","46034","612",
"5001500US1218","Congressional District 18 (115th Congress), Florida","56264","722",
"5001500US1219","Congressional District 19 (115th Congress), Florida","54971","800",
"5001500US1220","Congressional District 20 (115th Congress), Florida","43648","820",
"5001500US1221","Congressional District 21 (115th Congress), Florida","55616","708",
"5001500US1222","Congressional District 22 (115th Congress), Florida","59830","781",
"5001500US1223","Congressional District 23 (115th Congress), Florida","62823","875",
"5001500US1224","Congressional District 24 (115th Congress), Florida","37821","685",
"5001500US1225","Congressional District 25 (115th Congress), Florida","46827","929",
"5001500US1226","Congressional District 26 (115th Congress), Florida","53318","951",
"5001500US1227","Congressional District 27 (115th Congress), Florida","52353","749",
"5001500US1301","Congressional District 1 (115th Congress), Georgia","49245","777",
"5001500US1302","Congressional District 2 (115th Congress), Georgia","36332","586",
"5001500US1303","Congressional District 3 (115th Congress), Georgia","55443","877",
"5001500US1304","Congressional District 4 (115th Congress), Georgia","52414","694",
"5001500US1305","Congressional District 5 (115th Congress), Georgia","47961","884",
"5001500US1306","Congressional District 6 (115th Congress), Georgia","86295","1313",
"5001500US1307","Congressional District 7 (115th Congress), Georgia","70486","1109",
"5001500US1308","Congressional District 8 (115th Congress), Georgia","43142","773",
"5001500US1309","Congressional District 9 (115th Congress), Georgia","50214","688",
"5001500US1310","Congressional District 10 (115th Congress), Georgia","51042","578",
"5001500US1311","Congressional District 11 (115th Congress), Georgia","69534","1177",
"5001500US1312","Congressional District 12 (115th Congress), Georgia","42825","759",
"5001500US1313","Congressional District 13 (115th Congress), Georgia","55060","1092",
"5001500US1314","Congressional District 14 (115th Congress), Georgia","48731","855",
"5001500US1501","Congressional District 1 (115th Congress), Hawaii","78813","981",
"5001500US1502","Congressional District 2 (115th Congress), Hawaii","71289","797",
"5001500US1601","Congressional District 1 (115th Congress), Idaho","51632","548",
"5001500US1602","Congressional District 2 (115th Congress), Idaho","50222","527",
"5001500US1701","Congressional District 1 (115th Congress), Illinois","50666","691",
