"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","58781","2611",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","57561","1738",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","54047","1977",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","54960","1979",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","73698","2073",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","78796","2905",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","45784","2081",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","88121","2804",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","91562","3062",
"5001800US0402","Congressional District 2 (118th Congress), Arizona","62015","2070",
"5001800US0403","Congressional District 3 (118th Congress), Arizona","63913","2831",
"5001800US0404","Congressional District 4 (118th Congress), Arizona","79108","3285",
"5001800US0405","Congressional District 5 (118th Congress), Arizona","101489","3046",
"5001800US0406","Congressional District 6 (118th Congress), Arizona","71152","1906",
"5001800US0407","Congressional District 7 (118th Congress), Arizona","52555","2064",
"5001800US0408","Congressional District 8 (118th Congress), Arizona","79042","2823",
"5001800US0409","Congressional District 9 (118th Congress), Arizona","73310","3083",
"5001800US0501","Congressional District 1 (118th Congress), Arkansas","50233","1789",
"5001800US0502","Congressional District 2 (118th Congress), Arkansas","60134","1938",
"5001800US0503","Congressional District 3 (118th Congress), Arkansas","66414","1786",
"5001800US0504","Congressional District 4 (118th Congress), Arkansas","48035","1855",
"5001800US0601","Congressional District 1 (118th Congress), California","64471","1996",
"5001800US0602","Congressional District 2 (118th Congress), California","92721","3428",
"5001800US0603","Congressional District 3 (118th Congress), California","98689","3162",
"5001800US0604","Congressional District 4 (118th Congress), California","87319","3393",
"5001800US0605","Congressional District 5 (118th Congress), California","84734","3747",
"5001800US0606","Congressional District 6 (118th Congress), California","80409","1835",
"5001800US0607","Congressional District 7 (118th Congress), California","85158","3233",
"5001800US0608","Congressional District 8 (118th Congress), California","91501","3853",
"5001800US0609","Congressional District 9 (118th Congress), California","86062","3787",
"5001800US0610","Congressional District 10 (118th Congress), California","143122","5171",
"5001800US0611","Congressional District 11 (118th Congress), California","139300","4721",
"5001800US0612","Congressional District 12 (118th Congress), California","100136","5352",
