"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_002E","B05012_002M","B05012_003E","B05012_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born",
"5001500US0101","Congressional District 1 (115th Congress), Alabama","702730","655","682324","1224","20406","1118",
"5001500US0102","Congressional District 2 (115th Congress), Alabama","681443","1681","662588","1982","18855","1019",
"5001500US0103","Congressional District 3 (115th Congress), Alabama","703772","1162","682304","1731","21468","1197",
"5001500US0104","Congressional District 4 (115th Congress), Alabama","683508","1602","657273","1736","26235","1114",
"5001500US0105","Congressional District 5 (115th Congress), Alabama","708691","263","677747","1363","30944","1350",
"5001500US0106","Congressional District 6 (115th Congress), Alabama","698968","2415","667102","2307","31866","1575",
"5001500US0107","Congressional District 7 (115th Congress), Alabama","671659","2958","653507","2916","18152","1304",
"5001500US0200","Congressional District (at Large) (115th Congress), Alaska","738565","*****","682522","1669","56043","1670",
"5001500US0401","Congressional District 1 (115th Congress), Arizona","741377","3265","695423","3759","45954","1916",
"5001500US0402","Congressional District 2 (115th Congress), Arizona","717718","3469","638385","3267","79333","1937",
"5001500US0403","Congressional District 3 (115th Congress), Arizona","751029","4279","592635","4235","158394","3174",
"5001500US0404","Congressional District 4 (115th Congress), Arizona","749187","3596","686912","3829","62275","2144",
"5001500US0405","Congressional District 5 (115th Congress), Arizona","782680","3552","705579","4254","77101","2333",
"5001500US0406","Congressional District 6 (115th Congress), Arizona","762220","4608","658603","4697","103617","3441",
"5001500US0407","Congressional District 7 (115th Congress), Arizona","782330","4990","580520","4575","201810","3816",
"5001500US0408","Congressional District 8 (115th Congress), Arizona","761786","3612","688872","4235","72914","2476",
"5001500US0409","Congressional District 9 (115th Congress), Arizona","761619","4790","651207","4939","110412","2844",
"5001500US0501","Congressional District 1 (115th Congress), Arkansas","723743","598","710100","894","13643","750",
"5001500US0502","Congressional District 2 (115th Congress), Arkansas","757113","*****","725947","1204","31166","1204",
"5001500US0503","Congressional District 3 (115th Congress), Arkansas","782339","1272","708830","1935","73509","1485",
"5001500US0504","Congressional District 4 (115th Congress), Arkansas","714749","1462","691988","1659","22761","925",
"5001500US0601","Congressional District 1 (115th Congress), California","704958","1315","659846","2048","45112","1811",
"5001500US0602","Congressional District 2 (115th Congress), California","717270","1847","622231","2476","95039","2028",
"5001500US0603","Congressional District 3 (115th Congress), California","730723","1671","593101","2669","137622","2370",
"5001500US0604","Congressional District 4 (115th Congress), California","726653","2007","659456","2512","67197","1846",
"5001500US0605","Congressional District 5 (115th Congress), California","727704","2636","577728","3638","149976","2941",
"5001500US0606","Congressional District 6 (115th Congress), California","743423","2238","571079","3760","172344","3212",
"5001500US0607","Congressional District 7 (115th Congress), California","739746","2285","600968","3274","138778","2926",
"5001500US0608","Congressional District 8 (115th Congress), California","719950","2943","625316","3344","94634","2507",
"5001500US0609","Congressional District 9 (115th Congress), California","750185","2075","580528","3802","169657","3339",
"5001500US0610","Congressional District 10 (115th Congress), California","737719","1113","587983","3289","149736","2970",
"5001500US0611","Congressional District 11 (115th Congress), California","749531","1882","557429","3839","192102","3124",
"5001500US0612","Congressional District 12 (115th Congress), California","752652","1949","500328","2595","252324","2713",
"5001500US0613","Congressional District 13 (115th Congress), California","750102","533","544212","2970","205890","2904",
"5001500US0614","Congressional District 14 (115th Congress), California","750274","2476","469346","4004","280928","3828",
"5001500US0615","Congressional District 15 (115th Congress), California","764963","1587","508323","3345","256640","2931",
"5001500US0616","Congressional District 16 (115th Congress), California","725356","2835","547157","4126","178199","3661",
"5001500US0617","Congressional District 17 (115th Congress), California","762175","2565","395794","3917","366381","4303",
"5001500US0618","Congressional District 18 (115th Congress), California","735753","3663","519050","3894","216703","3770",
"5001500US0619","Congressional District 19 (115th Congress), California","760615","3554","487290","3434","273325","3258",
"5001500US0620","Congressional District 20 (115th Congress), California","734923","1358","542920","3263","192003","3205",
"5001500US0621","Congressional District 21 (115th Congress), California","712221","3681","507172","3950","205049","3388",
"5001500US0622","Congressional District 22 (115th Congress), California","748078","3055","613841","3510","134237","3038",
"5001500US0623","Congressional District 23 (115th Congress), California","738134","4433","636978","4626","101156","2813",
"5001500US0624","Congressional District 24 (115th Congress), California","732284","650","600481","2540","131803","2481",
"5001500US0625","Congressional District 25 (115th Congress), California","720000","2920","574332","3754","145668","2945",
"5001500US0626","Congressional District 26 (115th Congress), California","725161","976","556134","3136","169027","3034",
"5001500US0627","Congressional District 27 (115th Congress), California","719377","2388","441708","3355","277669","3287",
"5001500US0628","Congressional District 28 (115th Congress), California","717921","4214","429947","4535","287974","3580",
"5001500US0629","Congressional District 29 (115th Congress), California","721965","4619","410321","4305","311644","3530",
"5001500US0630","Congressional District 30 (115th Congress), California","758784","4536","504835","4473","253949","4397",
"5001500US0631","Congressional District 31 (115th Congress), California","740071","3255","579929","4317","160142","3410",
"5001500US0632","Congressional District 32 (115th Congress), California","721884","2756","465752","3548","256132","3021",
"5001500US0633","Congressional District 33 (115th Congress), California","715197","2991","550866","3364","164331","2640",
"5001500US0634","Congressional District 34 (115th Congress), California","728048","4855","385111","3727","342937","3506",
"5001500US0635","Congressional District 35 (115th Congress), California","735165","2924","517897","3973","217268","2847",
"5001500US0636","Congressional District 36 (115th Congress), California","740835","2951","578435","3906","162400","3206",
"5001500US0637","Congressional District 37 (115th Congress), California","721893","5146","491665","4312","230228","3666",
"5001500US0638","Congressional District 38 (115th Congress), California","720150","2434","502436","3225","217714","3081",
"5001500US0639","Congressional District 39 (115th Congress), California","726854","2414","489721","3451","237133","2968",
"5001500US0640","Congressional District 40 (115th Congress), California","714946","3478","422338","3708","292608","2983",
"5001500US0641","Congressional District 41 (115th Congress), California","747233","2254","564385","4246","182848","3687",
"5001500US0642","Congressional District 42 (115th Congress), California","777599","3052","624508","4621","153091","3594",
"5001500US0643","Congressional District 43 (115th Congress), California","726570","4142","499759","4224","226811","3397",
"5001500US0644","Congressional District 44 (115th Congress), California","723533","4063","477012","3656","246521","2952",
"5001500US0645","Congressional District 45 (115th Congress), California","762519","2021","543719","4321","218800","4203",
"5001500US0646","Congressional District 46 (115th Congress), California","730094","2706","438388","3713","291706","3188",
"5001500US0647","Congressional District 47 (115th Congress), California","717209","3207","502984","3815","214225","3246",
"5001500US0648","Congressional District 48 (115th Congress), California","727426","1992","548976","3208","178450","3438",
"5001500US0649","Congressional District 49 (115th Congress), California","736520","2802","609184","3907","127336","3209",
"5001500US0650","Congressional District 50 (115th Congress), California","744267","3370","598519","3622","145748","3857",
"5001500US0651","Congressional District 51 (115th Congress), California","730908","4281","481101","4650","249807","3410",
"5001500US0652","Congressional District 52 (115th Congress), California","754053","3644","577920","4305","176133","2891",
"5001500US0653","Congressional District 53 (115th Congress), California","761273","4961","587920","4736","173353","3093",
"5001500US0801","Congressional District 1 (115th Congress), Colorado","802167","1217","686591","2978","115576","2672",
"5001500US0802","Congressional District 2 (115th Congress), Colorado","782425","1377","722953","2305","59472","2107",
"5001500US0803","Congressional District 3 (115th Congress), Colorado","731888","591","687077","1848","44811","1847",
"5001500US0804","Congressional District 4 (115th Congress), Colorado","780344","1492","717999","2445","62345","1962",
"5001500US0805","Congressional District 5 (115th Congress), Colorado","772116","546","722784","1706","49332","1642",
"5001500US0806","Congressional District 6 (115th Congress), Colorado","792196","1788","674407","3663","117789","2970",
"5001500US0807","Congressional District 7 (115th Congress), Colorado","775383","1743","691132","2991","84251","2635",
"5001500US0901","Congressional District 1 (115th Congress), Connecticut","715329","830","605136","2952","110193","2911",
"5001500US0902","Congressional District 2 (115th Congress), Connecticut","708127","234","657530","1547","50597","1541",
"5001500US0903","Congressional District 3 (115th Congress), Connecticut","717162","1363","628842","3166","88320","2879",
"5001500US0904","Congressional District 4 (115th Congress), Connecticut","738259","340","573999","2982","164260","3011",
"5001500US0905","Congressional District 5 (115th Congress), Connecticut","715601","1224","617078","3045","98523","2878",
"5001500US1000","Congressional District (at Large) (115th Congress), Delaware","943732","*****","857704","2004","86028","2004",
"5001500US1198","Delegate District (at Large) (115th Congress), District of Columbia","672391","*****","577970","2316","94421","2316",
"5001500US1201","Congressional District 1 (115th Congress), Florida","748579","575","708466","1680","40113","1584",
"5001500US1202","Congressional District 2 (115th Congress), Florida","712695","2534","677633","2969","35062","1600",
"5001500US1203","Congressional District 3 (115th Congress), Florida","720286","2298","668228","2995","52058","2126",
"5001500US1204","Congressional District 4 (115th Congress), Florida","763855","3226","688086","3412","75769","2976",
"5001500US1205","Congressional District 5 (115th Congress), Florida","722646","3850","672008","4108","50638","1974",
"5001500US1206","Congressional District 6 (115th Congress), Florida","740950","1879","683375","2491","57575","1997",
"5001500US1207","Congressional District 7 (115th Congress), Florida","748154","3725","650864","3846","97290","2958",
