"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_002E","B05012_002M","B05012_003E","B05012_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native","Margin of Error!!Total:!!Native","Estimate!!Total:!!Foreign-born","Margin of Error!!Total:!!Foreign-born",
"5001900US0101","Congressional District 1 (119th Congress), Alabama","760389","8065","730021","8959","30368","4133",
"5001900US0102","Congressional District 2 (119th Congress), Alabama","703362","8412","671928","9223","31434","3955",
"5001900US0103","Congressional District 3 (119th Congress), Alabama","737665","2247","707610","4048","30055","3247",
"5001900US0104","Congressional District 4 (119th Congress), Alabama","735310","6757","703709","7770","31601","4131",
"5001900US0105","Congressional District 5 (119th Congress), Alabama","773877","2762","734074","5310","39803","4007",
"5001900US0106","Congressional District 6 (119th Congress), Alabama","728184","10801","697590","11019","30594","3990",
"5001900US0107","Congressional District 7 (119th Congress), Alabama","718912","13154","681917","13850","36995","5083",
"5001900US0200","Congressional District (at Large) (119th Congress), Alaska","740133","*****","683297","4878","56836","4878",
"5001900US0401","Congressional District 1 (119th Congress), Arizona","819479","20940","724441","20097","95038","7122",
"5001900US0402","Congressional District 2 (119th Congress), Arizona","853923","9681","805500","10306","48423","4313",
"5001900US0403","Congressional District 3 (119th Congress), Arizona","834750","24837","618855","22163","215895","12640",
"5001900US0404","Congressional District 4 (119th Congress), Arizona","793264","15908","680584","17563","112680","10368",
"5001900US0405","Congressional District 5 (119th Congress), Arizona","902036","17114","815460","16845","86576","7811",
"5001900US0406","Congressional District 6 (119th Congress), Arizona","833838","17024","748645","16939","85193","6714",
"5001900US0407","Congressional District 7 (119th Congress), Arizona","813289","19752","648483","20884","164806","10562",
"5001900US0408","Congressional District 8 (119th Congress), Arizona","815902","19737","704700","19345","111202","9842",
"5001900US0409","Congressional District 9 (119th Congress), Arizona","915903","12170","817765","12552","98138","7146",
"5001900US0501","Congressional District 1 (119th Congress), Arkansas","754656","4273","734534","4903","20122","3128",
"5001900US0502","Congressional District 2 (119th Congress), Arkansas","773214","6890","732054","8327","41160","5478",
"5001900US0503","Congressional District 3 (119th Congress), Arkansas","816102","3596","720649","6353","95453","5333",
