"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_002E","B05012_002M","B05012_003E","B05012_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native","Margin of Error!!Total:!!Native","Estimate!!Total:!!Foreign-born","Margin of Error!!Total:!!Foreign-born",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","735510","3622","707617","5059","27893","3560",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","724401","7738","696684","8656","27717","3352",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","730373","3227","707039","3904","23334","2404",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","722049","5964","694762","6577","27287","3445",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","758622","3654","726832","5352","31790","3739",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","722381","9416","683539","8647","38842","4715",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","715132","12470","688852","12194","26280","3689",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","733406","*****","678835","3858","54571","3858",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","804256","22081","700868","20504","103388","10362",
"5001800US0402","Congressional District 2 (118th Congress), Arizona","833298","6866","784068","7692","49230","5154",
"5001800US0403","Congressional District 3 (118th Congress), Arizona","814391","24226","614295","22156","200096","11201",
"5001800US0404","Congressional District 4 (118th Congress), Arizona","814381","17786","703050","17640","111331","9499",
"5001800US0405","Congressional District 5 (118th Congress), Arizona","857744","16572","773529","14626","84215","7495",
"5001800US0406","Congressional District 6 (118th Congress), Arizona","813933","16423","741263","15652","72670","4816",
"5001800US0407","Congressional District 7 (118th Congress), Arizona","811832","17054","644263","17863","167569","9503",
"5001800US0408","Congressional District 8 (118th Congress), Arizona","800203","19470","703075","18498","97128","9057",
"5001800US0409","Congressional District 9 (118th Congress), Arizona","881306","12542","786006","14209","95300","8587",
"5001800US0501","Congressional District 1 (118th Congress), Arkansas","752628","4087","736165","3926","16463","2275",
"5001800US0502","Congressional District 2 (118th Congress), Arkansas","774027","6136","742344","6479","31683","3540",
"5001800US0503","Congressional District 3 (118th Congress), Arkansas","797092","3462","708769","5845","88323","5585",
"5001800US0504","Congressional District 4 (118th Congress), Arkansas","743985","7239","718114","6886","25871","2973",
"5001800US0601","Congressional District 1 (118th Congress), California","755464","3429","675136","5142","80328","4374",
"5001800US0602","Congressional District 2 (118th Congress), California","743918","7978","634404","9371","109514","7603",
"5001800US0603","Congressional District 3 (118th Congress), California","788130","8560","691544","10523","96586","6714",
"5001800US0604","Congressional District 4 (118th Congress), California","761543","7574","622811","10412","138732","7354",
"5001800US0605","Congressional District 5 (118th Congress), California","782849","16635","682782","17029","100067","7674",
"5001800US0606","Congressional District 6 (118th Congress), California","747786","16346","573231","12982","174555","11958",
"5001800US0607","Congressional District 7 (118th Congress), California","762568","15782","587080","14075","175488","9026",
"5001800US0608","Congressional District 8 (118th Congress), California","752009","9402","523060","9358","228949","9990",
"5001800US0609","Congressional District 9 (118th Congress), California","770568","5013","570287","8351","200281","7905",
"5001800US0610","Congressional District 10 (118th Congress), California","746449","9766","553464","11134","192985","8112",
"5001800US0611","Congressional District 11 (118th Congress), California","701735","8511","471186","9576","230549","9790",
"5001800US0612","Congressional District 12 (118th Congress), California","734171","5115","531105","7792","203066","8463",
"5001800US0613","Congressional District 13 (118th Congress), California","784322","14343","574138","13781","210184","7674",
"5001800US0614","Congressional District 14 (118th Congress), California","725962","8314","430042","11427","295920","10169",
"5001800US0615","Congressional District 15 (118th Congress), California","721009","11071","429341","13096","291668","8533",
"5001800US0616","Congressional District 16 (118th Congress), California","748899","14783","491233","10672","257666","9509",
"5001800US0617","Congressional District 17 (118th Congress), California","744019","12624","356921","9938","387098","10345",
"5001800US0618","Congressional District 18 (118th Congress), California","743048","17338","488498","13336","254550","12177",
"5001800US0619","Congressional District 19 (118th Congress), California","725878","17005","552308","14146","173570","8237",
"5001800US0620","Congressional District 20 (118th Congress), California","794847","15671","699563","15353","95284","6898",
"5001800US0621","Congressional District 21 (118th Congress), California","749912","14482","586977","13255","162935","8885",
"5001800US0622","Congressional District 22 (118th Congress), California","774942","12642","569739","12531","205203","8584",
"5001800US0623","Congressional District 23 (118th Congress), California","768047","12631","655559","13856","112488","6826",
"5001800US0624","Congressional District 24 (118th Congress), California","761285","6122","628182","9125","133103","7409",
"5001800US0625","Congressional District 25 (118th Congress), California","779900","8109","575948","11028","203952","8256",
"5001800US0626","Congressional District 26 (118th Congress), California","739517","8500","558381","11650","181136","8589",
"5001800US0627","Congressional District 27 (118th Congress), California","736850","10868","567377","12142","169473","9173",
"5001800US0628","Congressional District 28 (118th Congress), California","746863","13086","475946","12182","270917","9840",
"5001800US0629","Congressional District 29 (118th Congress), California","719359","22325","422686","16589","296673","11732",
"5001800US0630","Congressional District 30 (118th Congress), California","745825","14051","476596","13583","269229","10850",
"5001800US0631","Congressional District 31 (118th Congress), California","717084","11507","459561","9647","257523","9732",
"5001800US0632","Congressional District 32 (118th Congress), California","760602","18302","516727","16612","243875","11552",
"5001800US0633","Congressional District 33 (118th Congress), California","763598","13556","572882","13194","190716","9376",
"5001800US0634","Congressional District 34 (118th Congress), California","714948","21766","404473","15985","310475","12643",
"5001800US0635","Congressional District 35 (118th Congress), California","749769","12483","524988","13793","224781","9927",
"5001800US0636","Congressional District 36 (118th Congress), California","742266","15894","572217","14658","170049","9625",
"5001800US0637","Congressional District 37 (118th Congress), California","735660","19740","492076","16666","243584","11406",
"5001800US0638","Congressional District 38 (118th Congress), California","723495","13063","495475","13090","228020","8715",
"5001800US0639","Congressional District 39 (118th Congress), California","767217","7810","578707","10210","188510","10300",
"5001800US0640","Congressional District 40 (118th Congress), California","755867","11084","559223","13346","196644","10678",
"5001800US0641","Congressional District 41 (118th Congress), California","811664","12898","656122","15288","155542","9196",
"5001800US0642","Congressional District 42 (118th Congress), California","711011","14838","480363","13639","230648","10398",
"5001800US0643","Congressional District 43 (118th Congress), California","716670","19213","475819","14654","240851","12913",
"5001800US0644","Congressional District 44 (118th Congress), California","737874","16814","495230","15262","242644","10513",
"5001800US0645","Congressional District 45 (118th Congress), California","737224","10286","455806","11276","281418","10067",
"5001800US0646","Congressional District 46 (118th Congress), California","746079","9151","457585","11925","288494","10001",
"5001800US0647","Congressional District 47 (118th Congress), California","754022","4336","550670","9209","203352","8827",
"5001800US0648","Congressional District 48 (118th Congress), California","740583","15411","618384","13180","122199","9654",
"5001800US0649","Congressional District 49 (118th Congress), California","751418","9869","619593","12433","131825","7610",
"5001800US0650","Congressional District 50 (118th Congress), California","781251","19138","607938","15738","173313","11254",
"5001800US0651","Congressional District 51 (118th Congress), California","748700","15753","569750","14928","178950","11397",
"5001800US0652","Congressional District 52 (118th Congress), California","740517","16286","506062","14288","234455","9958",
"5001800US0801","Congressional District 1 (118th Congress), Colorado","722087","1665","618028","8512","104059","8309",
"5001800US0802","Congressional District 2 (118th Congress), Colorado","721783","7685","659619","9045","62164","4815",
"5001800US0803","Congressional District 3 (118th Congress), Colorado","730686","3355","695717","4970","34969","3913",
"5001800US0804","Congressional District 4 (118th Congress), Colorado","767791","7975","715221","8055","52570","4358",
"5001800US0805","Congressional District 5 (118th Congress), Colorado","737347","1461","686018","5479","51329","5331",
"5001800US0806","Congressional District 6 (118th Congress), Colorado","730351","6409","601291","8994","129060","7123",
"5001800US0807","Congressional District 7 (118th Congress), Colorado","726989","6129","682436","8102","44553","5414",
"5001800US0808","Congressional District 8 (118th Congress), Colorado","740576","7717","656179","11960","84397","7693",
"5001800US0901","Congressional District 1 (118th Congress), Connecticut","716454","10360","594911","13016","121543","8124",
"5001800US0902","Congressional District 2 (118th Congress), Connecticut","730400","9295","671167","9898","59233","5232",
"5001800US0903","Congressional District 3 (118th Congress), Connecticut","726058","6916","623540","9401","102518","7399",
"5001800US0904","Congressional District 4 (118th Congress), Connecticut","721814","6448","544960","10670","176854","9341",
"5001800US0905","Congressional District 5 (118th Congress), Connecticut","722450","10707","591990","15085","130460","10901",
"5001800US1000","Congressional District (at Large) (118th Congress), Delaware","1031890","*****","916761","6173","115129","6173",
"5001800US1198","Delegate District (at Large) (118th Congress), District of Columbia","678972","*****","583537","6706","95435","6706",
"5001800US1201","Congressional District 1 (118th Congress), Florida","803679","4265","749905","6793","53774","4624",
"5001800US1202","Congressional District 2 (118th Congress), Florida","799012","4592","745963","6098","53049","4425",
"5001800US1203","Congressional District 3 (118th Congress), Florida","807523","11123","728159","10735","79364","7366",
"5001800US1204","Congressional District 4 (118th Congress), Florida","811996","14828","752997","14929","58999","7119",
"5001800US1205","Congressional District 5 (118th Congress), Florida","837211","14540","726655","16062","110556","8975",
"5001800US1206","Congressional District 6 (118th Congress), Florida","821498","16070","750809","15866","70689","6156",
"5001800US1207","Congressional District 7 (118th Congress), Florida","802027","6012","703702","8478","98325","7449",
"5001800US1208","Congressional District 8 (118th Congress), Florida","817216","1980","740431","7328","76785","7222",
"5001800US1209","Congressional District 9 (118th Congress), Florida","842005","20269","617555","19252","224450","16561",
"5001800US1210","Congressional District 10 (118th Congress), Florida","784303","20232","581189","18473","203114","13235",
"5001800US1211","Congressional District 11 (118th Congress), Florida","843676","17612","709087","16354","134589","11534",
"5001800US1212","Congressional District 12 (118th Congress), Florida","843806","8875","761673","10688","82133","7103",
"5001800US1213","Congressional District 13 (118th Congress), Florida","767679","7868","671443","8101","96236","6491",
"5001800US1214","Congressional District 14 (118th Congress), Florida","784928","20740","616111","17502","168817","13007",
"5001800US1215","Congressional District 15 (118th Congress), Florida","828431","24595","678905","22054","149526","12152",
"5001800US1216","Congressional District 16 (118th Congress), Florida","850603","18973","718178","21080","132425","9690",
"5001800US1217","Congressional District 17 (118th Congress), Florida","851634","9279","724983","9248","126651","8896",
"5001800US1218","Congressional District 18 (118th Congress), Florida","853391","15411","741647","16330","111744","8018",
"5001800US1219","Congressional District 19 (118th Congress), Florida","809197","12201","666003","12751","143194","10700",
"5001800US1220","Congressional District 20 (118th Congress), Florida","803297","17214","506590","17932","296707","13494",
"5001800US1221","Congressional District 21 (118th Congress), Florida","820276","9525","680698","11519","139578","9992",
"5001800US1222","Congressional District 22 (118th Congress), Florida","773713","14492","536178","13846","237535","12221",
"5001800US1223","Congressional District 23 (118th Congress), Florida","780374","16413","541109","14639","239265","13408",
"5001800US1224","Congressional District 24 (118th Congress), Florida","772726","17019","426309","14282","346417","14785",
"5001800US1225","Congressional District 25 (118th Congress), Florida","779002","10353","462772","13673","316230","12459",
"5001800US1226","Congressional District 26 (118th Congress), Florida","809482","15020","358233","13593","451249","12140",
"5001800US1227","Congressional District 27 (118th Congress), Florida","746930","17819","341538","12409","405392","14041",
"5001800US1228","Congressional District 28 (118th Congress), Florida","765111","17620","375030","14933","390081","12969",
