"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","724287","169","473484","1536","190966","1620","4883","592","11091","559","310","155","10976","1492","32577","1992","12095","1301","20482","1667",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","717019","2609","436848","1620","221824","2380","1891","252","12283","559","199","59","10942","1211","33032","1413","12944","1007","20088","1275",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","721038","957","493356","1483","175840","1672","1606","485","10316","469","487","205","10789","1164","28644","1914","9772","1171","18872","1465",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","721519","2783","597371","2953","51713","982","5429","998","4006","403","616","549","26920","2113","35464","2113","16304","1808","19160","1179",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","732520","1492","522614","2251","130130","1695","4654","701","13411","605","450","147","17577","1663","43684","2672","17421","1960","26263","1850",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","714716","3725","506926","3533","143883","3292","2564","858","12132","970","392","230","17293","1914","31526","2253","16034","1993","15492","1186",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","723154","4811","272771","3740","404151","4368","1464","429","8730","848","110","119","12805","1977","23123","1999","9331","1325","13792","1660",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","733971","*****","445545","2053","22774","1107","101226","1961","47099","1397","11379","567","16144","1774","89804","2872","17974","1477","71830","2536",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","800544","6386","597464","5878","29349","2155","13949","1508","35502","2566","1712","627","34349","2958","88219","3767","58093","3406","30126","2149",
