"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","735373","2819","478295","3790","198155","3496","5118","1295","11190","1219","0","216","13532","3426","29083","4557","10942","2882","18141","3422",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","690107","6886","417989","4415","217357","7522","1921","630","7730","1917","152","144","11133","2581","33825","4772","14000","2962","19825","3400",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","742147","5538","493160","3539","188527","7277","1956","1193","15125","1240","0","216","8877","2195","34502","5727","11908","3088","22594","4986",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","708532","6011","588935","6293","46052","3582","7144","3395","4857","1332","43","66","27642","4863","33859","4314","15185","3021","18674","2950",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","773212","216","555575","3339","126648","4679","4752","1339","10407","1867","1132","860","15439","3774","59259","6347","20297","4208","38962","5236",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","723686","10486","546977","6786","107812","9146","3122","1590","13347","1907","166","192","14938","3165","37324","5375","16770","3643","20554","3662",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","666820","12561","200950","8071","420555","11517","817","495","6157","2355","168","224","15414","3848","22759","4885","10078","2917","12681","3594",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","732673","*****","435004","3285","22003","2422","100397","4471","47347","2536","11171","1369","19118","3239","97633","6708","23007","3150","74626","5478",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","774354","9460","413227","11182","24513","3457","166732","4929","14137","3110","1550","770","55843","7229","98352","7099","64977","7320","33375","4054",
