"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","717438","3217","479955","4356","196641","4124","7360","1669","10157","1513","138","140","8207","3217","14980","3288","496","421","14484","3260",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","674920","6894","424115","4079","217508","6922","2098","747","8458","1353","304","260","9399","2755","13038","2475","1421","763","11617","2373",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","717896","5519","494456","4317","188613","6106","2142","1235","13239","1660","374","281","6976","2811","12096","2714","246","341","11850","2673",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","687453","6630","596835","7561","50846","2922","3277","1147","3259","955","721","459","20302","3093","12213","2130","355","379","11858","2101",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","735858","206","552016","2919","134999","2663","4005","1286","12180","919","355","307","13056","2706","19247","2936","1978","1183","17269","2620",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","699605","8896","549842","6770","111688","6487","2721","1659","11070","1646","0","206","12490","3699","11794","2787","1268","756","10526","2651",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","670015","11607","229156","8825","419256","8392","1662","978","7766","1642","0","206","4021","1414","8154","2067","494","338","7660","2062",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","731545","*****","469771","4147","22551","1965","115544","3935","43678","2428","9923","834","12602","3697","57476","5446","2591","923","54885","5220",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","782088","10038","502033","9842","22032","3561","180019","4435","12520","2733","1474","554","34882","6050","29128","4333","4091","1521","25037","3956",
"5001600US0402","Congressional District 2 (116th Congress), Arizona","733197","13189","599844","11888","31650","2910","10104","2536","20725","2525","1728","460","34089","5449","35057","5028","6117","2492","28940","4547",
"5001600US0403","Congressional District 3 (116th Congress), Arizona","801531","19365","596963","20884","35114","6264","37049","4738","13733","2731","911","905","79585","9819","38176","5737","9036","3045","29140","4605",
"5001600US0404","Congressional District 4 (116th Congress), Arizona","825763","14933","725078","13679","13707","4647","18525","3339","8637","1782","783","478","32451","7263","26582","4602","4487","1956","22095","3918",
"5001600US0405","Congressional District 5 (116th Congress), Arizona","849917","12828","704936","15158","33878","5984","9390","2698","45334","7216","466","532","23151","5105","32762","4907","7129","3197","25633","4159",
