bioguide_id,congress,chamber,stateCode,district,gender,committees
R000543,94,House of Representatives,IL,3.0,,
R000543,95,House of Representatives,IL,3.0,,
R000543,96,House of Representatives,IL,3.0,,
R000543,97,House of Representatives,IL,3.0,,
R000543,98,House of Representatives,IL,3.0,,
R000543,99,House of Representatives,IL,3.0,,
R000543,100,House of Representatives,IL,3.0,,
R000543,101,House of Representatives,IL,3.0,,
R000543,102,House of Representatives,IL,3.0,,
P000598,111,House of Representatives,CO,2.0,,
P000598,112,House of Representatives,CO,2.0,M,Committee on Rules|Committee on the Judiciary
P000598,113,House of Representatives,CO,2.0,M,Committee on Education and the Workforce|Committee on Rules
P000598,114,House of Representatives,CO,2.0,M,Committee on Education and the Workforce|Committee on Natural Resources|Committee on Rules
P000598,115,House of Representatives,CO,2.0,,
Z000002,94,House of Representatives,NY,15.0,,
Z000002,95,House of Representatives,NY,15.0,,
Z000002,96,House of Representatives,NY,15.0,,
Z000002,97,House of Representatives,NY,15.0,,
R000599,113,House of Representatives,CA,36.0,M,Committee on Natural Resources|Committee on Veterans' Affairs
R000599,114,House of Representatives,CA,36.0,M,Committee on Natural Resources|Committee on Veterans' Affairs
R000599,115,House of Representatives,CA,36.0,M,Committee on Energy and Commerce
R000599,116,House of Representatives,CA,36.0,M,Committee on Energy and Commerce
R000599,117,House of Representatives,CA,36.0,M,Committee on Energy and Commerce|Committee on Veterans' Affairs
R000599,118,House of Representatives,CA,25.0,M,Committee on Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic
R000599,119,House of Representatives,CA,25.0,M,Committee on Energy and Commerce
B001306,115,House of Representatives,OH,12.0,M,"Committee on Science, Space, and Technology|Committee on Small Business"
B001306,116,House of Representatives,OH,12.0,M,"Committee on Science, Space, and Technology|Committee on Small Business|Committee on Transportation and Infrastructure"
B001306,117,House of Representatives,OH,12.0,M,Committee on Agriculture|Committee on Transportation and Infrastructure
B001306,118,House of Representatives,OH,12.0,M,Committee on Energy and Commerce
B001306,119,House of Representatives,OH,12.0,M,Committee on Energy and Commerce
G000511,96,House of Representatives,NJ,14.0,,
G000511,97,House of Representatives,NJ,14.0,,
G000511,98,House of Representatives,NJ,14.0,,
G000511,99,House of Representatives,NJ,14.0,,
G000511,100,House of Representatives,NJ,14.0,,
G000511,101,House of Representatives,NJ,14.0,,
G000511,102,House of Representatives,NJ,14.0,,
B000996,104,House of Representatives,TN,7.0,,
B000996,105,House of Representatives,TN,7.0,,
B000996,106,House of Representatives,TN,7.0,,
B000996,107,House of Representatives,TN,7.0,,
S000124,89,House of Representatives,NY,21.0,,
S000124,90,House of Representatives,NY,21.0,,
S000124,91,House of Representatives,NY,21.0,,
S000124,92,House of Representatives,NY,22.0,,
S000124,94,House of Representatives,NY,11.0,,
S000124,95,House of Representatives,NY,11.0,,
S000124,96,House of Representatives,NY,11.0,,
S000124,97,House of Representatives,NY,11.0,,
S000124,98,House of Representatives,NY,8.0,,
S000124,99,House of Representatives,NY,8.0,,
S000124,100,House of Representatives,NY,8.0,,
S000124,101,House of Representatives,NY,8.0,,
S000124,102,House of Representatives,NY,8.0,,
G000598,118,House of Representatives,CA,42.0,M,Committee on Homeland Security|Committee on Oversight and Accountability|Select Subcommittee on the Coronavirus Pandemic
G000598,119,House of Representatives,CA,42.0,M,Committee on Oversight and Accountability|Committee on Transportation and Infrastructure
M001136,117,House of Representatives,MI,10.0,F,Committee on Armed Services|Committee on Education and the Workforce
M001136,118,House of Representatives,MI,9.0,F,Committee on Armed Services|Committee on Education and the Workforce|Committee on Oversight and Accountability|Committee on the Budget
M001136,119,House of Representatives,MI,9.0,F,Committee on Education and the Workforce|Committee on Financial Services
R000460,90,House of Representatives,DE,,,
R000460,91,Senate,DE,,,
R000460,92,Senate,DE,,,
R000460,93,Senate,DE,,,
R000460,94,Senate,DE,,,
R000460,95,Senate,DE,,,
R000460,96,Senate,DE,,,
R000460,97,Senate,DE,,,
R000460,98,Senate,DE,,,
R000460,99,Senate,DE,,,
R000460,100,Senate,DE,,,
R000460,101,Senate,DE,,,
R000460,102,Senate,DE,,,
R000460,103,Senate,DE,,,
R000460,104,Senate,DE,,,
R000460,105,Senate,DE,,,
R000460,106,Senate,DE,,,
S001153,107,House of Representatives,CA,31.0,,
S001153,108,House of Representatives,CA,32.0,,
S001153,109,House of Representatives,CA,32.0,,
S001153,110,House of Representatives,CA,32.0,,
S001153,111,House of Representatives,CA,32.0,,
R000586,112,House of Representatives,OH,16.0,M,Committee on Financial Services
R000586,113,House of Representatives,OH,16.0,M,Committee on Ways and Means
R000586,114,House of Representatives,OH,16.0,M,Committee on Ways and Means|Committee on the Budget
R000586,115,House of Representatives,OH,16.0,,
B001322,119,House of Representatives,WA,5.0,M,Committee on Education and the Workforce|Committee on Foreign Affairs|Committee on the Judiciary
C001040,106,Senate,RI,,,
C001040,107,Senate,RI,,,
C001040,108,Senate,RI,,,
C001040,109,Senate,RI,,,
M001237,119,House of Representatives,MI,8.0,F,Committee on Agriculture|Committee on Transportation and Infrastructure
S001173,110,House of Representatives,OH,18.0,,
S001173,111,House of Representatives,OH,18.0,,
T000487,118,House of Representatives,HI,2.0,F,Committee on Agriculture|Committee on Armed Services|Select Subcommittee on the Coronavirus Pandemic
T000487,119,House of Representatives,HI,2.0,F,Committee on Agriculture|Committee on Armed Services|Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party
W000794,107,House of Representatives,CA,32.0,,
W000794,108,House of Representatives,CA,33.0,,
W000794,109,House of Representatives,CA,33.0,,
W000794,110,House of Representatives,CA,33.0,,
W000794,111,House of Representatives,CA,33.0,,
G000561,111,Senate,WV,,,
B001324,119,House of Representatives,MO,1.0,M,Committee on Armed Services|Committee on Oversight and Accountability
G000590,116,House of Representatives,TN,7.0,M,Committee on Homeland Security|Committee on Oversight and Accountability
G000590,117,House of Representatives,TN,7.0,M,Committee on Armed Services|Committee on Foreign Affairs|Select Subcommittee on the Coronavirus Pandemic
G000590,118,House of Representatives,TN,7.0,M,Committee on Foreign Affairs|Committee on Homeland Security
G000590,119,House of Representatives,TN,7.0,,
S000407,98,House of Representatives,MN,6.0,,
S000407,99,House of Representatives,MN,6.0,,
S000407,100,House of Representatives,MN,6.0,,
S000407,101,House of Representatives,MN,6.0,,
S000407,102,House of Representatives,MN,6.0,,
D000618,113,House of Representatives,MT,,M,Committee on Homeland Security|Committee on Natural Resources|Committee on Transportation and Infrastructure
D000618,114,Senate,MT,,M,"Committee on Appropriations|Committee on Commerce, Science, and Transportation|Committee on Energy and Natural Resources|Committee on Indian Affairs"
D000618,115,Senate,MT,,M,"Committee on Agriculture, Nutrition, and Forestry|Committee on Appropriations|Committee on Energy and Natural Resources|Committee on Homeland Security and Governmental Affairs|Committee on Indian Affairs"
D000618,116,Senate,MT,,M,Committee on Appropriations|Committee on Energy and Natural Resources|Committee on Finance|Committee on Indian Affairs
D000618,117,Senate,MT,,M,"Committee on Banking, Housing, and Urban Affairs|Committee on Energy and Natural Resources|Committee on Finance|Committee on Indian Affairs"
D000618,118,Senate,MT,,M,"Committee on Banking, Housing, and Urban Affairs|Committee on Energy and Natural Resources|Committee on Finance|Committee on Indian Affairs"
D000618,119,Senate,MT,,M,Committee on Energy and Natural Resources|Committee on Finance|Committee on Foreign Relations|Committee on Indian Affairs
S000423,94,House of Representatives,IL,24.0,,
S000423,95,House of Representatives,IL,24.0,,
S000423,96,House of Representatives,IL,24.0,,
S000423,97,House of Representatives,IL,24.0,,
S000423,98,House of Representatives,IL,22.0,,
S000423,99,Senate,IL,,,
S000423,100,Senate,IL,,,
S000423,101,Senate,IL,,,
S000423,102,Senate,IL,,,
S000423,103,Senate,IL,,,
S000423,104,Senate,IL,,,
S000779,98,House of Representatives,WV,2.0,,
S000779,99,House of Representatives,WV,2.0,,
S000779,100,House of Representatives,WV,2.0,,
S000779,101,House of Representatives,WV,2.0,,
S000779,102,House of Representatives,WV,2.0,,
L000304,101,Senate,CT,,,
L000304,102,Senate,CT,,,
L000304,103,Senate,CT,,,
L000304,104,Senate,CT,,,
L000304,105,Senate,CT,,,
L000304,106,Senate,CT,,,
L000304,107,Senate,CT,,,
L000304,108,Senate,CT,,,
L000304,109,Senate,CT,,,
L000304,110,Senate,CT,,,
L000304,111,Senate,CT,,,
L000304,112,Senate,CT,,M,Committee on Armed Services|Committee on Homeland Security and Governmental Affairs|Committee on Small Business and Entrepreneurship
S001183,112,House of Representatives,AZ,5.0,M,Committee on Financial Services
S001183,113,House of Representatives,AZ,6.0,M,"Committee on Science, Space, and Technology|Committee on Small Business"
S001183,114,House of Representatives,AZ,6.0,M,Committee on Financial Services
S001183,115,House of Representatives,AZ,6.0,M,Committee on Ways and Means
S001183,116,House of Representatives,AZ,6.0,M,Committee on Ways and Means
S001183,117,House of Representatives,AZ,6.0,M,Committee on Ways and Means|Joint Economic Committee
S001183,118,House of Representatives,AZ,1.0,M,Committee on Ways and Means|Joint Economic Committee
S001183,119,House of Representatives,AZ,1.0,M,Committee on Ways and Means|Joint Economic Committee
I000058,118,House of Representatives,MD,4.0,M,Committee on Ethics|Committee on Homeland Security|Committee on the Judiciary
I000058,119,House of Representatives,MD,4.0,M,Committee on Appropriations|Committee on Ethics
C000174,98,House of Representatives,DE,,,
C000174,99,House of Representatives,DE,,,
C000174,100,House of Representatives,DE,,,
C000174,101,House of Representatives,DE,,,
C000174,102,House of Representatives,DE,,,
C000174,107,Senate,DE,,,
C000174,108,Senate,DE,,,
