feature,importance,fold
leverage_pl,1556.9850006103516,1
leverage_ne,4266.875282287598,1
committee_pl,102.09849834442139,1
committee_ne,25.964500427246094,1
employ_industry_pl,545.960786819458,1
employ_industry_ne,0.0,1
payroll_industry_pl,9.692839622497559,1
payroll_industry_ne,0.0,1
ethnicity_pl,85.26461219787598,1
ethnicity_ne,314.81719398498535,1
party_value_pl,136.27229595184326,1
party_value_ne,42.32590103149414,1
party_score_pl,937.0080947875977,1
party_score_ne,1879.6933841705322,1
leverage_pl,2339.4373254776,2
leverage_ne,5471.6550369262695,2
committee_pl,147.25529766082764,2
committee_ne,55.28520107269287,2
employ_industry_pl,682.9875440597534,2
employ_industry_ne,0.0,2
payroll_industry_pl,91.42881965637207,2
payroll_industry_ne,0.0,2
ethnicity_pl,116.83676242828369,2
ethnicity_ne,574.2188396453857,2
party_value_pl,119.31181716918945,2
party_value_ne,0.0,2
party_score_pl,1555.0377197265625,2
party_score_ne,3707.987483024597,2
leverage_pl,7483.86249101162,3
leverage_ne,20651.096012592316,3
committee_pl,1285.05138194561,3
committee_ne,540.9196102619171,3
employ_industry_pl,2400.2626645565033,3
employ_industry_ne,157.7695484161377,3
payroll_industry_pl,721.5166298151016,3
payroll_industry_ne,83.33512043952942,3
ethnicity_pl,1699.0870813131332,3
ethnicity_ne,2069.4834218025208,3
party_value_pl,1335.1193268299103,3
party_value_ne,233.3649821281433,3
party_score_pl,11122.035133838654,3
party_score_ne,18842.599242568016,3
leverage_pl,7149.103637814522,4
leverage_ne,20201.894042134285,4
committee_pl,1358.2982794046402,4
committee_ne,608.473629117012,4
employ_industry_pl,2421.6646419763565,4
employ_industry_ne,98.00861954689026,4
payroll_industry_pl,1097.8904399871826,4
payroll_industry_ne,159.71871984004974,4
ethnicity_pl,1830.2912728786469,4
ethnicity_ne,2450.9006321430206,4
party_value_pl,1441.8869146108627,4
party_value_ne,266.4550927877426,4
party_score_pl,11704.501250863075,4
party_score_ne,19945.57494544983,4
leverage_pl,6188.466759443283,5
leverage_ne,20066.070001602173,5
committee_pl,1357.5085706710815,5
committee_ne,279.55632972717285,5
employ_industry_pl,2337.1014909744263,5
employ_industry_ne,68.3130795955658,5
payroll_industry_pl,736.100478887558,5
payroll_industry_ne,61.48201012611389,5
ethnicity_pl,1463.3250756263733,5
ethnicity_ne,1839.5348191261292,5
party_value_pl,1150.6864280700684,5
party_value_ne,171.3377616405487,5
party_score_pl,10420.413447856903,5
party_score_ne,19529.576217651367,5
