feature,importance,fold
leverage_pl,6322.550261497498,1
leverage_ne,38377.16335487366,1
committee_pl,1365.7317161560059,1
committee_ne,1886.9350891113281,1
employ_industry_pl,5882.0796365737915,1
employ_industry_ne,450.0968952178955,1
payroll_industry_pl,5170.3927755355835,1
payroll_industry_ne,274.7969036102295,1
ethnicity_pl,4238.246613502502,1
ethnicity_ne,3771.486608505249,1
party_value_pl,1377.4806995391846,1
party_value_ne,466.0095958709717,1
party_score_pl,37418.66451835632,1
party_score_ne,61094.715017318726,1
leverage_pl,5610.215673446655,2
leverage_ne,37665.1110496521,2
committee_pl,682.6718044281006,2
committee_ne,2235.1291065216064,2
employ_industry_pl,5980.162289619446,2
employ_industry_ne,146.01329803466797,2
payroll_industry_pl,3910.502477645874,2
payroll_industry_ne,137.7198028564453,2
ethnicity_pl,2930.0490980148315,2
ethnicity_ne,3793.7348852157593,2
party_value_pl,1586.3740844726562,2
party_value_ne,523.9234924316406,2
party_score_pl,41816.046805381775,2
party_score_ne,58250.52806568146,2
leverage_pl,3834.207004547119,3
leverage_ne,32346.565683364868,3
committee_pl,197.65430068969727,3
committee_ne,1306.0784091949463,3
employ_industry_pl,2231.6352043151855,3
employ_industry_ne,0.0,3
payroll_industry_pl,2101.7341327667236,3
payroll_industry_ne,110.65690231323242,3
ethnicity_pl,1365.3632850646973,3
ethnicity_ne,2369.7202892303467,3
party_value_pl,1360.1123065948486,3
party_value_ne,472.18441009521484,3
party_score_pl,18939.90275001526,3
party_score_ne,28893.154006958008,3
leverage_pl,7214.194854736328,4
leverage_ne,35930.9886341095,4
committee_pl,1112.091591835022,4
committee_ne,2173.104884147644,4
employ_industry_pl,4710.997812271118,4
employ_industry_ne,295.3705062866211,4
payroll_industry_pl,3496.1976556777954,4
payroll_industry_ne,307.9792079925537,4
ethnicity_pl,3366.8663511276245,4
ethnicity_ne,3345.019672393799,4
party_value_pl,1550.3057956695557,4
party_value_ne,574.1417989730835,4
party_score_pl,40868.29362869263,4
party_score_ne,60706.513763427734,4
leverage_pl,6525.5018100738525,5
leverage_ne,36149.93365287781,5
committee_pl,658.4305992126465,5
committee_ne,1721.9376153945923,5
employ_industry_pl,5013.082188606262,5
employ_industry_ne,396.6629981994629,5
payroll_industry_pl,3880.6114921569824,5
payroll_industry_ne,347.06489753723145,5
ethnicity_pl,3544.0703105926514,5
ethnicity_ne,3656.5188913345337,5
party_value_pl,2006.446515083313,5
party_value_ne,357.7365036010742,5
party_score_pl,39155.318826675415,5
party_score_ne,56046.94554615021,5
