"congress","issue","decision"
"115","Agriculture and Food","dom"
"115","Agriculture and Food","dom"
"115","Alliance and Collective Security","dom"
"115","Alliance and Collective Security","dom"
"115","Armed Forces","dom"
"115","Armed Forces","dom"
"115","Art, Culture, Religion","dom"
"115","Art, Culture, Religion","dom"
"115","Civil Rights and Liberties, Minority Issues","prof"
"115","Civil Rights and Liberties, Minority Issues","prof"
"115","Commerce","dom"
"115","Commerce","dom"
"115","Congressional political operations","dom"
"115","Congressional political operations","dom"
"115","Crime and Law Enforcement","prof"
"115","Crime and Law Enforcement","prof"
"115","Economics and Public Finance","dom"
"115","Economics and Public Finance","prof"
"115","Education","prof"
"115","Education","prof"
"115","Emergency Management","dom"
"115","Emergency Management","dom"
"115","Energy","dom"
"115","Energy","dom"
"115","Environmental Protection","dom"
"115","Environmental Protection","dom"
"115","Finance and Financial Sector","dom"
"115","Finance and Financial Sector","dom"
"115","Foreign Affairs","prof"
"115","Foreign Affairs","prof"
"115","Government Operations and Politics","dom"
"115","Government Operations and Politics","dom"
"115","Health","dom"
"115","Health","dom"
"115","Housing and Community Development","dom"
"115","Housing and Community Development","dom"
"115","Human Rights","dom"
"115","Human Rights","dom"
"115","Immigration","dom"
"115","Immigration","dom"
"115","International Finance","dom"
"115","International Finance","dom"
"115","International Trade","dom"
"115","International Trade","dom"
"115","Labor and Employment","dom"
"115","Labor and Employment","dom"
"115","Law","dom"
"115","Law","dom"
"115","National Security","dom"
"115","National Security","dom"
"115","Public Lands and Natural Resources","prof"
"115","Public Lands and Natural Resources","prof"
"115","Science, Technology, Communications","intl"
"115","Science, Technology, Communications","intl"
"115","Social Science and History","dom"
"115","Social Science and History","dom"
"115","Social Welfare","dom"
"115","Social Welfare","dom"
"115","Taxation","dom"
"115","Taxation","dom"
"115","Transportation and Public Works","dom"
"115","Transportation and Public Works","dom"
"115","Water Resources Development","dom"
"115","Water Resources Development","dom"
"116","Agriculture and Food","dom"
"116","Agriculture and Food","dom"
"116","Alliance and Collective Security","dom"
"116","Alliance and Collective Security","dom"
"116","Armed Forces","dom"
"116","Armed Forces","dom"
"116","Art, Culture, Religion","dom"
"116","Art, Culture, Religion","dom"
"116","Civil Rights and Liberties, Minority Issues","prof"
"116","Civil Rights and Liberties, Minority Issues","prof"
"116","Commerce","prof"
"116","Commerce","prof"
"116","Congressional political operations","dom"
"116","Congressional political operations","dom"
"116","Crime and Law Enforcement","prof"
"116","Crime and Law Enforcement","prof"
"116","Economics and Public Finance","prof"
"116","Economics and Public Finance","prof"
"116","Education","prof"
"116","Education","prof"
"116","Emergency Management","dom"
"116","Emergency Management","dom"
"116","Energy","dom"
"116","Energy","dom"
"116","Environmental Protection","dom"
"116","Environmental Protection","dom"
"116","Finance and Financial Sector","dom"
"116","Finance and Financial Sector","dom"
"116","Foreign Affairs","prof"
"116","Foreign Affairs","prof"
"116","Government Operations and Politics","dom"
"116","Government Operations and Politics","dom"
"116","Health","prof"
"116","Health","prof"
"116","Housing and Community Development","dom"
"116","Housing and Community Development","dom"
"116","Human Rights","dom"
"116","Human Rights","dom"
"116","Immigration","dom"
"116","Immigration","dom"
"116","International Finance","dom"
"116","International Finance","dom"
"116","International Trade","dom"
"116","International Trade","dom"
"116","Labor and Employment","dom"
"116","Labor and Employment","dom"
"116","Law","prof"
"116","Law","prof"
"116","National Security","dom"
"116","National Security","dom"
"116","Public Lands and Natural Resources","prof"
"116","Public Lands and Natural Resources","prof"
"116","Science, Technology, Communications","intl"
"116","Science, Technology, Communications","intl"
"116","Social Science and History","dom"
"116","Social Science and History","dom"
"116","Social Welfare","dom"
"116","Social Welfare","dom"
"116","Taxation","dom"
"116","Taxation","dom"
"116","Transportation and Public Works","dom"
"116","Transportation and Public Works","dom"
"116","Water Resources Development","dom"
"116","Water Resources Development","dom"
"117","Agriculture and Food","dom"
"117","Agriculture and Food","prof"
"117","Alliance and Collective Security","dom"
"117","Alliance and Collective Security","dom"
"117","Armed Forces","dom"
"117","Armed Forces","dom"
"117","Art, Culture, Religion","dom"
"117","Art, Culture, Religion","dom"
"117","Civil Rights and Liberties, Minority Issues","prof"
"117","Civil Rights and Liberties, Minority Issues","dom"
"117","Commerce","prof"
"117","Commerce","prof"
"117","Congressional political operations","dom"
"117","Congressional political operations","dom"
"117","Crime and Law Enforcement","prof"
"117","Crime and Law Enforcement","prof"
"117","Economics and Public Finance","dom"
"117","Economics and Public Finance","dom"
"117","Education","prof"
"117","Education","prof"
"117","Emergency Management","prof"
"117","Emergency Management","prof"
"117","Energy","prof"
"117","Energy","prof"
"117","Environmental Protection","dom"
"117","Environmental Protection","dom"
"117","Finance and Financial Sector","dom"
"117","Finance and Financial Sector","dom"
"117","Foreign Affairs","prof"
"117","Foreign Affairs","prof"
"117","Government Operations and Politics","dom"
"117","Government Operations and Politics","dom"
"117","Health","dom"
"117","Health","dom"
"117","Housing and Community Development","prof"
"117","Housing and Community Development","prof"
"117","Human Rights","prof"
"117","Human Rights","prof"
"117","Immigration","dom"
"117","Immigration","dom"
"117","International Finance","dom"
"117","International Finance","dom"
"117","International Trade","dom"
"117","International Trade","dom"
"117","Labor and Employment","prof"
"117","Labor and Employment","prof"
"117","Law","prof"
"117","Law","prof"
"117","National Security","prof"
"117","National Security","prof"
"117","Public Lands and Natural Resources","dom"
"117","Public Lands and Natural Resources","dom"
"117","Science, Technology, Communications","intl"
"117","Science, Technology, Communications","intl"
"117","Social Science and History","dom"
"117","Social Science and History","dom"
"117","Social Welfare","dom"
"117","Social Welfare","dom"
"117","Taxation","dom"
"117","Taxation","dom"
"117","Transportation and Public Works","dom"
"117","Transportation and Public Works","dom"
"117","Water Resources Development","dom"
"117","Water Resources Development","prof"
"118","Agriculture and Food","dom"
"118","Agriculture and Food","dom"
"118","Alliance and Collective Security","dom"
