feature,importance,fold
leverage_pl,22932.330384591594,1
leverage_ne,23458.558955656365,1
committee_pl,6121.795972647145,1
committee_ne,1878.8998565617949,1
employ_industry_pl,7615.647560868412,1
employ_industry_ne,2754.089878823608,1
payroll_industry_pl,5345.293767277151,1
payroll_industry_ne,1299.629798643291,1
ethnicity_pl,23166.883909661323,1
ethnicity_ne,7374.709746878594,1
party_value_pl,4257.206899004057,1
party_value_ne,1826.7805368714035,1
party_score_pl,141841.72581094503,1
party_score_ne,197007.58119552024,1
leverage_pl,23595.46731279604,2
leverage_ne,23593.273182544857,2
committee_pl,6535.4079705979675,2
committee_ne,2151.934559673071,2
employ_industry_pl,8153.974667226896,2
employ_industry_ne,2637.487042929977,2
payroll_industry_pl,6730.536192530766,2
payroll_industry_ne,1487.671886175871,2
ethnicity_pl,23170.502568626776,2
ethnicity_ne,7563.7634297683835,2
party_value_pl,4257.859084971249,2
party_value_ne,2065.520475704223,2
party_score_pl,149441.94667175785,2
party_score_ne,203368.26958177984,2
leverage_pl,25087.074890593067,3
leverage_ne,25837.999916296452,3
committee_pl,6833.215186152607,3
committee_ne,2213.537902288139,3
employ_industry_pl,7119.460723688826,3
employ_industry_ne,2692.4344804622233,3
payroll_industry_pl,6034.022777769715,3
payroll_industry_ne,1485.8383546546102,3
ethnicity_pl,25114.23651601188,3
ethnicity_ne,7774.105480205268,3
party_value_pl,4394.49314340204,3
party_value_ne,2057.243103325367,3
party_score_pl,162023.91142974235,3
party_score_ne,222759.14171876758,3
leverage_pl,20578.601253759116,4
leverage_ne,19666.234846116975,4
committee_pl,4139.394707057625,4
committee_ne,1328.815092181787,4
employ_industry_pl,6339.050870221108,4
employ_industry_ne,2091.396884750575,4
payroll_industry_pl,4574.993073467165,4
payroll_industry_ne,949.784980583936,4
ethnicity_pl,18599.70467019081,4
ethnicity_ne,6562.324277088046,4
party_value_pl,2967.4333789870143,4
party_value_ne,1387.5250855721533,4
party_score_pl,93372.80573079549,4
party_score_ne,130373.4667260088,4
leverage_pl,20500.552414942533,5
leverage_ne,20279.420960351825,5
committee_pl,4207.74380755797,5
committee_ne,1509.1842397022992,5
employ_industry_pl,6759.026179971173,5
employ_industry_ne,1997.9585170857608,5
payroll_industry_pl,4185.830544162542,5
payroll_industry_ne,1011.568430699408,5
ethnicity_pl,18925.815560828894,5
ethnicity_ne,7049.725487474352,5
party_value_pl,3206.8040175139904,5
party_value_ne,1611.0648862216622,5
party_score_pl,95992.217935998,5
party_score_ne,136023.6147807613,5
