"member_id","gender","congress","thomas_id_list","thomas_num_list","official_name_list"
"A000022","M","112","[HSBA,HSFA]","[00]","[""Committee on Financial Services"",""Committee on Foreign Affairs""]"
"A000055","M","112","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000055","M","113","[HSAP,JCSE]","[00]","[""Commission on Security and Cooperation in Europe"",""Committee on Appropriations""]"
"A000055","M","114","[HSAP,JCSE]","[00]","[""Commission on Security and Cooperation in Europe"",""Committee on Appropriations""]"
"A000055","M","115","[HSAP,JCSE]","[00]","[""Commission on Security and Cooperation in Europe"",""Committee on Appropriations""]"
"A000055","M","116","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000055","M","117","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000055","M","118","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000055","M","119","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000069","M","112","[SLIA,SSAS,SSBK,SSGA,SSVA]","[00]","[""Committee on Armed Services"",""Committee on Banking, Housing, and Urban Affairs"",""Committee on Homeland Security and Governmental Affairs"",""Committee on Indian Affairs"",""Committee on Veterans' Affairs""]"
"A000148","M","117","[HSBA,HSPW]","[00]","[""Committee on Financial Services"",""Committee on Transportation and Infrastructure""]"
"A000148","M","118","[HSPW,HSZS]","[00]","[""Committee on Transportation and Infrastructure"",""Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party""]"
"A000148","M","119","[HSIF]","[00]","[""Committee on Energy and Commerce""]"
"A000210","M","112","[HSAS,HSED]","[00]","[""Committee on Armed Services"",""Committee on Education and the Workforce""]"
"A000358","M","112","[HSAS,HSBU,HSSY]","[00]","[""Committee on Armed Services"",""Committee on Science, Space, and Technology"",""Committee on the Budget""]"
"A000360","M","112","[JSLC,JSPR,SSAP,SSEV,SSHR,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Environment and Public Works"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Rules and Administration"",""Joint Committee on Printing"",""Joint Committee on the Library""]"
"A000360","M","113","[SSAP,SSEG,SSHR,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Energy and Natural Resources"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Rules and Administration""]"
"A000360","M","114","[SSAP,SSEG,SSHR,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Energy and Natural Resources"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Rules and Administration""]"
"A000360","M","115","[SSAP,SSEG,SSHR,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Energy and Natural Resources"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Rules and Administration""]"
