"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","735510","3622","354574","2790","21105","1449","20377","2673","27389","2391","14330","837","7576","718","3123","1052","4527","1283","12920","1569","21903","1292","22175","919","21848","2434","23639","2389","21443","1738","21841","1334","21687","2006","9656","1555","14784","1780","7283","1271","13227","1625","19008","1790","12673","1260","6867","1260","5193","1074","380936","2716","19707","1214","24228","3200","20689","2909","15221","1188","7583","632","3914","1179","4673","1314","11477","1614","22243","1612","24845","1508","24231","2472","25185","2506","21864","1027","24125","1255","22347","2232","11558","1851","16577","1887","10925","1844","14433","1969","21373","2296","17147","1459","8517","1317","8074","1303",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","724401","7738","353105","4178","21259","1903","25997","2248","23681","2248","16154","1447","10251","1673","4428","952","4686","1185","13929","1673","22528","1669","20880","1585","23159","2225","21438","2026","19901","1376","23265","1299","21878","1642","8930","1275","12554","1478","9328","1166","11590","1212","14165","1312","13032","1044","5961","852","4111","772","371296","5641","20044","1748","22222","2373","23466","2659","13655","1156","9164","1540","4726","1344","3683","1025","12258","2027","21624","1661","24655","1301","25751","1931","22000","1905","23047","1493","23270","1230","23399","1863","10221","1418","14602","1504","10737","1221","12974","1268","17569","1275","14920","1226","8555","1117","8754","1047",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","730373","3227","352670","3482","18109","1511","20987","2128","22833","2410","13886","1714","11663","1365","6251","1500","5685","1187","16140","1887","21905","1695","23369","1955","20968","2543","22882","2780","20588","1743","22513","1538","21838","1992","10217","1383","13133","1592","10272","1183","13350","1518","14704","1399","11522","1176","6662","1034","3193","683","377703","3300","20779","1637","21634","2739","21832","2751","14360","2031","11833","1260","6405","1528","6315","1509","13946","2217","22891","1877","22341","1693","19706","2066","25837","2299","22969","1395","23469","1263","22562","1943","9998","1552","16313","1540","9857","1339","16754","1674","16841","1552","13959","1236","9007","1048","8095","1047",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","722049","5964","352424","4073","21681","1412","21204","1568","25803","2225","14764","1127","9035","1571","4331","999","3545","991","12074","1355","19729","1596","21009","1736","23147","2081","22531","1860","20111","1634","25442","1567","21062","1975","10382","1481","13956","1405","7708","1084","10652","1454","19628","1642","12059","1115","6944","1019","5627","896","369625","4161","22561","1735","18616","1942","25950","2150","13877","1319","8484","1327","4349","1307","5043","1018","13931","1914","20120","1316","22989","1381","22818","1947","20428","1724","20089","1080","23752","1097","22918","2104","10142","1537","16135","1631","10909","1424","12826","1412","20177","1615","15566","1346","10112","1359","7833","1172",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","758622","3654","371525","2956","20411","1334","22565","2302","23256","2533","14873","1145","9326","1452","5429","1550","4574","1245","16148","2095","24994","867","26436","1304","24386","2490","23483","2321","22185","1316","24061","1344","24853","1797","9535","1485","16017","1665","9396","1155","10391","1296","16816","1356","11730","1181","5794","1016","4866","908","387097","3099","20216","1127","22609","2253","23922","2563","16586","1083","9332","1341","6495","1849","4103","1306","13602","1941","24591","1162","25676","1212","24264","2422","25315","2085","23033","1106","23857","1182","25418","1914","10306","1454","16014","1867","9564","1391","12154","1211","18269","1589","13306","1367","9423","1270","9042","1364",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","722381","9416","349163","5318","21866","1911","20028","1801","26585","2765","18039","1438","7726","1295","2523","885","3192","1086","12812","1927","22151","1673","21542","1603","21575","2367","26749","2584","23104","1334","24401","1435","20175","1853","6673","1402","14681","1683","6782","1206","12196","1653","14381","1520","10349","1134","6288","1137","5345","1032","373218","6014","20985","1903","22506","2256","25072","2235","14482","1182","7446","1194","2231","729","3952","1202","14481","1796","24941","1632","25430","2005","22700","2184","28941","2129","23187","1907","21836","1141","22485","1714","7875","1443","15161","2012","8226","1205","12652","1479","18001","1646","14358","1564","8810","1407","7460","1123",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","715132","12470","338340","7016","18878","2298","23003","2734","20109","2908","12234","2035","18142","1666","7570","2131","6704","1542","16606","2470","21607","2034","23459","2618","23114","2786","19427","2506","16046","2013","16471","1803","20064","2069","8831","1456","12478","1527","9070","1514","12357","1443","14594","1817","8473","1232","5403","958","3700","779","376792","8107","20418","2310","19755","2588","20675","2459","12173","1888","18499","2047","7053","1705","7197","1558","16764","2664","22656","1891","25828","2506","23272","2709","20458","2466","22453","1952","21755","1866","18209","2048","9839","1362","17538","2063","9410","1146","13855","1581","19604","1828","13412","1546","8350","1086","7619","1123",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","733406","*****","385855","2547","24360","1373","25263","2125","26115","2039","15969","1358","9221","2802","6090","1864","5860","1435","16458","3702","29917","1813","28745","1448","31003","2513","27244","2417","22807","1689","21297","1230","20716","1565","10356","1275","13701","1483","7453","1030","11435","1314","15124","1371","9517","1025","4432","929","2772","648","347551","2547","20851","1221","23500","1938","25811","2358","12497","1274","6193","802","4413","1245","3529","1173","13384","2240","25410","1539","27778","1297","26889","2186","24995","2104","19068","1001","19010","1104","19255","1701","9684","1444","13019","1426","7794","1050","10017","1272","14815","1228","10695","1233","4479","761","4465","994",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","804256","22081","393913","13714","16486","2367","20254","2590","17917","2918","12762","2229","6911","1417","3555","1390","3642","1277","15383","3248","31044","3807","30580","3519","28761","3269","25535","3386","21946","2741","24511","2558","26223","2755","13754","2132","19461","2334","9206","1587","14592","1795","19596","2081","16736","1797","8740","1361","6318","917","410343","11988","19484","2762","20616","3346","18910","3168","15144","2330","6389","1903","2885","1022","3922","1388","14023","2617","30464","4059","29450","3658","27528","3494","23402","2628","20446","2617","28187","3160","27195","2675","12800","1740","16138","2211","9983","1504","16676","2375","24879","2467","17865","2001","11289","1397","12668","1745",
