"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","498395","558","4962","619","18","21","38","34","60","49","258","191","328","176","592","228","510","171","1493","412","1417","271","4279","509","8854","966","11620","994","13610","980","10050","1281","138636","3137","25792","1617","29230","1609","75345","2437","44146","1946","81239","2926","33551","1660","7487","747","4880","599",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","471253","1912","6328","564","115","79","182","92","135","96","373","125","542","139","372","128","975","228","2040","279","2886","377","5365","521","9495","706","12915","978","12681","715","9519","703","125502","2775","27708","1205","29031","1180","71238","2257","43772","1443","68071","1919","31270","1327","6122","541","4616","597",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","493155","1481","7161","629","63","63","70","53","149","130","326","136","604","212","524","184","667","194","2297","400","2750","446","6748","802","9221","752","14419","1016","13394","907","10068","932","121400","2675","28887","1359","31730","1340","78946","2351","45697","1713","68614","2171","35868","1651","6989","732","6563","625",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","485130","1668","7517","733","78","54","87","54","150","84","524","170","1612","359","834","216","902","216","3765","497","4107","521","7556","782","11760","936","16350","1223","14195","1054","8462","674","134644","2505","30446","1157","34797","1195","70292","1981","47126","1916","55879","1781","24306","1111","5446","662","4295","590",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","520405","332","6240","773","151","176","26","28","85","74","257","163","781","257","337","138","845","273","2502","401","2081","322","5151","658","9264","967","10574","969","11105","882","8143","858","108794","3092","24320","1314","32200","1643","76597","2364","42751","1901","111158","2813","52340","1839","6970","705","7733","633",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","504166","2741","5126","781","97","72","38","57","59","48","72","50","361","195","261","154","818","232","2234","442","1469","279","2909","391","5630","880","7754","691","8148","968","7702","730","105304","2206","20077","1062","31690","1671","72007","1972","41274","1899","119253","2446","47571","1755","15606","1071","8706","780",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","441299","3533","6479","739","56","44","47","67","145","86","127","80","500","212","340","139","510","170","2062","396","2127","429","3920","521","6890","627","11154","918","15855","1047","11243","1046","130065","2730","19634","1163","25456","1521","70264","2186","38533","1669","59414","2335","26134","1426","5456","681","4888","674",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","484382","425","3675","501","54","51","32","22","144","86","251","129","476","114","430","174","662","193","1043","212","1137","265","3141","392","2942","306","5832","637","6937","581","5913","646","111772","2513","26101","1307","37054","1259","86787","2242","41808","1449","92691","2130","39503","1486","9969","667","6028","667",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","504940","3284","6147","602","15","12","17","18","109","62","339","108","1129","237","585","187","1754","292","3421","449","1744","317","6194","475","7468","761","9399","816","13130","787","9685","719","111994","2964","21200","1287","34089","1333","95399","2734","45863","1651","80281","2475","39760","1623","7716","851","7502","731",
