"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","498018","3091","5618","1481","0","206","104","136","64","97","167","298","11","16","461","631","437","410","1339","488","1406","622","4755","1258","10425","2889","12061","2210","12202","2101","9852","1954","143104","7322","24183","3017","29371","3232","73638","4306","44489","4138","80114","4986","33032","4389","6453","1292","4732","1313",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","462069","4597","5257","927","27","32","34","54","43","68","252","215","493","313","291","212","818","377","3552","1049","3397","819","4901","966","8137","1367","14106","2651","12279","1719","8240","1475","124185","5541","23351","2407","31844","2726","69030","3907","43236","2951","68419","4206","30137","2510","6816","1277","3224","843",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","485973","4193","7258","1659","172","289","95","154","68","97","237","222","778","487","650","638","411","283","2540","973","3194","995","7665","1589","9394","1496","15304","2439","13831","2374","10912","1884","122014","5855","28165","2941","29726","3049","69932","5822","47236","4100","65939","4517","36976","3909","6848","1532","6628","1453",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","478734","4663","7149","1284","0","206","160","251","291","280","232","210","1995","986","815","469","299","232","3355","1010","3531","1076","7103","1288","12012","1804","19186","3080","16332","2474","9201","1807","130881","5644","33029","2784","35681","3513","69564","4097","43963","3794","54939","4448","21282","2184","4061","983","3673","875",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","508746","1870","4296","1382","0","206","53","99","47","69","110","150","766","544","270","297","543","312","2810","1005","3321","870","5181","1225","8086","1322","9493","1466","10621","2031","8631","2092","112017","5810","26146","2947","32868","3318","68802","5035","44494","3584","106173","6042","52179","3730","5659","1293","6180","1369",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","485802","5922","4506","1522","0","206","0","206","313","222","174","243","382","421","435","480","813","649","2934","1170","2018","766","2958","879","4694","1221","7975","1571","7484","1505","9273","1862","95060","5289","19879","2319","29975","2928","71353","4789","38726","3401","115867","5910","45250","4175","16250","1938","9483","1720",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","440716","8488","5580","1793","14","23","82","137","300","301","224","266","512","340","466","295","289","205","2104","938","3260","1193","4134","1086","5894","1205","11178","2012","15188","2416","10762","2066","135404","6859","21823","2808","24292","2794","64397","5328","39770","3796","56524","5040","27916","2919","6092","1340","4511","1037",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","484058","2581","2291","763","203","195","101","85","534","430","381","483","587","205","134","72","1101","558","1422","655","938","499","2732","938","4211","991","5534","1133","6690","1502","4231","889","115044","5687","24112","2345","38804","3211","85457","4403","43394","3004","89583","4612","38960","3004","10924","1800","6690","1335",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","523114","8000","6401","1096","17","30","0","218","65","65","576","419","1708","868","294","187","2102","936","2263","860","1332","461","7603","1811","8410","1704","8021","1304","14479","2055","9814","1763","112529","5939","21828","2698","39795","3095","108731","5864","45451","3562","78190","4989","37722","3139","8191","1479","7592","1419",
"5001600US0402","Congressional District 2 (116th Congress), Arizona","520648","7605","5599","1351","127","151","63","86","91","108","883","579","583","380","362","321","662","446","3293","1189","1197","817","3720","1198","6542","2106","6665","1108","6567","1799","9660","1495","88865","5257","22239","2669","39257","3057","93985","5208","46382","3160","106911","5877","54426","3699","11042","1599","11527","1815",
