"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","61488","1007",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","59954","993",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","58158","1050",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","57065","962",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","75486","1661",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","79908","1376",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","48204","912",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","89336","1374",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","95281","1518",
"5001800US0402","Congressional District 2 (118th Congress), Arizona","64884","1156",
"5001800US0403","Congressional District 3 (118th Congress), Arizona","64537","1225",
"5001800US0404","Congressional District 4 (118th Congress), Arizona","79335","1131",
"5001800US0405","Congressional District 5 (118th Congress), Arizona","105750","1422",
"5001800US0406","Congressional District 6 (118th Congress), Arizona","75244","949",
"5001800US0407","Congressional District 7 (118th Congress), Arizona","58120","915",
"5001800US0408","Congressional District 8 (118th Congress), Arizona","79643","1255",
"5001800US0409","Congressional District 9 (118th Congress), Arizona","76350","1244",
"5001800US0501","Congressional District 1 (118th Congress), Arkansas","51951","848",
"5001800US0502","Congressional District 2 (118th Congress), Arkansas","62987","1359",
"5001800US0503","Congressional District 3 (118th Congress), Arkansas","71397","1173",
"5001800US0504","Congressional District 4 (118th Congress), Arkansas","51058","788",
"5001800US0601","Congressional District 1 (118th Congress), California","69110","1189",
"5001800US0602","Congressional District 2 (118th Congress), California","96195","1564",
"5001800US0603","Congressional District 3 (118th Congress), California","103981","1441",
"5001800US0604","Congressional District 4 (118th Congress), California","95443","1367",
"5001800US0605","Congressional District 5 (118th Congress), California","90061","1586",
"5001800US0606","Congressional District 6 (118th Congress), California","83626","1007",
"5001800US0607","Congressional District 7 (118th Congress), California","90495","1242",
"5001800US0608","Congressional District 8 (118th Congress), California","96779","1623",
"5001800US0609","Congressional District 9 (118th Congress), California","88713","1647",
"5001800US0610","Congressional District 10 (118th Congress), California","152089","2147",
"5001800US0611","Congressional District 11 (118th Congress), California","144015","2158",
"5001800US0612","Congressional District 12 (118th Congress), California","105647","1635",
"5001800US0613","Congressional District 13 (118th Congress), California","67615","1721",
"5001800US0614","Congressional District 14 (118th Congress), California","139901","2543",
"5001800US0615","Congressional District 15 (118th Congress), California","145326","2608",
"5001800US0616","Congressional District 16 (118th Congress), California","170331","2456",
"5001800US0617","Congressional District 17 (118th Congress), California","176832","2935",
"5001800US0618","Congressional District 18 (118th Congress), California","100769","1568",
"5001800US0619","Congressional District 19 (118th Congress), California","123362","2198",
"5001800US0620","Congressional District 20 (118th Congress), California","88149","1315",
"5001800US0621","Congressional District 21 (118th Congress), California","62084","1353",
"5001800US0622","Congressional District 22 (118th Congress), California","56600","1237",
"5001800US0623","Congressional District 23 (118th Congress), California","71862","1386",
"5001800US0624","Congressional District 24 (118th Congress), California","95050","1453",
"5001800US0625","Congressional District 25 (118th Congress), California","64102","1187",
"5001800US0626","Congressional District 26 (118th Congress), California","112536","1711",
"5001800US0627","Congressional District 27 (118th Congress), California","99788","2408",
"5001800US0628","Congressional District 28 (118th Congress), California","106826","1768",
"5001800US0629","Congressional District 29 (118th Congress), California","73842","1283",
"5001800US0630","Congressional District 30 (118th Congress), California","89166","1751",
"5001800US0631","Congressional District 31 (118th Congress), California","90026","1525",
"5001800US0632","Congressional District 32 (118th Congress), California","112041","1646",
"5001800US0633","Congressional District 33 (118th Congress), California","83261","1806",
"5001800US0634","Congressional District 34 (118th Congress), California","61498","859",
"5001800US0635","Congressional District 35 (118th Congress), California","87859","1611",
"5001800US0636","Congressional District 36 (118th Congress), California","127501","2727",
"5001800US0637","Congressional District 37 (118th Congress), California","68967","1288",
"5001800US0638","Congressional District 38 (118th Congress), California","97406","1752",
"5001800US0639","Congressional District 39 (118th Congress), California","88178","1779",
"5001800US0640","Congressional District 40 (118th Congress), California","132031","1746",
"5001800US0641","Congressional District 41 (118th Congress), California","100117","1674",
"5001800US0642","Congressional District 42 (118th Congress), California","78006","1137",
"5001800US0643","Congressional District 43 (118th Congress), California","72638","1306",
"5001800US0644","Congressional District 44 (118th Congress), California","82316","1598",
"5001800US0645","Congressional District 45 (118th Congress), California","105268","1350",
"5001800US0646","Congressional District 46 (118th Congress), California","85443","1682",
"5001800US0647","Congressional District 47 (118th Congress), California","124844","2031",
"5001800US0648","Congressional District 48 (118th Congress), California","109005","1915",
"5001800US0649","Congressional District 49 (118th Congress), California","117820","1899",
"5001800US0650","Congressional District 50 (118th Congress), California","116242","1805",
"5001800US0651","Congressional District 51 (118th Congress), California","100890","1820",
"5001800US0652","Congressional District 52 (118th Congress), California","84002","1468",
"5001800US0801","Congressional District 1 (118th Congress), Colorado","91539","1402",
"5001800US0802","Congressional District 2 (118th Congress), Colorado","98770","1789",
"5001800US0803","Congressional District 3 (118th Congress), Colorado","69034","1068",
"5001800US0804","Congressional District 4 (118th Congress), Colorado","111866","1333",
"5001800US0805","Congressional District 5 (118th Congress), Colorado","87559","1267",
"5001800US0806","Congressional District 6 (118th Congress), Colorado","96286","1506",
"5001800US0807","Congressional District 7 (118th Congress), Colorado","100667","1455",
"5001800US0808","Congressional District 8 (118th Congress), Colorado","91509","1331",
"5001800US0901","Congressional District 1 (118th Congress), Connecticut","86832","1361",
"5001800US0902","Congressional District 2 (118th Congress), Connecticut","95502","1619",
"5001800US0903","Congressional District 3 (118th Congress), Connecticut","87886","1549",
"5001800US0904","Congressional District 4 (118th Congress), Connecticut","115865","2392",
"5001800US0905","Congressional District 5 (118th Congress), Connecticut","88995","1688",
"5001800US09ZZ","Congressional Districts not defined (118th Congress), Connecticut","-","**",
"5001800US1000","Congressional District (at Large) (118th Congress), Delaware","82855","1234",
"5001800US1198","Delegate District (at Large) (118th Congress), District of Columbia","106287","1803",
"5001800US1201","Congressional District 1 (118th Congress), Florida","75410","1201",
"5001800US1202","Congressional District 2 (118th Congress), Florida","61941","870",
"5001800US1203","Congressional District 3 (118th Congress), Florida","58208","786",
"5001800US1204","Congressional District 4 (118th Congress), Florida","69098","1404",
"5001800US1205","Congressional District 5 (118th Congress), Florida","86107","2048",
"5001800US1206","Congressional District 6 (118th Congress), Florida","61872","959",
"5001800US1207","Congressional District 7 (118th Congress), Florida","78163","1309",
"5001800US1208","Congressional District 8 (118th Congress), Florida","74721","934",
"5001800US1209","Congressional District 9 (118th Congress), Florida","72040","1191",
"5001800US1210","Congressional District 10 (118th Congress), Florida","69245","1758",
"5001800US1211","Congressional District 11 (118th Congress), Florida","81463","1507",
"5001800US1212","Congressional District 12 (118th Congress), Florida","62437","807",
"5001800US1213","Congressional District 13 (118th Congress), Florida","70188","1155",
"5001800US1214","Congressional District 14 (118th Congress), Florida","71835","1145",
"5001800US1215","Congressional District 15 (118th Congress), Florida","69416","903",
"5001800US1216","Congressional District 16 (118th Congress), Florida","81348","1494",
"5001800US1217","Congressional District 17 (118th Congress), Florida","72899","1153",
"5001800US1218","Congressional District 18 (118th Congress), Florida","59488","845",
"5001800US1219","Congressional District 19 (118th Congress), Florida","78761","1442",
"5001800US1220","Congressional District 20 (118th Congress), Florida","60844","1178",
"5001800US1221","Congressional District 21 (118th Congress), Florida","79967","1390",
"5001800US1222","Congressional District 22 (118th Congress), Florida","78446","1737",
"5001800US1223","Congressional District 23 (118th Congress), Florida","82670","1232",
"5001800US1224","Congressional District 24 (118th Congress), Florida","60834","1273",
"5001800US1225","Congressional District 25 (118th Congress), Florida","83268","1591",
"5001800US1226","Congressional District 26 (118th Congress), Florida","68314","1366",
"5001800US1227","Congressional District 27 (118th Congress), Florida","76110","1548",
"5001800US1228","Congressional District 28 (118th Congress), Florida","76312","1691",
"5001800US1301","Congressional District 1 (118th Congress), Georgia","66773","1176",
"5001800US1302","Congressional District 2 (118th Congress), Georgia","50799","1124",
"5001800US1303","Congressional District 3 (118th Congress), Georgia","77091","1476",
"5001800US1304","Congressional District 4 (118th Congress), Georgia","74234","1342",
"5001800US1305","Congressional District 5 (118th Congress), Georgia","80691","1649",
"5001800US1306","Congressional District 6 (118th Congress), Georgia","126645","2632",
"5001800US1307","Congressional District 7 (118th Congress), Georgia","84338","1383",
"5001800US1308","Congressional District 8 (118th Congress), Georgia","60479","797",
"5001800US1309","Congressional District 9 (118th Congress), Georgia","76846","1477",
"5001800US1310","Congressional District 10 (118th Congress), Georgia","74442","1417",
"5001800US1311","Congressional District 11 (118th Congress), Georgia","92055","1464",
"5001800US1312","Congressional District 12 (118th Congress), Georgia","59575","994",
"5001800US1313","Congressional District 13 (118th Congress), Georgia","72951","1628",
"5001800US1314","Congressional District 14 (118th Congress), Georgia","71533","960",
"5001800US1501","Congressional District 1 (118th Congress), Hawaii","102840","1585",
"5001800US1502","Congressional District 2 (118th Congress), Hawaii","93555","1456",
"5001800US1601","Congressional District 1 (118th Congress), Idaho","76208","1079",
"5001800US1602","Congressional District 2 (118th Congress), Idaho","72927","951",
"5001800US1701","Congressional District 1 (118th Congress), Illinois","71207","1488",
"5001800US1702","Congressional District 2 (118th Congress), Illinois","61514","1153",
"5001800US1703","Congressional District 3 (118th Congress), Illinois","86160","1649",
"5001800US1704","Congressional District 4 (118th Congress), Illinois","72717","1414",
"5001800US1705","Congressional District 5 (118th Congress), Illinois","113520","2055",
"5001800US1706","Congressional District 6 (118th Congress), Illinois","98177","1306",
"5001800US1707","Congressional District 7 (118th Congress), Illinois","80071","1765",
"5001800US1708","Congressional District 8 (118th Congress), Illinois","98112","1408",
"5001800US1709","Congressional District 9 (118th Congress), Illinois","90983","1529",
"5001800US1710","Congressional District 10 (118th Congress), Illinois","105792","1651",
"5001800US1711","Congressional District 11 (118th Congress), Illinois","106961","1878",
"5001800US1712","Congressional District 12 (118th Congress), Illinois","66758","919",
"5001800US1713","Congressional District 13 (118th Congress), Illinois","61893","703",
"5001800US1714","Congressional District 14 (118th Congress), Illinois","93186","1242",
"5001800US1715","Congressional District 15 (118th Congress), Illinois","71893","748",
"5001800US1716","Congressional District 16 (118th Congress), Illinois","82941","995",
"5001800US1717","Congressional District 17 (118th Congress), Illinois","57781","863",
"5001800US17ZZ","Congressional Districts not defined (118th Congress), Illinois","-","**",
"5001800US1801","Congressional District 1 (118th Congress), Indiana","71994","994",
"5001800US1802","Congressional District 2 (118th Congress), Indiana","66298","993",
"5001800US1803","Congressional District 3 (118th Congress), Indiana","68691","899",
"5001800US1804","Congressional District 4 (118th Congress), Indiana","76323","1030",
"5001800US1805","Congressional District 5 (118th Congress), Indiana","79250","1371",
"5001800US1806","Congressional District 6 (118th Congress), Indiana","74398","1167",
"5001800US1807","Congressional District 7 (118th Congress), Indiana","61229","916",
"5001800US1808","Congressional District 8 (118th Congress), Indiana","63906","632",
"5001800US1809","Congressional District 9 (118th Congress), Indiana","70206","731",
"5001800US1901","Congressional District 1 (118th Congress), Iowa","72191","741",
"5001800US1902","Congressional District 2 (118th Congress), Iowa","71627","792",
"5001800US1903","Congressional District 3 (118th Congress), Iowa","79204","1394",
"5001800US1904","Congressional District 4 (118th Congress), Iowa","70703","635",
"5001800US2001","Congressional District 1 (118th Congress), Kansas","64651","928",
"5001800US2002","Congressional District 2 (118th Congress), Kansas","64362","1033",
"5001800US2003","Congressional District 3 (118th Congress), Kansas","100079","1398",
"5001800US2004","Congressional District 4 (118th Congress), Kansas","67563","968",
"5001800US2101","Congressional District 1 (118th Congress), Kentucky","57072","1024",
"5001800US2102","Congressional District 2 (118th Congress), Kentucky","64922","949",
"5001800US2103","Congressional District 3 (118th Congress), Kentucky","66104","1067",
"5001800US2104","Congressional District 4 (118th Congress), Kentucky","78569","1382",
"5001800US2105","Congressional District 5 (118th Congress), Kentucky","44884","963",
"5001800US2106","Congressional District 6 (118th Congress), Kentucky","66879","1043",
"5001800US2201","Congressional District 1 (118th Congress), Louisiana","73782","1465",
"5001800US2202","Congressional District 2 (118th Congress), Louisiana","50995","1139",
"5001800US2203","Congressional District 3 (118th Congress), Louisiana","61410","1089",
"5001800US2204","Congressional District 4 (118th Congress), Louisiana","51086","895",
"5001800US2205","Congressional District 5 (118th Congress), Louisiana","50058","1079",
"5001800US2206","Congressional District 6 (118th Congress), Louisiana","76053","1523",
"5001800US2301","Congressional District 1 (118th Congress), Maine","84367","1430",
"5001800US2302","Congressional District 2 (118th Congress), Maine","61795","724",
"5001800US2401","Congressional District 1 (118th Congress), Maryland","92720","1375",
"5001800US2402","Congressional District 2 (118th Congress), Maryland","98346","1872",
"5001800US2403","Congressional District 3 (118th Congress), Maryland","128806","1740",
"5001800US2404","Congressional District 4 (118th Congress), Maryland","90739","1507",
"5001800US2405","Congressional District 5 (118th Congress), Maryland","128236","2021",
"5001800US2406","Congressional District 6 (118th Congress), Maryland","100216","1228",
"5001800US2407","Congressional District 7 (118th Congress), Maryland","61623","930",
"5001800US2408","Congressional District 8 (118th Congress), Maryland","135007","1943",
"5001800US2501","Congressional District 1 (118th Congress), Massachusetts","74087","1046",
"5001800US2502","Congressional District 2 (118th Congress), Massachusetts","95618","1042",
"5001800US2503","Congressional District 3 (118th Congress), Massachusetts","97616","1663",
"5001800US2504","Congressional District 4 (118th Congress), Massachusetts","113712","1602",
"5001800US2505","Congressional District 5 (118th Congress), Massachusetts","125082","2150",
"5001800US2506","Congressional District 6 (118th Congress), Massachusetts","115872","2124",
"5001800US2507","Congressional District 7 (118th Congress), Massachusetts","88740","1996",
"5001800US2508","Congressional District 8 (118th Congress), Massachusetts","115814","1851",
"5001800US2509","Congressional District 9 (118th Congress), Massachusetts","97651","1426",
"5001800US2601","Congressional District 1 (118th Congress), Michigan","62352","524",
"5001800US2602","Congressional District 2 (118th Congress), Michigan","66266","768",
"5001800US2603","Congressional District 3 (118th Congress), Michigan","75747","912",
"5001800US2604","Congressional District 4 (118th Congress), Michigan","72434","995",
"5001800US2605","Congressional District 5 (118th Congress), Michigan","68201","823",
"5001800US2606","Congressional District 6 (118th Congress), Michigan","94632","1136",
"5001800US2607","Congressional District 7 (118th Congress), Michigan","78823","1188",
"5001800US2608","Congressional District 8 (118th Congress), Michigan","61521","827",
"5001800US2609","Congressional District 9 (118th Congress), Michigan","83485","1029",
"5001800US2610","Congressional District 10 (118th Congress), Michigan","74956","1204",
"5001800US2611","Congressional District 11 (118th Congress), Michigan","91040","1276",
"5001800US2612","Congressional District 12 (118th Congress), Michigan","58942","935",
"5001800US2613","Congressional District 13 (118th Congress), Michigan","49887","916",
"5001800US2701","Congressional District 1 (118th Congress), Minnesota","78094","855",
"5001800US2702","Congressional District 2 (118th Congress), Minnesota","107796","1253",
"5001800US2703","Congressional District 3 (118th Congress), Minnesota","107603","1722",
"5001800US2704","Congressional District 4 (118th Congress), Minnesota","88368","1266",
