"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"5001500US0101","Congressional District 1 (115th Congress), Alabama","47984","2310",
"5001500US0102","Congressional District 2 (115th Congress), Alabama","46579","1340",
"5001500US0103","Congressional District 3 (115th Congress), Alabama","46484","1685",
"5001500US0104","Congressional District 4 (115th Congress), Alabama","43218","2027",
"5001500US0105","Congressional District 5 (115th Congress), Alabama","54707","1807",
"5001500US0106","Congressional District 6 (115th Congress), Alabama","65170","1907",
"5001500US0107","Congressional District 7 (115th Congress), Alabama","35988","1381",
"5001500US0200","Congressional District (at Large) (115th Congress), Alaska","73181","2628",
"5001500US0401","Congressional District 1 (115th Congress), Arizona","50303","1633",
"5001500US0402","Congressional District 2 (115th Congress), Arizona","53516","2016",
"5001500US0403","Congressional District 3 (115th Congress), Arizona","47670","1472",
"5001500US0404","Congressional District 4 (115th Congress), Arizona","49387","1728",
"5001500US0405","Congressional District 5 (115th Congress), Arizona","71675","1793",
"5001500US0406","Congressional District 6 (115th Congress), Arizona","73425","2298",
"5001500US0407","Congressional District 7 (115th Congress), Arizona","43969","1456",
"5001500US0408","Congressional District 8 (115th Congress), Arizona","67699","1837",
"5001500US0409","Congressional District 9 (115th Congress), Arizona","56598","1533",
"5001500US0501","Congressional District 1 (115th Congress), Arkansas","41143","986",
"5001500US0502","Congressional District 2 (115th Congress), Arkansas","51287","1432",
"5001500US0503","Congressional District 3 (115th Congress), Arkansas","51335","1144",
"5001500US0504","Congressional District 4 (115th Congress), Arkansas","40903","939",
"5001500US0601","Congressional District 1 (115th Congress), California","51478","1554",
"5001500US0602","Congressional District 2 (115th Congress), California","76114","2653",
"5001500US0603","Congressional District 3 (115th Congress), California","65934","2159",
"5001500US0604","Congressional District 4 (115th Congress), California","75841","2891",
"5001500US0605","Congressional District 5 (115th Congress), California","78152","3095",
"5001500US0606","Congressional District 6 (115th Congress), California","54243","1996",
"5001500US0607","Congressional District 7 (115th Congress), California","74608","2159",
"5001500US0608","Congressional District 8 (115th Congress), California","52428","2035",
"5001500US0609","Congressional District 9 (115th Congress), California","65392","2703",
"5001500US0610","Congressional District 10 (115th Congress), California","63223","2793",
"5001500US0611","Congressional District 11 (115th Congress), California","90155","2873",
"5001500US0612","Congressional District 12 (115th Congress), California","111717","2902",
"5001500US0613","Congressional District 13 (115th Congress), California","76915","2445",
"5001500US0614","Congressional District 14 (115th Congress), California","110507","3524",
"5001500US0615","Congressional District 15 (115th Congress), California","116710","2936",
"5001500US0616","Congressional District 16 (115th Congress), California","43839","1774",
"5001500US0617","Congressional District 17 (115th Congress), California","124131","3134",
"5001500US0618","Congressional District 18 (115th Congress), California","134077","5722",
"5001500US0619","Congressional District 19 (115th Congress), California","101427","2262",
"5001500US0620","Congressional District 20 (115th Congress), California","73076","2542",
"5001500US0621","Congressional District 21 (115th Congress), California","42621","1782",
"5001500US0622","Congressional District 22 (115th Congress), California","57667","2447",
"5001500US0623","Congressional District 23 (115th Congress), California","55680","2850",
"5001500US0624","Congressional District 24 (115th Congress), California","71356","1769",
"5001500US0625","Congressional District 25 (115th Congress), California","76866","2186",
"5001500US0626","Congressional District 26 (115th Congress), California","82029","1984",
"5001500US0627","Congressional District 27 (115th Congress), California","77629","4130",
"5001500US0628","Congressional District 28 (115th Congress), California","65849","1854",
"5001500US0629","Congressional District 29 (115th Congress), California","53347","2583",
"5001500US0630","Congressional District 30 (115th Congress), California","81276","2356",
"5001500US0631","Congressional District 31 (115th Congress), California","61631","2257",
"5001500US0632","Congressional District 32 (115th Congress), California","70390","1747",
"5001500US0633","Congressional District 33 (115th Congress), California","105200","3989",
"5001500US0634","Congressional District 34 (115th Congress), California","46883","1627",
"5001500US0635","Congressional District 35 (115th Congress), California","60741","1736",
"5001500US0636","Congressional District 36 (115th Congress), California","46494","1934",
"5001500US0637","Congressional District 37 (115th Congress), California","59069","2427",
"5001500US0638","Congressional District 38 (115th Congress), California","72463","2157",
"5001500US0639","Congressional District 39 (115th Congress), California","89300","2874",
"5001500US0640","Congressional District 40 (115th Congress), California","47190","1677",
"5001500US0641","Congressional District 41 (115th Congress), California","64658","2651",
"5001500US0642","Congressional District 42 (115th Congress), California","83837","3409",
"5001500US0643","Congressional District 43 (115th Congress), California","56655","2321",
"5001500US0644","Congressional District 44 (115th Congress), California","50346","1818",
"5001500US0645","Congressional District 45 (115th Congress), California","102040","2161",
"5001500US0646","Congressional District 46 (115th Congress), California","65334","2197",
"5001500US0647","Congressional District 47 (115th Congress), California","68300","2492",
"5001500US0648","Congressional District 48 (115th Congress), California","89807","2699",
"5001500US0649","Congressional District 49 (115th Congress), California","88314","3970",
"5001500US0650","Congressional District 50 (115th Congress), California","77155","2911",
"5001500US0651","Congressional District 51 (115th Congress), California","48043","1902",
"5001500US0652","Congressional District 52 (115th Congress), California","95770","3207",
"5001500US0653","Congressional District 53 (115th Congress), California","72479","2287",
"5001500US0801","Congressional District 1 (115th Congress), Colorado","67441","2433",
"5001500US0802","Congressional District 2 (115th Congress), Colorado","80019","2390",
"5001500US0803","Congressional District 3 (115th Congress), Colorado","52765","1319",
"5001500US0804","Congressional District 4 (115th Congress), Colorado","73735","1923",
"5001500US0805","Congressional District 5 (115th Congress), Colorado","64179","1624",
"5001500US0806","Congressional District 6 (115th Congress), Colorado","80606","1535",
"5001500US0807","Congressional District 7 (115th Congress), Colorado","70574","1762",
"5001500US0901","Congressional District 1 (115th Congress), Connecticut","69766","2470",
"5001500US0902","Congressional District 2 (115th Congress), Connecticut","73805","2509",
"5001500US0903","Congressional District 3 (115th Congress), Connecticut","69178","2477",
"5001500US0904","Congressional District 4 (115th Congress), Connecticut","94547","4623",
"5001500US0905","Congressional District 5 (115th Congress), Connecticut","71995","2939",
"5001500US1000","Congressional District (at Large) (115th Congress), Delaware","62852","2464",
"5001500US1198","Delegate District (at Large) (115th Congress), District of Columbia","82372","2651",
"5001500US1201","Congressional District 1 (115th Congress), Florida","55229","1413",
"5001500US1202","Congressional District 2 (115th Congress), Florida","48838","1686",
"5001500US1203","Congressional District 3 (115th Congress), Florida","47611","2093",
"5001500US1204","Congressional District 4 (115th Congress), Florida","68964","2598",
"5001500US1205","Congressional District 5 (115th Congress), Florida","40920","1351",
"5001500US1206","Congressional District 6 (115th Congress), Florida","48197","1436",
"5001500US1207","Congressional District 7 (115th Congress), Florida","61423","1595",
"5001500US1208","Congressional District 8 (115th Congress), Florida","52180","1277",
"5001500US1209","Congressional District 9 (115th Congress), Florida","50964","1940",
"5001500US1210","Congressional District 10 (115th Congress), Florida","50963","1407",
"5001500US1211","Congressional District 11 (115th Congress), Florida","46001","1506",
"5001500US1212","Congressional District 12 (115th Congress), Florida","52573","1421",
"5001500US1213","Congressional District 13 (115th Congress), Florida","50724","1352",
"5001500US1214","Congressional District 14 (115th Congress), Florida","51774","1030",
"5001500US1215","Congressional District 15 (115th Congress), Florida","53367","1819",
"5001500US1216","Congressional District 16 (115th Congress), Florida","59437","1702",
"5001500US1217","Congressional District 17 (115th Congress), Florida","49449","1690",
"5001500US1218","Congressional District 18 (115th Congress), Florida","58754","1803",
"5001500US1219","Congressional District 19 (115th Congress), Florida","56828","1479",
"5001500US1220","Congressional District 20 (115th Congress), Florida","44436","2002",
"5001500US1221","Congressional District 21 (115th Congress), Florida","58410","2769",
"5001500US1222","Congressional District 22 (115th Congress), Florida","62353","1989",
"5001500US1223","Congressional District 23 (115th Congress), Florida","66872","2276",
"5001500US1224","Congressional District 24 (115th Congress), Florida","41172","1117",
"5001500US1225","Congressional District 25 (115th Congress), Florida","50120","2005",
"5001500US1226","Congressional District 26 (115th Congress), Florida","56496","1980",
"5001500US1227","Congressional District 27 (115th Congress), Florida","56183","3150",
"5001500US1301","Congressional District 1 (115th Congress), Georgia","51223","1253",
"5001500US1302","Congressional District 2 (115th Congress), Georgia","37569","1801",
"5001500US1303","Congressional District 3 (115th Congress), Georgia","58949","2894",
"5001500US1304","Congressional District 4 (115th Congress), Georgia","57349","2392",
"5001500US1305","Congressional District 5 (115th Congress), Georgia","51810","1506",
"5001500US1306","Congressional District 6 (115th Congress), Georgia","92317","3558",
"5001500US1307","Congressional District 7 (115th Congress), Georgia","74868","3348",
"5001500US1308","Congressional District 8 (115th Congress), Georgia","45279","2036",
"5001500US1309","Congressional District 9 (115th Congress), Georgia","56754","2179",
"5001500US1310","Congressional District 10 (115th Congress), Georgia","53479","2207",
"5001500US1311","Congressional District 11 (115th Congress), Georgia","72445","2235",
"5001500US1312","Congressional District 12 (115th Congress), Georgia","43177","2459",
"5001500US1313","Congressional District 13 (115th Congress), Georgia","55682","2240",
"5001500US1314","Congressional District 14 (115th Congress), Georgia","50132","1857",
"5001500US1501","Congressional District 1 (115th Congress), Hawaii","80083","2198",
"5001500US1502","Congressional District 2 (115th Congress), Hawaii","75289","2421",
"5001500US1601","Congressional District 1 (115th Congress), Idaho","53561","2022",
"5001500US1602","Congressional District 2 (115th Congress), Idaho","51307","1100",
"5001500US1701","Congressional District 1 (115th Congress), Illinois","50744","1830",
"5001500US1702","Congressional District 2 (115th Congress), Illinois","50391","1352",
