"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_002E","B05012_002M","B05012_003E","B05012_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native","Margin of Error!!Total:!!Native","Estimate!!Total:!!Foreign-Born","Margin of Error!!Total:!!Foreign-Born",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","710135","615","688421","1646","21714","1454",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","679684","2213","660191","2421","19493","1136",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","708888","1544","686414","1732","22474","1217",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","684757","1511","658967","1615","25790","1107",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","720362","234","688938","1288","31424","1260",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","704770","2841","672178","2979","32592","1460",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","667654","3703","648194","3634","19460","1352",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","737068","*****","679401","1813","57667","1813",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","762575","2754","715035","3305","47540","2149",
"5001600US0402","Congressional District 2 (116th Congress), Arizona","724083","3238","644186","3454","79897","2382",
"5001600US0403","Congressional District 3 (116th Congress), Arizona","776579","5006","612196","5114","164383","3169",
"5001600US0404","Congressional District 4 (116th Congress), Arizona","786254","3738","727603","4001","58651","2510",
"5001600US0405","Congressional District 5 (116th Congress), Arizona","820915","3481","738840","3598","82075","2568",
"5001600US0406","Congressional District 6 (116th Congress), Arizona","792368","4913","681199","4758","111169","4211",
"5001600US0407","Congressional District 7 (116th Congress), Arizona","811872","5738","608523","6245","203349","3957",
"5001600US0408","Congressional District 8 (116th Congress), Arizona","790494","3607","712704","4099","77790","2726",
"5001600US0409","Congressional District 9 (116th Congress), Arizona","785159","5250","669362","5002","115797","3298",
"5001600US0501","Congressional District 1 (116th Congress), Arkansas","721413","673","708045","1149","13368","924",
"5001600US0502","Congressional District 2 (116th Congress), Arkansas","762623","*****","730178","1380","32445","1380",
"5001600US0503","Congressional District 3 (116th Congress), Arkansas","807399","1365","730747","1904","76652","1559",
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","707935","1510","685353","1729","22582","943",
"5001600US0601","Congressional District 1 (116th Congress), California","706834","1530","663233","2477","43601","1656",
"5001600US0602","Congressional District 2 (116th Congress), California","716090","1858","622871","2860","93219","2226",
"5001600US0603","Congressional District 3 (116th Congress), California","742328","1870","601670","3196","140658","2726",
"5001600US0604","Congressional District 4 (116th Congress), California","741894","2025","671665","2447","70229","2005",
"5001600US0605","Congressional District 5 (116th Congress), California","727130","2617","577537","3264","149593","2741",
"5001600US0606","Congressional District 6 (116th Congress), California","760831","3142","583454","3984","177377","3959",
"5001600US0607","Congressional District 7 (116th Congress), California","751400","3265","606972","4091","144428","2830",
"5001600US0608","Congressional District 8 (116th Congress), California","724105","2866","623654","4038","100451","3323",
"5001600US0609","Congressional District 9 (116th Congress), California","768191","2115","597131","3954","171060","3350",
"5001600US0610","Congressional District 10 (116th Congress), California","751622","1159","598476","3027","153146","2818",
"5001600US0611","Congressional District 11 (116th Congress), California","761070","2080","559057","3948","202013","3603",
"5001600US0612","Congressional District 12 (116th Congress), California","762627","2221","511204","2915","251423","2291",
"5001600US0613","Congressional District 13 (116th Congress), California","759834","507","555513","3276","204321","3153",
"5001600US0614","Congressional District 14 (116th Congress), California","753409","2577","469474","3729","283935","3420",
"5001600US0615","Congressional District 15 (116th Congress), California","779710","1749","509169","3107","270541","3177",
"5001600US0616","Congressional District 16 (116th Congress), California","731650","3141","553739","4232","177911","3652",
"5001600US0617","Congressional District 17 (116th Congress), California","779960","2838","395837","3912","384123","3831",
"5001600US0618","Congressional District 18 (116th Congress), California","741968","3704","517621","4091","224347","3855",
"5001600US0619","Congressional District 19 (116th Congress), California","758819","3326","488583","3795","270236","3451",
"5001600US0620","Congressional District 20 (116th Congress), California","737426","1501","546442","3479","190984","3337",
"5001600US0621","Congressional District 21 (116th Congress), California","713144","4105","507485","5270","205659","3664",
"5001600US0622","Congressional District 22 (116th Congress), California","763702","3748","626785","5086","136917","3973",
"5001600US0623","Congressional District 23 (116th Congress), California","743054","4096","638487","3895","104567","2824",
"5001600US0624","Congressional District 24 (116th Congress), California","735979","696","603893","2815","132086","2820",
"5001600US0625","Congressional District 25 (116th Congress), California","714481","3042","573179","3760","141302","3169",
"5001600US0626","Congressional District 26 (116th Congress), California","725558","987","562454","2902","163104","2800",
"5001600US0627","Congressional District 27 (116th Congress), California","714769","2263","437815","3784","276954","3845",
"5001600US0628","Congressional District 28 (116th Congress), California","712362","3753","434332","4247","278030","4129",
"5001600US0629","Congressional District 29 (116th Congress), California","720207","4892","413256","4296","306951","4267",
"5001600US0630","Congressional District 30 (116th Congress), California","767589","5128","512885","5046","254704","4944",
"5001600US0631","Congressional District 31 (116th Congress), California","748362","3453","591114","4464","157248","3477",
"5001600US0632","Congressional District 32 (116th Congress), California","712870","2626","459098","4101","253772","3666",
"5001600US0633","Congressional District 33 (116th Congress), California","711557","3872","549723","4055","161834","2596",
"5001600US0634","Congressional District 34 (116th Congress), California","733639","4422","401429","3284","332210","3230",
