"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_002E","B05012_002M","B05012_003E","B05012_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","715346","3366","693956","4464","21390","2811",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","678122","7200","659525","7277","18597","2649",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","708409","5269","688990","5528","19419","2615",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","686297","5436","662635","5782","23662","2412",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","725634","447","695444","2795","30190","2754",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","713595","8310","681800","8720","31795","3543",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","660468","11651","642954","11690","17514","2559",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","737438","*****","676654","4531","60784","4531",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","770392","10069","722968","11581","47424","5309",
"5001600US0402","Congressional District 2 (116th Congress), Arizona","724747","11285","646802","11674","77945","5373",
"5001600US0403","Congressional District 3 (116th Congress), Arizona","798359","16938","628244","16090","170115","9326",
"5001600US0404","Congressional District 4 (116th Congress), Arizona","809426","13838","750466","13488","58960","5958",
"5001600US0405","Congressional District 5 (116th Congress), Arizona","841344","12880","759540","13462","81804","6313",
"5001600US0406","Congressional District 6 (116th Congress), Arizona","783621","16444","676796","14745","106825","7907",
"5001600US0407","Congressional District 7 (116th Congress), Arizona","854749","19640","637696","16581","217053","9215",
"5001600US0408","Congressional District 8 (116th Congress), Arizona","794820","13025","719789","11841","75031","6519",
"5001600US0409","Congressional District 9 (116th Congress), Arizona","794188","17433","669070","15949","125118","8803",
"5001600US0501","Congressional District 1 (116th Congress), Arkansas","724622","3180","712043","3928","12579","2160",
"5001600US0502","Congressional District 2 (116th Congress), Arkansas","765124","1970","733277","3610","31847","3019",
"5001600US0503","Congressional District 3 (116th Congress), Arkansas","819235","3970","743311","6076","75924","4475",
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","704844","5014","681485","5466","23359","2145",
"5001600US0601","Congressional District 1 (116th Congress), California","711282","5829","670568","6828","40714","3500",
"5001600US0602","Congressional District 2 (116th Congress), California","722370","5560","629650","7089","92720","5738",
"5001600US0603","Congressional District 3 (116th Congress), California","748104","6290","609842","7932","138262","6311",
"5001600US0604","Congressional District 4 (116th Congress), California","754525","7273","679052","7996","75473","4921",
"5001600US0605","Congressional District 5 (116th Congress), California","730955","8907","572738","10395","158217","7571",
"5001600US0606","Congressional District 6 (116th Congress), California","777985","11689","584864","10575","193121","11545",
"5001600US0607","Congressional District 7 (116th Congress), California","753640","10495","603915","10452","149725","9447",
"5001600US0608","Congressional District 8 (116th Congress), California","717107","10856","617099","12495","100008","7980",
"5001600US0609","Congressional District 9 (116th Congress), California","775148","7213","601520","11095","173628","7551",
"5001600US0610","Congressional District 10 (116th Congress), California","761485","4897","611906","9093","149579","7365",
"5001600US0611","Congressional District 11 (116th Congress), California","762290","8822","559665","11872","202625","7805",
"5001600US0612","Congressional District 12 (116th Congress), California","764043","7294","515436","8802","248607","8954",
"5001600US0613","Congressional District 13 (116th Congress), California","764304","4454","565230","7791","199074","7607",
"5001600US0614","Congressional District 14 (116th Congress), California","759415","9210","475688","10055","283727","8388",
"5001600US0615","Congressional District 15 (116th Congress), California","789174","7724","513299","8477","275875","8657",
"5001600US0616","Congressional District 16 (116th Congress), California","749967","13450","565663","13774","184304","8103",
"5001600US0617","Congressional District 17 (116th Congress), California","777468","13510","391858","14606","385610","10335",
"5001600US0618","Congressional District 18 (116th Congress), California","750295","13343","522708","13223","227587","10118",
"5001600US0619","Congressional District 19 (116th Congress), California","763028","15176","493835","11948","269193","11290",
"5001600US0620","Congressional District 20 (116th Congress), California","739352","6503","544652","9974","194700","7798",
"5001600US0621","Congressional District 21 (116th Congress), California","713625","16164","506599","13749","207026","11075",
"5001600US0622","Congressional District 22 (116th Congress), California","771095","14653","632381","14683","138714","8573",
"5001600US0623","Congressional District 23 (116th Congress), California","747852","14607","637623","13841","110229","7668",
"5001600US0624","Congressional District 24 (116th Congress), California","738707","1684","603330","5999","135377","5938",
"5001600US0625","Congressional District 25 (116th Congress), California","716257","11777","569037","11192","147220","8195",
"5001600US0626","Congressional District 26 (116th Congress), California","728927","4075","569146","7172","159781","6970",
"5001600US0627","Congressional District 27 (116th Congress), California","705509","8779","429574","10564","275935","9410",
"5001600US0628","Congressional District 28 (116th Congress), California","709450","16156","430443","16533","279007","10544",
"5001600US0629","Congressional District 29 (116th Congress), California","707741","17829","404004","12438","303737","10657",
"5001600US0630","Congressional District 30 (116th Congress), California","766513","21466","512533","16206","253980","11463",
"5001600US0631","Congressional District 31 (116th Congress), California","751527","11068","598895","11386","152632","9098",
"5001600US0632","Congressional District 32 (116th Congress), California","716199","11402","468739","11034","247460","8184",
"5001600US0633","Congressional District 33 (116th Congress), California","704818","14185","541584","13995","163234","7040",
"5001600US0634","Congressional District 34 (116th Congress), California","748812","15668","408360","12036","340452","11210",
"5001600US0635","Congressional District 35 (116th Congress), California","769589","11288","537745","12899","231844","9196",
"5001600US0636","Congressional District 36 (116th Congress), California","752138","7316","597325","8093","154813","7217",
"5001600US0637","Congressional District 37 (116th Congress), California","738174","20109","495699","15284","242475","11462",
"5001600US0638","Congressional District 38 (116th Congress), California","716331","13412","502919","12820","213412","9062",
"5001600US0639","Congressional District 39 (116th Congress), California","726541","9167","492050","10096","234491","10033",
"5001600US0640","Congressional District 40 (116th Congress), California","716470","13855","423386","11979","293084","9077",
"5001600US0641","Congressional District 41 (116th Congress), California","775626","7188","582636","9386","192990","8566",
"5001600US0642","Congressional District 42 (116th Congress), California","826801","9149","666223","11541","160578","10341",
"5001600US0643","Congressional District 43 (116th Congress), California","753696","15690","511074","13718","242622","9427",
"5001600US0644","Congressional District 44 (116th Congress), California","725177","15263","494768","13730","230409","10451",
"5001600US0645","Congressional District 45 (116th Congress), California","797608","8657","564493","11622","233115","9555",
"5001600US0646","Congressional District 46 (116th Congress), California","735139","9991","461119","10824","274020","9019",
"5001600US0647","Congressional District 47 (116th Congress), California","710853","11183","512822","11818","198031","8385",
"5001600US0648","Congressional District 48 (116th Congress), California","719486","7055","540864","9054","178622","7830",
"5001600US0649","Congressional District 49 (116th Congress), California","731513","10614","598736","11712","132777","9191",
"5001600US0650","Congressional District 50 (116th Congress), California","751551","11954","607503","10979","144048","9268",
"5001600US0651","Congressional District 51 (116th Congress), California","747510","16768","495315","13739","252195","11277",
"5001600US0652","Congressional District 52 (116th Congress), California","767172","16888","593985","15454","173187","8610",
"5001600US0653","Congressional District 53 (116th Congress), California","796701","18807","610967","17190","185734","10471",
"5001600US0801","Congressional District 1 (116th Congress), Colorado","841497","5300","731973","7696","109524","7049",
"5001600US0802","Congressional District 2 (116th Congress), Colorado","812357","5440","745959","7146","66398","4968",
"5001600US0803","Congressional District 3 (116th Congress), Colorado","753595","4571","707079","5978","46516","4380",
"5001600US0804","Congressional District 4 (116th Congress), Colorado","836061","6128","774173","7357","61888","4284",
"5001600US0805","Congressional District 5 (116th Congress), Colorado","815466","1838","761388","5088","54078","4684",
"5001600US0806","Congressional District 6 (116th Congress), Colorado","835273","8003","712053","11428","123220","7906",
"5001600US0807","Congressional District 7 (116th Congress), Colorado","801315","8198","713758","9590","87557","6690",
"5001600US0901","Congressional District 1 (116th Congress), Connecticut","715049","6485","609040","8010","106009","6105",
"5001600US0902","Congressional District 2 (116th Congress), Connecticut","699657","5425","647443","6582","52214","4248",
