"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B24010_001E","Estimate!!Total:"
"B24010_001M","Margin of Error!!Total:"
"B24010_002E","Estimate!!Total:!!Male:"
"B24010_002M","Margin of Error!!Total:!!Male:"
"B24010_003E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):"
"B24010_003M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):"
"B24010_004E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):"
"B24010_004M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):"
"B24010_005E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):"
"B24010_005M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):"
"B24010_006E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Top executives (0010:0030)"
"B24010_006M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Top executives (0010:0030)"
"B24010_007E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Advertising, promotions, marketing, sales, public relations and fundraising managers (0040:0060)"
"B24010_007M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Advertising, promotions, marketing, sales, public relations and fundraising managers (0040:0060)"
"B24010_008E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Financial managers (0120)"
"B24010_008M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Financial managers (0120)"
"B24010_009E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Human resources managers (0136)"
"B24010_009M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Human resources managers (0136)"
"B24010_010E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Operations specialties managers except financial managers and human resources managers (0100:0110,0135,0137:0160)"
"B24010_010M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Operations specialties managers except financial managers and human resources managers (0100:0110,0135,0137:0160)"
"B24010_011E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Farmers, ranchers, and other agricultural managers (0205)"
"B24010_011M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Farmers, ranchers, and other agricultural managers (0205)"
"B24010_012E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Other management occupations except farmers, ranchers, and other agricultural managers (0220:0440)"
"B24010_012M","Margin of Error!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Management occupations (0010:0440):!!Other management occupations except farmers, ranchers, and other agricultural managers (0220:0440)"
"B24010_013E","Estimate!!Total:!!Male:!!Management, business, science, and arts occupations (0010:3550):!!Management, business, and financial occupations (0010:0960):!!Business and financial operations occupations (0500:0960):"
