"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","722794","567","479183","1880","196018","1513","5950","526","10815","608","89","64","9818","1644","20921","1865","5710","1063","15211","1425",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","689681","2726","431518","1579","216075","2340","2375","279","9027","726","144","68","8563","838","21979","1283","5976","604","16003","1188",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","731482","2128","498000","1747","188393","2238","1399","263","14342","655","280","174","8769","1107","20299","1516","4207","889","16092","1234",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","702255","2470","599957","2821","48968","1100","4655","819","3591","563","246","113","21385","1472","23453","1608","8581","1105","14872","1067",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","751690","203","555035","1484","133256","1383","4143","476","12903","662","697","307","14466","1326","31190","1860","9070","1350","22120","1324",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","731505","3564","556847","3086","122350","3054","2122","590","12584","903","138","80","14545","1501","22919","1544","7912","1095","15007","1313",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","668268","4886","218050","3463","419173","3939","1017","293","6899","849","108","55","8467","1798","14554","1562","4409","890","10145","1457",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","735951","*****","458520","1719","23721","820","107531","1922","47213","1091","10766","428","14254","1533","73946","2800","10294","1192","63652","2481",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","758861","3736","459591","4814","20648","1253","168737","1912","11617","1051","1966","363","36847","2798","59455","3498","29946","3282","29509","2087",
"5001600US0402","Congressional District 2 (116th Congress), Arizona","729613","4064","546505","4102","28669","1765","10396","1339","22458","1240","1520","243","42915","2596","77150","3517","43975","3197","33175","2320",
"5001600US0403","Congressional District 3 (116th Congress), Arizona","780580","6280","462894","7290","34732","2696","35786","1794","13399","1197","1386","424","109654","4775","122729","4981","94857","4896","27872","2160",
"5001600US0404","Congressional District 4 (116th Congress), Arizona","796390","5159","660004","5543","13677","1448","12368","1213","9608","787","1105","248","36706","3331","62922","4355","37618","3921","25304","1795",
"5001600US0405","Congressional District 5 (116th Congress), Arizona","860467","4661","673758","5565","31764","2871","8760","1220","44252","2577","1145","409","31744","2352","69044","3897","34980","3112","34064","2097",
"5001600US0406","Congressional District 6 (116th Congress), Arizona","769040","7903","601348","6278","25750","2816","13956","1414","40442","2360","1419","406","25184","2121","60941","4338","33817","3776","27124","2168",
"5001600US0407","Congressional District 7 (116th Congress), Arizona","792891","8365","425670","7263","78675","4151","20509","1436","19105","1601","1354","614","115148","5620","132430","7011","103506","6813","28924","2748",
"5001600US0408","Congressional District 8 (116th Congress), Arizona","821009","5254","629929","6096","35032","2398","8236","1300","31805","2027","1365","336","39001","3042","75641","4493","42260","3765","33381","2735",
"5001600US0409","Congressional District 9 (116th Congress), Arizona","770352","5961","526030","6340","49880","3170","22114","2208","41809","1878","2719","579","53091","3588","74709","3808","40777","3344","33932","2118",
"5001600US0501","Congressional District 1 (116th Congress), Arkansas","717868","631","546821","1661","122520","1448","2501","398","3572","400","618","282","8300","1065","33536","1924","11558","1388","21978","1306",
"5001600US0502","Congressional District 2 (116th Congress), Arkansas","767099","*****","529576","1750","178769","1234","2298","556","12655","627","382","172","15990","1552","27429","1651","7334","1180","20095","1285",
"5001600US0503","Congressional District 3 (116th Congress), Arkansas","831156","1818","645773","3776","23623","938","8201","885","25805","846","8303","460","43645","2724","75806","3582","44605","3496","31201","1494",
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","690186","1887","504850","2123","133174","1101","4459","505","4356","369","1324","347","19691","1092","22332","1369","6624","961","15708","974",
"5001600US0601","Congressional District 1 (116th Congress), California","708366","1724","583140","2864","11466","584","11613","754","21398","811","1507","222","25773","1863","53469","2156","21191","1848","32278","1199",
"5001600US0602","Congressional District 2 (116th Congress), California","722327","2203","549670","3610","11014","804","15137","1076","28658","1065","1399","282","55239","3252","61210","2971","25194","2441","36016","1620",
"5001600US0603","Congressional District 3 (116th Congress), California","757414","2360","462776","4981","47329","1764","8328","1008","89668","1957","4244","593","61434","3475","83635","3290","36084","2685","47551","2363",
"5001600US0604","Congressional District 4 (116th Congress), California","760658","2633","614096","3464","10727","744","6382","659","45942","894","1406","381","24718","1832","57387","2432","22191","1947","35196","1655",
"5001600US0605","Congressional District 5 (116th Congress), California","728345","3063","423446","4100","43394","1748","6710","1087","83076","2296","3708","675","96504","3953","71507","3626","32926","2679","38581","2207",
"5001600US0606","Congressional District 6 (116th Congress), California","781387","4498","355848","5087","96857","3740","5741","765","130770","3356","10815","1125","91427","3719","89929","3910","35488","2906","54441","2964",
"5001600US0607","Congressional District 7 (116th Congress), California","778765","4109","449403","4532","55960","2799","4564","761","136034","2971","7479","1057","46392","2688","78933","3721","27466","2534","51467","2609",
"5001600US0608","Congressional District 8 (116th Congress), California","749184","4114","487990","7306","54660","2834","11246","1505","26006","2276","2503","683","75099","5348","91680","4810","53918","4437","37762","2545",
"5001600US0609","Congressional District 9 (116th Congress), California","796370","3063","368637","5334","72690","2684","6802","1100","124031","3035","4514","1068","95554","4803","124142","4954","49575","3815","74567","3764",
"5001600US0610","Congressional District 10 (116th Congress), California","764549","1684","473451","5411","25644","1434","7513","1121","61870","2703","5521","926","85632","4686","104918","5091","69235","4852","35683","2885",
"5001600US0611","Congressional District 11 (116th Congress), California","767298","3334","394083","4825","59856","2358","5147","930","117383","3089","2614","723","104112","4089","84103","4185","37664","3346","46439","2367",
"5001600US0612","Congressional District 12 (116th Congress), California","757251","3557","345230","2888","40138","1285","3752","717","246743","2669","2738","442","55351","2472","63299","2823","20609","1968","42690","2159",
"5001600US0613","Congressional District 13 (116th Congress), California","772203","593","303169","3744","123072","2472","6619","814","161499","3246","4796","613","100745","4363","72303","3015","23002","2016","49301","2530",
"5001600US0614","Congressional District 14 (116th Congress), California","747495","4573","301467","3989","20936","1100","5134","892","263528","3179","9373","690","80805","3556","66252","3045","28340","2500","37912","1964",
"5001600US0615","Congressional District 15 (116th Congress), California","796865","2467","290595","4493","44625","2282","4871","711","298926","4222","7239","727","80589","3435","70020","3295","29055","2693","40965","2276",
"5001600US0616","Congressional District 16 (116th Congress), California","747131","4723","346439","6451","37514","1801","10019","1327","68113","2531","1368","250","191253","6017","92425","5993","70601","5106","21824","1869",
"5001600US0617","Congressional District 17 (116th Congress), California","780242","4732","197720","3810","17941","1692","3711","567","442833","5009","4480","1013","60599","3518","52958","3122","23018","2968","29940","1992",
"5001600US0618","Congressional District 18 (116th Congress), California","744528","4858","424455","4608","16150","1415","3204","655","194076","3883","1648","542","43119","3253","61876","3068","25341","2620","36535","1846",
"5001600US0619","Congressional District 19 (116th Congress), California","754007","5558","285000","6205","21054","1423","7102","948","225373","3929","2717","678","116764","4593","95997","4472","59935","4200","36062","2399",
"5001600US0620","Congressional District 20 (116th Congress), California","744111","2094","384782","5091","14731","784","5611","936","40511","1277","2473","373","218438","4534","77565","3676","49081","3585","28484","1825",
"5001600US0621","Congressional District 21 (116th Congress), California","710344","4663","401340","6224","27937","1583","7789","1145","24025","1512","763","258","152244","5767","96246","4566","80835","4307","15411","1586",
"5001600US0622","Congressional District 22 (116th Congress), California","786891","4816","465023","7205","25158","1757","7230","970","69167","2520","1361","274","122199","5250","96753","4856","65990","4317","30763","2354",
"5001600US0623","Congressional District 23 (116th Congress), California","771198","5508","490983","7136","47541","2261","9127","1080","40339","2020","1543","361","86273","5093","95392","5124","63768","4710","31624","2559",
"5001600US0624","Congressional District 24 (116th Congress), California","739183","836","527870","4263","12749","879","7766","1040","35113","905","965","258","63944","3570","90776","4388","61814","3922","28962","1760",
"5001600US0625","Congressional District 25 (116th Congress), California","745689","5060","415293","6631","61287","3094","7525","1254","62989","2666","1918","706","110510","5671","86167","4861","56393","4346","29774","1921",
"5001600US0626","Congressional District 26 (116th Congress), California","722958","1333","506494","5613","14019","774","9013","1442","47437","1521","1457","226","50820","3251","93718","4711","64156","4442","29562","1528",
"5001600US0627","Congressional District 27 (116th Congress), California","708388","3575","243973","4639","30050","2071","3708","615","277041","3858","1563","523","93223","4176","58830","2829","31073","2314","27757","1797",
"5001600US0628","Congressional District 28 (116th Congress), California","704354","4998","449015","5049","21420","1862","4096","802","92814","3041","728","291","80662","3795","55619","3351","25057","2795","30562","2204",
"5001600US0629","Congressional District 29 (116th Congress), California","703638","7551","312020","6143","26654","2008","5878","904","54357","2872","929","382","221816","5693","81984","4323","65628","4039","16356","1243",
"5001600US0630","Congressional District 30 (116th Congress), California","761222","8598","437647","6185","38762","2835","4436","818","98715","3530","994","293","110042","4992","70626","4226","35612","3846","35014","2280",
