bioguide_id,direct_order_name,chamber,state_code,district,party,congress
F000448,Trent Franks,House of Representatives,AZ,8,Republican,115
F000448,Trent Franks,House of Representatives,AZ,8,Republican,117
F000448,Trent Franks,House of Representatives,AZ,8,Republican,118
S001175,Jackie Speier,House of Representatives,CA,14,Democratic,115
S001175,Jackie Speier,House of Representatives,CA,14,Democratic,116
S001175,Jackie Speier,House of Representatives,CA,14,Democratic,117
S001175,Jackie Speier,House of Representatives,CA,14,Democratic,118
K000387,Stephen Knight,House of Representatives,CA,25,Republican,115
K000387,Stephen Knight,House of Representatives,CA,25,Republican,117
K000387,Stephen Knight,House of Representatives,CA,25,Republican,118
B001270,Karen Bass,House of Representatives,CA,37,Democratic,115
B001270,Karen Bass,House of Representatives,CA,37,Democratic,116
B001270,Karen Bass,House of Representatives,CA,37,Democratic,117
B001270,Karen Bass,House of Representatives,CA,37,Democratic,118
R000487,Edward R. Royce,House of Representatives,CA,39,Republican,115
R000487,Edward R. Royce,House of Representatives,CA,39,Republican,117
R000487,Edward R. Royce,House of Representatives,CA,39,Republican,118
W000820,Mimi Walters,House of Representatives,CA,45,Republican,115
W000820,Mimi Walters,House of Representatives,CA,45,Republican,117
W000820,Mimi Walters,House of Representatives,CA,45,Republican,118
L000579,Alan S. Lowenthal,House of Representatives,CA,47,Democratic,115
L000579,Alan S. Lowenthal,House of Representatives,CA,47,Democratic,116
L000579,Alan S. Lowenthal,House of Representatives,CA,47,Democratic,117
L000579,Alan S. Lowenthal,House of Representatives,CA,47,Democratic,118
R000409,Dana Rohrabacher,House of Representatives,CA,48,Republican,115
R000409,Dana Rohrabacher,House of Representatives,CA,48,Republican,117
R000409,Dana Rohrabacher,House of Representatives,CA,48,Republican,118
H000981,Duncan Hunter,House of Representatives,CA,52,Republican,117
H000981,Duncan Hunter,House of Representatives,CA,52,Republican,118
C001094,Paul Cook,House of Representatives,CA,8,Republican,115
C001094,Paul Cook,House of Representatives,CA,8,Republican,116
C001094,Paul Cook,House of Representatives,CA,8,Republican,117
C001094,Paul Cook,House of Representatives,CA,8,Republican,118
P000598,Jared Polis,House of Representatives,CO,2,Democratic,115
P000598,Jared Polis,House of Representatives,CO,2,Democratic,117
P000598,Jared Polis,House of Representatives,CO,2,Democratic,118
P000593,Ed Perlmutter,House of Representatives,CO,7,Democratic,115
P000593,Ed Perlmutter,House of Representatives,CO,7,Democratic,116
P000593,Ed Perlmutter,House of Representatives,CO,7,Democratic,117
P000593,Ed Perlmutter,House of Representatives,CO,7,Democratic,118
R000593,Dennis A. Ross,House of Representatives,FL,15,Republican,115
R000593,Dennis A. Ross,House of Representatives,FL,15,Republican,118
R000607,Francis Rooney,House of Representatives,FL,19,Republican,115
R000607,Francis Rooney,House of Representatives,FL,19,Republican,116
R000607,Francis Rooney,House of Representatives,FL,19,Republican,117
R000607,Francis Rooney,House of Representatives,FL,19,Republican,118
H000324,Alcee L. Hastings,House of Representatives,FL,20,Democratic,115
H000324,Alcee L. Hastings,House of Representatives,FL,20,Democratic,116
H000324,Alcee L. Hastings,House of Representatives,FL,20,Democratic,117
H000324,Alcee L. Hastings,House of Representatives,FL,20,Democratic,118
D000610,Theodore E. Deutch,House of Representatives,FL,22,Democratic,115
D000610,Theodore E. Deutch,House of Representatives,FL,22,Democratic,116
D000610,Theodore E. Deutch,House of Representatives,FL,22,Democratic,117
D000610,Theodore E. Deutch,House of Representatives,FL,22,Democratic,118
C001107,Carlos Curbelo,House of Representatives,FL,26,Republican,115
C001107,Carlos Curbelo,House of Representatives,FL,26,Republican,117
C001107,Carlos Curbelo,House of Representatives,FL,26,Republican,118
R000435,Ileana Ros-Lehtinen,House of Representatives,FL,27,Republican,115
S001206,Donna E. Shalala,House of Representatives,FL,27,Democratic,116
R000435,Ileana Ros-Lehtinen,House of Representatives,FL,27,Republican,117
S001206,Donna E. Shalala,House of Representatives,FL,27,Democratic,117
R000435,Ileana Ros-Lehtinen,House of Representatives,FL,27,Republican,118
S001206,Donna E. Shalala,House of Representatives,FL,27,Democratic,118
Y000065,Ted S. Yoho,House of Representatives,FL,3,Republican,115
Y000065,Ted S. Yoho,House of Representatives,FL,3,Republican,116
Y000065,Ted S. Yoho,House of Representatives,FL,3,Republican,117
Y000065,Ted S. Yoho,House of Representatives,FL,3,Republican,118
D000621,Ron DeSantis,House of Representatives,FL,6,Republican,115
