"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"David Joyce","117",27.0215,42.4177,50.9996,0.325121277812661,0.224356339790485,0.352189179517453,0.423443686944797,"prof","Republican","house of representatives","Committee on Appropriations","Male",67,8,0.547497472617918,"14","OH","J000295"
"David Joyce","118",24.2754,46.6412,45.381,0.385505044485111,0.208735714414694,0.401051443154742,0.390215422026135,"dom","Republican","house of representatives","Committee on Appropriations","Male",67,10,0.533995179534049,"14","OH","J000295"
"Del. Moylan, James C. [R-GU-At Large]","118",35.6023,33.0432,50.5459,0.370160239954008,0.298699566242418,0.277228985409972,0.424074804305694,"prof","Republican","house of representatives","Committee on Natural Resources","Male",62,0,0.555708478719314,"At Large","GU","M001219"
"Del. Norton, Eleanor Holmes [D-DC-At Large]","115",24.1561,38.9169,36.0234,0.500257446405575,0.243763402340143,0.392717199901106,0.363518388641375,"dom","Democratic","house of representatives","Committee on Oversight and Accountability","Female",87,26,0,"At Large","DC","N000147"
"Del. Norton, Eleanor Holmes [D-DC-At Large]","116",28.0189,33.5199,43.0713,0.447731620685195,0.267842274664778,0.32042822032756,0.411733328744849,"prof","Democratic","house of representatives","Committee on Oversight and Accountability","Female",87,28,0.0323303991077242,"At Large","DC","N000147"
"Del. Norton, Eleanor Holmes [D-DC-At Large]","117",38.3153,30.8925,53.6527,0.285269283069816,0.311861214503325,0.251444529184007,0.436697512048257,"prof","Democratic","house of representatives","Committee on Oversight and Accountability","Female",87,30,0,"At Large","DC","N000147"
"Del. Plaskett, Stacey E. [D-VI-At Large]","116",28.6681,32.8521,43.6081,0.454455195265289,0.27269761185909,0.312496789621774,0.414810354635025,"prof","Democratic","house of representatives","Committee on Agriculture","Female",58,4,0.301092707374864,"At Large","VI","P000610"
"Del. Plaskett, Stacey E. [D-VI-At Large]","117",43.5258,31.3224,59.1482,0.287308904550005,0.324828129710947,0.233755533730757,0.441416336558296,"prof","Democratic","house of representatives","Committee on Agriculture","Female",58,6,0.233564721858697,"At Large","VI","P000610"
"Del. Plaskett, Stacey E. [D-VI-At Large]","118",34.222,32.1832,48.4038,0.35308987688326,0.298079753885175,0.280321440454602,0.421605773803613,"prof","Democratic","house of representatives","Select Subcommittee on the Weaponization of the Federal Government","Female",58,8,0.303017675689977,"At Large","VI","P000610"
"J. Hill","116",19.6808,44.9535,40.7768,0.417291979563796,0.186704486702115,0.426457265099159,0.38683445354634,"dom","Republican","house of representatives","Committee on Financial Services","Male",68,4,0.679738928548085,"2","AR","H001072"
"J. Hill","117",28.8459,45.8692,52.9583,0.324213780492091,0.225933842494288,0.359267854639273,0.414792820156947,"prof","Republican","house of representatives","Committee on Financial Services","Male",68,6,0.575359114591751,"2","AR","H001072"
"J. Hill","118",21.9776,46.2566,42.8817,0.336371499039758,0.197790587271803,0.416292956428221,0.385920056157782,"dom","Republican","house of representatives","Permanent Select Committee on Intelligence","Male",68,8,0.625160317699662,"2","AR","H001072"
"John Reed","115",18.7753,45.9335,39.4464,0.405797515335397,0.180262550249483,0.441009722980972,0.378726766664778,"dom","Democratic","senate","Select Committee on Intelligence","Male",75,26,0.122672333265687,"99","RI","R000122"
"John Reed","116",21.3254,48.8124,46.0794,0.412153154263229,0.183496232482139,0.420010480385417,0.396494147591017,"dom","Democratic","senate","Select Committee on Intelligence","Male",75,28,0.180294985551713,"99","RI","R000122"
"John Reed","117",26.1705,40.8345,48.2918,0.272903521652168,0.226983749765822,0.354168545874647,0.418847704359531,"prof","Democratic","senate","Committee on Armed Services","Male",75,30,0.145861826443275,"99","RI","R000122"
"John Reed","118",27.5112,42.2245,48.4469,0.337051213537663,0.232784158167863,0.357279751030814,0.409930167798666,"prof","Democratic","senate","Committee on Armed Services","Male",75,32,0.219025611587794,"99","RI","R000122"
"Marjorie Greene","117",32.0744,40.3745,52.3406,0.268939406561478,0.257027623273395,0.323540324241504,0.419430449788725,"prof","Republican","house of representatives",NA,"Female",50,0,0.539172024217259,"14","GA","G000596"
"Marjorie Greene","118",31.2624,40.4205,50.2657,0.26426573258293,0.256355084395521,0.331452501689222,0.412184213806359,"prof","Republican","house of representatives","Committee on Oversight and Accountability","Female",50,2,0.642429084637705,"14","GA","G000596"
"Rep. Abraham, Ralph Lee [R-LA-5]","115",21.4204,36.776,36.495,0.373164539468088,0.226210340006167,0.38837330134203,0.385405798142195,"dom","Republican","house of representatives","Committee on Agriculture","Male",70,2,0.920653799043318,"5","LA","A000374"
"Rep. Adams, Alma S. [D-NC-12]","116",25.959,39.3117,47.5881,0.407457360460471,0.230013893516123,0.348327638881997,0.421662011866197,"prof","Democratic","house of representatives","Committee on Agriculture","Female",78,5,0.221419673884268,"12","NC","A000370"
"Rep. Aderholt, Robert B. [R-AL-4]","115",35.8568,36.9066,57.3525,0.266605106058858,0.275575851990418,0.283644043502754,0.440780104506828,"prof","Republican","house of representatives","Committee on Appropriations","Male",59,20,0.74366420957811,"4","AL","A000055"
"Rep. Aderholt, Robert B. [R-AL-4]","118",56.9497,35.9983,73.1037,0.116167689787268,0.342964700044324,0.216790363454163,0.440247947620975,"prof","Republican","house of representatives","Committee on Appropriations","Male",59,26,0.641557449200289,"4","AL","A000055"
"Rep. Aguilar, Pete [D-CA-33]","115",17.3046,36.0888,33.105,0.347098768207257,0.200056648381186,0.41721879570166,0.382723399827743,"dom","Democratic","house of representatives","Committee on Appropriations","Male",45,2,0.315694524593858,"31","CA","A000371"
"Rep. Aguilar, Pete [D-CA-33]","117",26.1111,39.5749,46.6917,0.261948510215921,0.232350844783538,0.352159098897559,0.415488276609547,"prof","Democratic","house of representatives","Committee on Appropriations","Male",45,6,0.153879888260907,"31","CA","A000371"
"Rep. Alford, Mark [R-MO-4]","118",35.8569,42.03,58.3725,0.279806186440268,0.263150980700104,0.30845487810785,0.428391205623376,"prof","Republican","house of representatives","Committee on Armed Services","Male",61,0,0.662390232299895,"4","MO","A000379"
"Rep. Allen, Rick W. [R-GA-12]","116",16.4606,48.8288,41.3505,0.3832703629198,0.154356424687876,0.45788361237132,0.38775714974278,"dom","Republican","house of representatives","Committee on Agriculture","Male",73,4,0.818320861767018,"12","GA","A000372"
"Rep. Allen, Rick W. [R-GA-12]","117",29.2324,38.1797,46.7295,0.260321580149893,0.256106225857859,0.3344938790994,0.40939901893874,"prof","Republican","house of representatives","Committee on Agriculture","Male",73,6,0.715966264567218,"12","GA","A000372"
"Rep. Allen, Rick W. [R-GA-12]","118",28.7787,44.5211,49.3382,0.344454252408145,0.234664955388813,0.363030364309746,0.402309572773069,"prof","Republican","house of representatives","Committee on Energy and Commerce","Male",73,8,0.714705170886453,"12","GA","A000372"
"Rep. Allred, Colin Z. [D-TX-32]","118",20.6832,49.0063,44.5533,0.382466373774998,0.181045982766529,0.428966201808779,0.389987815424692,"dom","Democratic","house of representatives","Committee on Transportation and Infrastructure","Male",41,4,0.295105878539414,"32","TX","A000376"
"Rep. Amash, Justin [R-MI-3]","115",18.2485,34.417,32.9602,0.405689057143937,0.213120670083106,0.40194942610353,0.384935743215782,"dom","Independent","house of representatives","Committee on Oversight and Accountability","Male",44,6,0.532636406865488,"3","MI","A000367"
"Rep. Amash, Justin [R-MI-3]","116",16.8679,39.5202,37.0441,0.404914128915828,0.180536067291504,0.422982202086431,0.396480660328387,"dom","Independent","house of representatives",NA,"Male",44,8,0.398563082021018,"3","MI","A000367"
"Rep. Amodei, Mark E. [R-NV-2]","115",16.989,42.3737,38.1245,0.392554845124865,0.174268674721041,0.434658222498497,0.391071051233287,"dom","Republican","house of representatives","Committee on Appropriations","Male",66,6,0.723699326363736,"2","NV","A000369"
"Rep. Amodei, Mark E. [R-NV-2]","116",44.164,85.0569,93.0759,0.390064538835661,0.198670432186014,0.382625918924974,0.418699150418943,"prof","Republican","house of representatives","Committee on Appropriations","Male",63,4,0.669702207325373,"2","NV","A000369"
"Rep. Amodei, Mark E. [R-NV-2]","117",51.7323,93.1379,99.7854,0.27804414602081,0.211448877466062,0.380688745803807,0.40785951557348,"prof","Republican","house of representatives","Committee on Appropriations","Male",63,6,0.509046957511402,"2","NV","A000369"
"Rep. Amodei, Mark E. [R-NV-2]","118",51.5971,92.7767,97.2848,0.347487658275232,0.213512368274913,0.383916401071594,0.402571230653492,"prof","Republican","house of representatives","Committee on Appropriations","Male",63,8,0.637693792107993,"2","NV","A000369"
