feature,importance,fold
leverage_pl,16908.65014105849,1
leverage_ne,18604.136198459193,1
committee_pl,3845.4594828896224,1
committee_ne,2211.73982115509,1
employ_industry_pl,6688.233820704743,1
employ_industry_ne,1616.0842475821264,1
payroll_industry_pl,4814.585135939797,1
payroll_industry_ne,1161.4307310106233,1
ethnicity_pl,14909.407887822017,1
ethnicity_ne,7395.423491926864,1
party_value_pl,6459.694428472314,1
party_value_ne,1460.3469711616635,1
party_score_pl,91627.61342245026,1
party_score_ne,123958.44345200836,1
leverage_pl,19199.386692059226,2
leverage_ne,20193.030461522285,2
committee_pl,5106.592272512149,2
committee_ne,3148.787671411177,2
employ_industry_pl,7711.324225939734,2
employ_industry_ne,1805.451105659129,2
payroll_industry_pl,6598.896858695429,2
payroll_industry_ne,1481.6008142174687,2
ethnicity_pl,17163.749973677564,2
ethnicity_ne,8624.990748494398,2
party_value_pl,7006.948614953435,2
party_value_ne,1992.103039560432,2
party_score_pl,119247.64698632262,2
party_score_ne,158409.9308618917,2
leverage_pl,17903.93955661496,3
leverage_ne,18687.117109532468,3
committee_pl,4049.3854195494205,3
committee_ne,2543.2588910632767,3
employ_industry_pl,6565.006311580539,3
employ_industry_ne,1624.2343841842376,3
payroll_industry_pl,5119.097286449862,3
payroll_industry_ne,1234.0018072818639,3
ethnicity_pl,15205.610726167855,3
ethnicity_ne,7609.948221358005,3
party_value_pl,5964.392193148378,3
party_value_ne,1623.1586479961406,3
party_score_pl,94803.08721416513,3
party_score_ne,127824.48416753183,3
leverage_pl,18053.783646513475,4
leverage_ne,19138.341682444327,4
committee_pl,4670.795844234526,4
committee_ne,2616.527091528289,4
employ_industry_pl,7766.0620019315975,4
employ_industry_ne,1687.6635126490146,4
payroll_industry_pl,5902.439084681624,4
payroll_industry_ne,1441.9275912824087,4
ethnicity_pl,16305.808626254671,4
ethnicity_ne,7489.164904621306,4
party_value_pl,6788.3313260491705,4
party_value_ne,1712.5256123803556,4
party_score_pl,107414.40436987905,4
party_score_ne,142888.49056905136,4
leverage_pl,15460.605319114402,5
leverage_ne,16319.853892018553,5
committee_pl,2666.963951792568,5
committee_ne,1907.8060989868827,5
employ_industry_pl,5597.008436728502,5
employ_industry_ne,1451.9922688230872,5
payroll_industry_pl,3829.4131674170494,5
payroll_industry_ne,857.9753400338814,5
ethnicity_pl,12304.071867875755,5
ethnicity_ne,6926.135236911476,5
party_value_pl,5021.102867169306,5
party_value_ne,1109.083639218472,5
party_score_pl,68381.02183828573,5
party_score_ne,93146.08842927031,5
