rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name,congress
1,100,0,0,400357,S000033,VT,,b'Sanders',116
2,99,1,0.021375957,412678,H001075,CA,,b'Harris',116
3,98,2,0.062393985,412223,G000555,NY,,b'Gillibrand',116
4,97,3,0.079045382,412325,M001176,OR,,b'Merkley',116
5,96,4,0.092125858,412598,B001288,NJ,,b'Booker',116
6,95,5,0.096218431,400253,M000133,MA,,b'Markey',116
7,94,6,0.124482368,412200,H001042,HI,,b'Hirono',116
8,93,7,0.130950303,412490,B001277,CT,,b'Blumenthal',116
9,92,8,0.16482022,400050,B000944,OH,,b'Brown',116
10,91,9,0.164956891,400415,V000128,MD,,b'Van Hollen',116
11,90,10,0.180294986,300081,R000122,RI,,b'Reed',116
12,89,11,0.185056712,300038,D000563,IL,,b'Durbin',116
13,88,12,0.186846902,300100,W000779,OR,,b'Wyden',116
14,87,13,0.191599717,412242,K000367,MN,,b'Klobuchar',116
15,86,14,0.209314398,400013,B001230,WI,,b'Baldwin',116
16,85,15,0.210220037,412542,W000817,MA,,b'Warren',116
17,84,16,0.212745179,300076,M001111,WA,,b'Murray',116
18,83,17,0.223790586,412247,W000802,RI,,b'Whitehouse',116
19,82,18,0.232713111,300065,L000174,VT,,b'Leahy',116
20,81,19,0.236163777,412742,S001203,MN,,b'Smith',116
21,80,20,0.237320443,412194,M001169,CT,,b'Murphy',116
22,79,21,0.241847836,300043,F000062,CA,,b'Feinstein',116
23,78,22,0.244418205,412281,H001046,NM,,b'Heinrich',116
24,77,23,0.252627363,412507,S001194,HI,,b'Schatz',116
25,76,24,0.25982845,400413,U000039,NM,,b'Udall',116
26,75,25,0.260270983,300093,S000770,MI,,b'Stabenow',116
27,74,26,0.267135485,412533,D000622,IL,,b'Duckworth',116
28,73,27,0.273080196,412582,K000384,VA,,b'Kaine',116
29,72,28,0.288255568,400064,C000141,MD,,b'Cardin',116
30,71,29,0.289106975,412681,C001113,NV,,b'Cortez Masto',116
31,70,30,0.291644248,300087,S000148,NY,,b'Schumer',116
32,69,31,0.307104659,412246,C001070,PA,,b'Casey',116
33,68,32,0.310168753,400272,M000639,NJ,,b'Menendez',116
34,67,33,0.323638117,412330,B001267,CO,,b'Bennet',116
35,66,34,0.340848282,412715,R000608,NV,,b'Rosen',116
36,65,35,0.341586143,300018,C000127,WA,,b'Cantwell',116
