"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Del. Moylan, James C. [R-GU-At Large]","118",15.8975,25.5207,32.2501,0.123310406098944,0.21579750395691,0.346425749912446,0.437772673839329,"prof","Republican","house of representatives","Committee on Natural Resources","Male",62,0,0.555708478719314,"At Large","GU","M001219"
"Del. Norton, Eleanor Holmes [D-DC-At Large]","116",13.9794,27.3711,30.767,0.133123091816859,0.193842800330573,0.379536365804551,0.426624993760157,"prof","Democratic","house of representatives","Committee on Oversight and Accountability","Female",87,28,0.0323303991077242,"At Large","DC","N000147"
"Del. Norton, Eleanor Holmes [D-DC-At Large]","118",15.6624,26.2571,31.3155,0.13498521099085,0.213863787184886,0.35853016437406,0.427600586601562,"prof","Democratic","house of representatives","Committee on Transportation and Infrastructure","Female",87,32,0,"At Large","DC","N000147"
"Del. Plaskett, Stacey E. [D-VI-At Large]","115",13.9754,27.4697,31.3219,0.132842553423863,0.192057630756926,0.377503720795364,0.430442771212656,"prof","Democratic","house of representatives","Committee on Agriculture","Female",58,2,0.314887359575288,"At Large","VI","P000610"
"Del. Plaskett, Stacey E. [D-VI-At Large]","116",14.7407,27.1859,32.5943,0.123211625823627,0.197806518448541,0.3648095565265,0.437385266932185,"prof","Democratic","house of representatives","Committee on Agriculture","Female",58,4,0.301092707374864,"At Large","VI","P000610"
"Del. Plaskett, Stacey E. [D-VI-At Large]","117",19.9624,24.3877,34.9463,0.150212152819833,0.251743454322127,0.307550386775726,0.440703636725913,"prof","Democratic","house of representatives","Committee on Agriculture","Female",58,6,0.233564721858697,"At Large","VI","P000610"
"Del. Plaskett, Stacey E. [D-VI-At Large]","118",15.9328,24.5134,31.2506,0.120932305223704,0.222222532166394,0.341900345200321,0.43586735939189,"prof","Democratic","house of representatives","Select Subcommittee on the Weaponization of the Federal Government","Female",58,8,0.303017675689977,"At Large","VI","P000610"
"Del. Radewagen, Aumua Amata Coleman [R-AS-At Large]","117",19.9643,24.7242,35.168,0.150816261044335,0.250001252241512,0.309606695985814,0.440388295048136,"prof","Republican","house of representatives","Committee on Natural Resources","Female",77,6,0.344895203436533,"At Large","AM","R000600"
"Del. Radewagen, Aumua Amata Coleman [R-AS-At Large]","118",15.9627,24.6812,31.4549,0.119654769180743,0.221397899572258,0.342320900532042,0.436270104133726,"prof","Republican","house of representatives","Committee on Veterans' Affairs","Female",77,8,0.463507969169595,"At Large","AM","R000600"
"Del. Sablan, Gregorio Kilili Camacho [D-MP-At Large]","118",15.8975,25.5207,32.2501,0.123310406098944,0.21579750395691,0.346425749912446,0.437772673839329,"prof","Democratic","house of representatives","Committee on Natural Resources","Male",69,14,0.281798869947121,"At Large","NO","S001177"
