"issue","congress","committee_el","party","label","pred","importance_intl","importance_dom","importance_prof","intl_percentage","dom_percentage","prof_percentage","decision"
"Agriculture and Food",115,"Committee on Agriculture","Democratic",2,0.205916508168142,4.1187,10.1544,11.0222,0.162824714472649,0.401434258538147,0.435741026989204,"prof"
"Agriculture and Food",115,"Committee on Agriculture","Republican",8,0.222568604025357,5.5718,16.3089,17.1586,0.142722845952668,0.417755953615972,0.43952120043136,"prof"
"Agriculture and Food",115,"Committee on Agriculture, Nutrition, and Forestry","Democratic",1,0.28831079915557,0.3689,2.3523,1.954,0.0789057152635182,0.503144250513347,0.417950034223135,"dom"
"Agriculture and Food",115,"Committee on Agriculture, Nutrition, and Forestry","Republican",4,0.304172725145107,0.7471,5.029,4.1249,0.0754570245429754,0.507928492071508,0.416614483385517,"dom"
"Agriculture and Food",115,"Committee on Appropriations","Democratic",1,0.105726532537222,6.9151,11.8355,9.4002,0.245644883981983,0.420432101396763,0.333923014621254,"dom"
"Agriculture and Food",115,"Committee on Appropriations","Republican",0,0.0935874268872536,4.5051,9.3474,7.5705,0.210292676095785,0.4363254446156,0.353381879288615,"dom"
"Agriculture and Food",115,"Committee on Armed Services","Democratic",0,0.0969662601119844,5.5946,8.8684,9.0293,0.2381461159614,0.377502415685139,0.38435146835346,"prof"
"Agriculture and Food",115,"Committee on Armed Services","Independent",0,0.147403087350707,0.6718,0.2943,0.7486,0.39178865107599,0.171633521898874,0.436577827025136,"prof"
"Agriculture and Food",115,"Committee on Armed Services","Republican",1,0.0888810577068472,4.0802,7.2346,6.3531,0.230938594852812,0.409477074241987,0.359584330905201,"dom"
"Agriculture and Food",115,"Committee on Banking, Housing, and Urban Affairs","Democratic",1,0.130066504030979,0.1897,0.4889,0.2176,0.211671501896898,0.545525552332069,0.242802945771033,"dom"
"Agriculture and Food",115,"Committee on Banking, Housing, and Urban Affairs","Republican",1,0.101454116872163,0.5805,0.9467,0.9123,0.237958598073376,0.388071326091412,0.373970075835212,"dom"
"Agriculture and Food",115,"Committee on Commerce, Science, and Transportation","Democratic",0,0.124880370505634,0.3679,1.4067,0.6504,0.151711340206186,0.580082474226804,0.26820618556701,"dom"
"Agriculture and Food",115,"Committee on Commerce, Science, and Transportation","Republican",1,0.117542817415988,0.5566,0.9588,0.7299,0.247895604150893,0.427025341825146,0.325079054023961,"dom"
"Agriculture and Food",115,"Committee on Education and the Workforce","Democratic",0,0.0749514297786158,2.0341,2.7476,3.0291,0.260421467711374,0.351769345009474,0.387809187279152,"prof"
"Agriculture and Food",115,"Committee on Education and the Workforce","Republican",1,0.100800888063848,1.5194,2.5022,1.9251,0.255503052112937,0.420771184018027,0.323725763869037,"dom"
"Agriculture and Food",115,"Committee on Energy and Commerce","Democratic",0,0.0864866879089063,3.3721,6.8714,6.6835,0.199214273054883,0.40594316772021,0.394842559224907,"dom"
"Agriculture and Food",115,"Committee on Energy and Commerce","Republican",2,0.0825572587235547,6.0387,13.0414,12.6051,0.190584247535127,0.411592794112078,0.397822958352796,"dom"
"Agriculture and Food",115,"Committee on Energy and Natural Resources","Democratic",0,0.0571798792031116,0.2619,0.6481,0.5339,0.18138375233742,0.448853798739525,0.369762448923056,"dom"
"Agriculture and Food",115,"Committee on Energy and Natural Resources","Republican",0,0.0554059116388143,0.2843,0.649,0.5062,0.197499131642932,0.450850989927058,0.35164987843001,"dom"
"Agriculture and Food",115,"Committee on Environment and Public Works","Democratic",0,0.112993689110392,0.3982,1.2515,0.6759,0.171224630202958,0.538140694874441,0.290634674922601,"dom"
"Agriculture and Food",115,"Committee on Environment and Public Works","Republican",0,0.0780701504921104,0.2918,0.596,0.613,0.194429637526652,0.397121535181237,0.408448827292111,"prof"
"Agriculture and Food",115,"Committee on Ethics","Republican",0,0.153258023400238,0.1657,0.6708,0.1804,0.162946209066772,0.659651883174353,0.177401907758875,"dom"
"Agriculture and Food",115,"Committee on Finance","Democratic",1,0.135360211073825,0.1952,0.3835,0.1685,0.261241970021413,0.513249464668094,0.225508565310493,"dom"
"Agriculture and Food",115,"Committee on Financial Services","Democratic",1,0.0966410596220055,2.838,4.903,4.9337,0.223910625103553,0.386833613418858,0.389255761477589,"prof"
"Agriculture and Food",115,"Committee on Financial Services","Independent",0,0.112993689110392,0.1963,0.6309,0.3421,0.167878217737108,0.539553579064397,0.292568203198495,"dom"
"Agriculture and Food",115,"Committee on Financial Services","Republican",3,0.0893860695509577,3.8948,8.3511,6.3981,0.208903668740614,0.447924265179146,0.34317206608024,"dom"
"Agriculture and Food",115,"Committee on Foreign Affairs","Democratic",0,0.0644541663716615,2.9732,3.7882,4.4928,0.264185815073484,0.33660322368538,0.399210961241137,"prof"
"Agriculture and Food",115,"Committee on Foreign Affairs","Republican",0,0.107208778339081,2.3457,3.4206,3.2464,0.260266068991534,0.379531106105828,0.360202824902637,"dom"
"Agriculture and Food",115,"Committee on Foreign Relations","Democratic",0,0.115700768936289,0.202,0.639,0.3321,0.172193333901628,0.544710595857131,0.283096070241241,"dom"
"Agriculture and Food",115,"Committee on Foreign Relations","Republican",1,0.0901409729424038,0.3539,0.45,0.5369,0.263946897374702,0.335620525059666,0.400432577565632,"prof"
"Agriculture and Food",115,"Committee on Health, Education, Labor, and Pensions","Democratic",0,0.0571798792031116,0.2619,0.6481,0.5339,0.18138375233742,0.448853798739525,0.369762448923056,"dom"
"Agriculture and Food",115,"Committee on Health, Education, Labor, and Pensions","Republican",1,0.0731019716713113,0.1775,0.5644,0.4717,0.146259063941991,0.465062623599209,0.3886783124588,"dom"
"Agriculture and Food",115,"Committee on Homeland Security","Democratic",0,0.0797486661389014,1.2425,2.1469,2.1352,0.224903160409803,0.388607319986967,0.386489519603229,"dom"
"Agriculture and Food",115,"Committee on Homeland Security","Republican",0,0.11142981108705,0.773,2.6057,1.6047,0.155114981739375,0.522875948147851,0.322009070112774,"dom"
"Agriculture and Food",115,"Committee on Homeland Security and Governmental Affairs","Republican",1,0.109873732319545,0.2193,0.4719,0.3308,0.214579256360078,0.46174168297456,0.323679060665362,"dom"
"Agriculture and Food",115,"Committee on House Administration","Democratic",0,0.10164578675151,0.2309,0.2587,0.2524,0.311185983827493,0.348652291105121,0.340161725067385,"dom"
"Agriculture and Food",115,"Committee on House Administration","Republican",1,0.095062468366528,0.2953,0.4074,0.4509,0.255981276005548,0.353155339805825,0.390863384188627,"prof"
"Agriculture and Food",115,"Committee on Indian Affairs","Democratic",0,0.14327622604466,0.5337,1.5427,0.5795,0.200948830904778,0.580857713016303,0.218193456078919,"dom"
"Agriculture and Food",115,"Committee on Indian Affairs","Republican",2,0.0939487141252887,0.9319,2.3408,1.775,0.184618737246667,0.463735958951602,0.351645303801731,"dom"
"Agriculture and Food",115,"Committee on Natural Resources","Democratic",0,0.114955140414579,1.3764,1.7569,2.0171,0.267241379310345,0.341119136377757,0.391639484311898,"prof"
