"congress","issue","news_count","prev_news","yoy_change","mom_change","weighted_yoy","z_weighted_yoy","z_news","growth_momentum"
115,"Agriculture and Food",34,NA,NA,NA,NA,NA,-0.282517953256517,NA
116,"Agriculture and Food",7,34,-79.4117647058823,-0.794117647058824,-8.5138348354766,-0.281931633029613,-0.486332601226193,-0.343251923488587
117,"Agriculture and Food",6,7,-14.2857142857143,-0.142857142857143,-1.41797619138704,-0.228838964997894,-0.493881291891737,-0.308351663066047
118,"Agriculture and Food",16,6,166.666666666667,1.66666666666667,27.0146966157703,-0.0160998823412444,-0.418394385236301,-0.136788233209761
115,"Alliance and Collective Security",37,NA,NA,NA,NA,NA,-0.259871881259887,NA
116,"Alliance and Collective Security",52,37,40.5405405405405,0.405405405405405,11.8462954669374,-0.129592967133416,-0.146641521276733,-0.134707533376411
117,"Alliance and Collective Security",14,52,-73.0769230769231,-0.730769230769231,-11.0798944830763,-0.301131416995585,-0.433491766567389,-0.340839521867126
118,"Alliance and Collective Security",31,14,121.428571428571,1.21428571428571,27.3963739985267,-0.0132440939730839,-0.305164025253148,-0.100820073357103
115,"Armed Forces",475,NA,NA,NA,NA,NA,3.04645463024819,NA
116,"Armed Forces",556,475,17.0526315789474,0.170526315789474,16.2937166173431,-0.0963164509879863,3.65789857415722,1.02994805655558
117,"Armed Forces",135,556,-75.7194244604317,-0.757194244604317,-35.6504931827966,-0.484973669996413,0.479899803963382,-0.195511627808475
118,"Armed Forces",156,135,15.5555555555556,0.155555555555555,7.87298056033185,-0.159322123237392,0.638422307939797,0.0800012061157646
115,"Art, Culture, Religion",19,NA,NA,NA,NA,NA,-0.395748313239671,NA
116,"Art, Culture, Religion",4,19,-78.9473684210526,-0.789473684210526,-6.39821761952453,-0.266102151614803,-0.508978673222824,-0.33896510809721
117,"Art, Culture, Religion",6,4,50,0.5,4.96291666985465,-0.181095817421237,-0.493881291891737,-0.274931459762387
118,"Art, Culture, Religion",7,6,16.6666666666667,0.166666666666667,1.78685422472966,-0.204859767283384,-0.486332601226193,-0.289301617466227
115,"Civil Rights and Liberties, Minority Issues",18,NA,NA,NA,NA,NA,-0.403297003905214,NA
116,"Civil Rights and Liberties, Minority Issues",72,18,300,3,103.152285911026,0.553577158302082,0.00433229203413801,0.388803698421699
117,"Civil Rights and Liberties, Minority Issues",21,72,-70.8333333333333,-0.708333333333333,-13.1534197875412,-0.316645958105705,-0.380650931908584,-0.335847450246568
118,"Civil Rights and Liberties, Minority Issues",32,21,52.3809523809524,0.523809523809524,12.0071443917596,-0.128389462526408,-0.297615334587604,-0.179157224144767
115,"Commerce",19,NA,NA,NA,NA,NA,-0.395748313239671,NA
116,"Commerce",19,19,0,0,0,-0.218229376647526,-0.395748313239671,-0.271485057625169
117,"Commerce",23,19,21.0526315789474,0.210526315789474,4.09130316703075,-0.187617408207989,-0.365553550577496,-0.240998250918842
118,"Commerce",12,23,-47.8260869565217,-0.478260869565217,-6.71346649546049,-0.268460908286398,-0.448589147898476,-0.322499380170021
115,"Congressional political operations",17,NA,NA,NA,NA,NA,-0.410845694570758,NA
116,"Congressional political operations",17,17,0,0,0,-0.218229376647526,-0.410845694570758,-0.276014272024496
117,"Congressional political operations",16,17,-5.88235294117647,-0.0588235294117647,-0.953459880556597,-0.225363358799512,-0.418394385236301,-0.283272666730549
118,"Congressional political operations",16,16,0,0,0,-0.218229376647526,-0.418394385236301,-0.278278879224159
115,"Crime and Law Enforcement",120,NA,NA,NA,NA,NA,0.366669443980229,NA
116,"Crime and Law Enforcement",35,120,-70.8333333333333,-0.708333333333333,-16.9809919276074,-0.34528463697359,-0.274969262590974,-0.324190024658805
