"congress","chamber","party","issue","total_mentions"
115,"House of Representatives","Democratic","Foreign Affairs",156
115,"House of Representatives","Independent","Foreign Affairs",11
115,"House of Representatives","Republican","Foreign Affairs",417
115,"Senate","Democratic","Foreign Affairs",217
115,"Senate","Independent","Congressional political operations",13
115,"Senate","Republican","Foreign Affairs",683
116,"House of Representatives","Democratic","Foreign Affairs",356
116,"House of Representatives","Independent","Congressional political operations",10
116,"House of Representatives","Republican","Foreign Affairs",815
116,"Senate","Democratic","Foreign Affairs",250
116,"Senate","Independent","Economics and Public Finance",46
116,"Senate","Republican","Foreign Affairs",710
117,"House of Representatives","Democratic","Foreign Affairs",1867
117,"House of Representatives","Independent","Commerce",7
117,"House of Representatives","Republican","Foreign Affairs",374
117,"Senate","Democratic","Foreign Affairs",871
117,"Senate","Independent","Foreign Affairs",64
117,"Senate","Republican","Foreign Affairs",425
118,"House of Representatives","Democratic","Government Operations and Politics",939
118,"House of Representatives","Independent","Commerce",7
118,"House of Representatives","Republican","Foreign Affairs",444
118,"Senate","Democratic","Government Operations and Politics",424
118,"Senate","Independent","Government Operations and Politics",32
118,"Senate","Republican","Foreign Affairs",269
