"congress","gender","party","issue","total_mentions"
115,"Female","Democratic","Foreign Affairs",150
115,"Female","Democratic","International Trade",113
115,"Female","Democratic","Congressional political operations",84
115,"Female","Democratic","Government Operations and Politics",59
115,"Female","Democratic","Civil Rights and Liberties, Minority Issues",38
115,"Female","Independent","Immigration",2
115,"Female","Independent","Civil Rights and Liberties, Minority Issues",1
115,"Female","Independent","Congressional political operations",1
115,"Female","Independent","Crime and Law Enforcement",1
115,"Female","Independent","Human Rights",1
115,"Female","Republican","Foreign Affairs",390
115,"Female","Republican","International Trade",183
115,"Female","Republican","Congressional political operations",126
115,"Female","Republican","Government Operations and Politics",108
115,"Female","Republican","Civil Rights and Liberties, Minority Issues",67
115,"Male","Democratic","Foreign Affairs",195
115,"Male","Democratic","International Trade",127
115,"Male","Democratic","Congressional political operations",91
115,"Male","Democratic","Government Operations and Politics",44
115,"Male","Democratic","National Security",31
115,"Male","Independent","Foreign Affairs",14
115,"Male","Independent","Congressional political operations",12
115,"Male","Independent","International Trade",11
115,"Male","Independent","Commerce",10
115,"Male","Independent","Government Operations and Politics",7
115,"Male","Republican","Foreign Affairs",924
115,"Male","Republican","International Trade",389
115,"Male","Republican","Human Rights",202
115,"Male","Republican","Congressional political operations",186
115,"Male","Republican","Government Operations and Politics",158
116,"Female","Democratic","Foreign Affairs",317
116,"Female","Democratic","Congressional political operations",284
116,"Female","Democratic","International Trade",246
116,"Female","Democratic","Economics and Public Finance",237
116,"Female","Democratic","Government Operations and Politics",172
116,"Female","Independent","Congressional political operations",3
116,"Female","Independent","Government Operations and Politics",2
116,"Female","Independent","Agriculture and Food",1
116,"Female","Independent","Armed Forces",1
116,"Female","Independent","Foreign Affairs",1
116,"Female","Republican","Foreign Affairs",219
116,"Female","Republican","Government Operations and Politics",86
116,"Female","Republican","International Trade",81
116,"Female","Republican","Congressional political operations",78
116,"Female","Republican","Economics and Public Finance",24
116,"Male","Democratic","Foreign Affairs",275
116,"Male","Democratic","Congressional political operations",209
116,"Male","Democratic","International Trade",157
116,"Male","Democratic","Government Operations and Politics",88
116,"Male","Democratic","Human Rights",88
116,"Male","Independent","Economics and Public Finance",48
116,"Male","Independent","Congressional political operations",39
116,"Male","Independent","Foreign Affairs",29
116,"Male","Independent","International Trade",26
116,"Male","Independent","Health",20
116,"Male","Republican","Foreign Affairs",1165
116,"Male","Republican","International Trade",640
116,"Male","Republican","Government Operations and Politics",502
116,"Male","Republican","Congressional political operations",456
116,"Male","Republican","Human Rights",294
117,"Female","Democratic","Foreign Affairs",1098
117,"Female","Democratic","Alliance and Collective Security",273
117,"Female","Democratic","Government Operations and Politics",249
117,"Female","Democratic","Economics and Public Finance",208
117,"Female","Democratic","Armed Forces",190
117,"Female","Independent","Foreign Affairs",36
117,"Female","Independent","Economics and Public Finance",16
117,"Female","Independent","Government Operations and Politics",13
117,"Female","Independent","Alliance and Collective Security",11
117,"Female","Independent","Congressional political operations",10
117,"Female","Republican","Foreign Affairs",159
117,"Female","Republican","Congressional political operations",56
117,"Female","Republican","Armed Forces",42
117,"Female","Republican","Government Operations and Politics",40
117,"Female","Republican","Civil Rights and Liberties, Minority Issues",30
117,"Male","Democratic","Foreign Affairs",1355
117,"Male","Democratic","Alliance and Collective Security",429
117,"Male","Democratic","Government Operations and Politics",290
117,"Male","Democratic","Armed Forces",220
117,"Male","Democratic","International Trade",208
117,"Male","Independent","Foreign Affairs",28
117,"Male","Independent","Government Operations and Politics",12
117,"Male","Independent","International Trade",8
117,"Male","Independent","Congressional political operations",3
117,"Male","Independent","Armed Forces",2
117,"Male","Republican","Foreign Affairs",470
117,"Male","Republican","Congressional political operations",216
117,"Male","Republican","Armed Forces",188
117,"Male","Republican","Economics and Public Finance",158
117,"Male","Republican","Government Operations and Politics",139
118,"Female","Democratic","Government Operations and Politics",417
118,"Female","Democratic","Foreign Affairs",233
118,"Female","Democratic","Congressional political operations",132
118,"Female","Democratic","International Trade",69
118,"Female","Democratic","Civil Rights and Liberties, Minority Issues",56
118,"Female","Independent","Congressional political operations",4
118,"Female","Independent","Government Operations and Politics",4
118,"Female","Independent","Civil Rights and Liberties, Minority Issues",2
118,"Female","Independent","Economics and Public Finance",2
118,"Female","Independent","Foreign Affairs",2
118,"Female","Republican","Government Operations and Politics",58
118,"Female","Republican","Congressional political operations",51
118,"Female","Republican","Foreign Affairs",50
118,"Female","Republican","International Trade",23
118,"Female","Republican","Armed Forces",18
118,"Male","Democratic","Government Operations and Politics",673
118,"Male","Democratic","Foreign Affairs",201
118,"Male","Democratic","Congressional political operations",169
118,"Male","Democratic","International Trade",80
118,"Male","Democratic","Economics and Public Finance",71
118,"Male","Independent","Government Operations and Politics",28
118,"Male","Independent","Congressional political operations",3
118,"Male","Independent","Foreign Affairs",3
118,"Male","Independent","Health",3
118,"Male","Independent","Civil Rights and Liberties, Minority Issues",1
118,"Male","Republican","Foreign Affairs",546
118,"Male","Republican","Congressional political operations",390
118,"Male","Republican","Government Operations and Politics",243
118,"Male","Republican","Economics and Public Finance",197
118,"Male","Republican","International Trade",170
