"congress","committee_el","issue","total_mentions"
115,"Committee on Agriculture","Agriculture and Food",18
115,"Committee on Agriculture, Nutrition, and Forestry","Foreign Affairs",42
115,"Committee on Appropriations","Foreign Affairs",106
115,"Committee on Armed Services","Foreign Affairs",69
115,"Committee on Banking, Housing, and Urban Affairs","International Trade",13
115,"Committee on Commerce, Science, and Transportation","Foreign Affairs",16
115,"Committee on Education and the Workforce","Foreign Affairs",27
115,"Committee on Energy and Commerce","Foreign Affairs",35
115,"Committee on Energy and Natural Resources","Foreign Affairs",14
115,"Committee on Environment and Public Works","Foreign Affairs",19
115,"Committee on Ethics","Foreign Affairs",2
115,"Committee on Finance","Congressional political operations",4
115,"Committee on Financial Services","Foreign Affairs",49
115,"Committee on Foreign Affairs","Foreign Affairs",24
115,"Committee on Foreign Relations","Foreign Affairs",6
115,"Committee on Health, Education, Labor, and Pensions","International Trade",11
115,"Committee on Homeland Security","Foreign Affairs",25
115,"Committee on Homeland Security and Governmental Affairs","International Trade",9
115,"Committee on House Administration","International Trade",4
115,"Committee on Indian Affairs","Foreign Affairs",17
115,"Committee on Natural Resources","Foreign Affairs",4
115,"Committee on Oversight and Accountability","Foreign Affairs",19
115,"Committee on Rules","Foreign Affairs",1
115,"Committee on Rules and Administration","Environmental Protection",3
115,"Committee on Science, Space, and Technology","Government Operations and Politics",2
115,"Committee on Small Business","Congressional political operations",3
115,"Committee on Small Business and Entrepreneurship","Foreign Affairs",11
115,"Committee on Transportation and Infrastructure","Congressional political operations",3
115,"Committee on Veterans' Affairs","Congressional political operations",3
115,"Committee on Ways and Means","Foreign Affairs",15
115,"Committee on the Budget","Congressional political operations",14
115,"Committee on the Judiciary","Foreign Affairs",18
115,"Permanent Select Committee on Intelligence","Foreign Affairs",46
115,"Select Committee on Intelligence","Foreign Affairs",59
115,"Special Committee on Aging","Foreign Affairs",42
115,NA,"Foreign Affairs",961
116,"Commission on Security and Cooperation in Europe","Foreign Affairs",24
116,"Committee on Agriculture","Foreign Affairs",64
116,"Committee on Agriculture, Nutrition, and Forestry","Foreign Affairs",28
116,"Committee on Appropriations","Foreign Affairs",194
116,"Committee on Armed Services","Foreign Affairs",120
116,"Committee on Banking, Housing, and Urban Affairs","Finance and Financial Sector",13
116,"Committee on Commerce, Science, and Transportation","Congressional political operations",6
116,"Committee on Education and the Workforce","Foreign Affairs",64
116,"Committee on Energy and Commerce","Foreign Affairs",72
116,"Committee on Energy and Natural Resources","Foreign Affairs",14
116,"Committee on Environment and Public Works","Foreign Affairs",21
116,"Committee on Ethics","Foreign Affairs",2
116,"Committee on Finance","Human Rights",4
116,"Committee on Financial Services","Foreign Affairs",119
116,"Committee on Foreign Affairs","Foreign Affairs",100
116,"Committee on Foreign Relations","Foreign Affairs",56
116,"Committee on Health, Education, Labor, and Pensions","Health",14
116,"Committee on Homeland Security","Foreign Affairs",15
116,"Committee on Homeland Security and Governmental Affairs","Congressional political operations",6
116,"Committee on House Administration","Congressional political operations",12
116,"Committee on Indian Affairs","International Trade",31
116,"Committee on Natural Resources","Congressional political operations",12
116,"Committee on Oversight and Accountability","Foreign Affairs",79
116,"Committee on Rules","Congressional political operations",4
116,"Committee on Rules and Administration","Congressional political operations",19
116,"Committee on Science, Space, and Technology","Foreign Affairs",14
116,"Committee on Small Business","Civil Rights and Liberties, Minority Issues",3
116,"Committee on Small Business and Entrepreneurship","Human Rights",143
116,"Committee on Transportation and Infrastructure","Foreign Affairs",24
116,"Committee on Veterans' Affairs","Civil Rights and Liberties, Minority Issues",3
116,"Committee on Ways and Means","International Trade",57
116,"Committee on the Budget","Foreign Affairs",117
116,"Committee on the Judiciary","Congressional political operations",34
116,"Joint Committee on Taxation","Foreign Affairs",31
116,"Joint Committee on the Library","International Trade",6
116,"Joint Economic Committee","Foreign Affairs",56
116,"Permanent Select Committee on Intelligence","Foreign Affairs",129
116,"Select Committee on Ethics","Foreign Affairs",14
116,"Select Committee on Intelligence","Foreign Affairs",60
116,"Select Committee on the Modernization of Congress","Congressional political operations",1
116,"Special Committee on Aging","International Trade",98
116,"United States Senate Caucus on International Narcotics Control","Foreign Affairs",81
116,NA,"Foreign Affairs",239
117,"Committee on Agriculture","Foreign Affairs",79
117,"Committee on Agriculture, Nutrition, and Forestry","Foreign Affairs",145
117,"Committee on Appropriations","Foreign Affairs",286
117,"Committee on Armed Services","Foreign Affairs",350
117,"Committee on Banking, Housing, and Urban Affairs","Foreign Affairs",72
117,"Committee on Commerce, Science, and Transportation","Foreign Affairs",109
117,"Committee on Education and the Workforce","Foreign Affairs",105
117,"Committee on Energy and Commerce","Foreign Affairs",66
117,"Committee on Energy and Natural Resources","Foreign Affairs",16
117,"Committee on Environment and Public Works","Foreign Affairs",16
117,"Committee on Ethics","Foreign Affairs",3
117,"Committee on Finance","Foreign Affairs",51
117,"Committee on Financial Services","Foreign Affairs",189
