"issue","congress","committee_el","label","pred","importance_intl","importance_dom","importance_prof","intl_percentage","dom_percentage","prof_percentage","decision"
"Agriculture and Food","115","Committee on Agriculture",11,0.253006323472499,9.353,28.3551,29.3472,0.139481890320377,0.422861429297908,0.437656680381715,"prof"
"Agriculture and Food","115","Committee on Agriculture, Nutrition, and Forestry",5,0.283521837188374,1.1701,6.2007,5.6796,0.0896600870471403,0.475134861766689,0.435205051186171,"dom"
"Agriculture and Food","115","Committee on Appropriations",3,0.126411978864538,11.5785,21.5601,20.0771,0.217576767758387,0.40514547398606,0.377277758255552,"dom"
"Agriculture and Food","115","Committee on Armed Services",1,0.122509045794513,9.9433,17.0331,17.1218,0.22548085862915,0.386253860701797,0.388265280669052,"prof"
"Agriculture and Food","115","Committee on Banking, Housing, and Urban Affairs",2,0.119913704464846,0.4981,1.4994,1.0884,0.16141158171036,0.485887423442108,0.352700994847532,"dom"
"Agriculture and Food","115","Committee on Commerce, Science, and Transportation",1,0.135896312123226,0.7679,2.438,1.6685,0.157537337928771,0.500164122763827,0.342298539307402,"dom"
"Agriculture and Food","115","Committee on Education and the Workforce",1,0.154505282476461,4.0468,5.5044,5.4557,0.269662621860611,0.366791276013034,0.363546102126355,"dom"
"Agriculture and Food","115","Committee on Energy and Commerce",2,0.108052631620328,8.4212,20.9893,19.7475,0.171308840880426,0.42697628056471,0.401714878554864,"dom"
"Agriculture and Food","115","Committee on Energy and Natural Resources",0,0.106161054944325,0.3485,1.1354,0.8736,0.147826086956522,0.481611876988335,0.370562036055143,"dom"
"Agriculture and Food","115","Committee on Environment and Public Works",0,0.121354732980054,0.4788,1.6845,1.2173,0.141631663018399,0.498284328225759,0.360084008755842,"dom"
"Agriculture and Food","115","Committee on Ethics",0,0.126347865277801,0.2953,1.17,0.7741,0.131865678306689,0.52246137358221,0.345672948111101,"dom"
"Agriculture and Food","115","Committee on Finance",1,0.167219069529499,0.1466,0.5747,0.2784,0.146643993197959,0.574872461738522,0.278483545063519,"dom"
"Agriculture and Food","115","Committee on Financial Services",4,0.135109151864864,9.0004,14.2304,14.2644,0.240041391964838,0.379525912650153,0.380432695385009,"prof"
"Agriculture and Food","115","Committee on Foreign Affairs",0,0.124720088507898,5.9361,8.2567,8.958,0.256410145653714,0.356648582338407,0.386941272007879,"prof"
"Agriculture and Food","115","Committee on Foreign Relations",1,0.145568132366653,0.4492,0.9329,0.8115,0.204777534646244,0.425282640408461,0.369939824945295,"dom"
"Agriculture and Food","115","Committee on Health, Education, Labor, and Pensions",1,0.139842887463049,0.7605,0.9583,1.1726,0.263021373728989,0.331431140623919,0.405547485647091,"prof"
"Agriculture and Food","115","Committee on Homeland Security",0,0.111658077217632,2.8867,4.3275,4.5252,0.24589842751759,0.368630424042115,0.385471148440295,"prof"
"Agriculture and Food","115","Committee on Homeland Security and Governmental Affairs",1,0.128923627973068,0.1571,0.628,0.385,0.13426202888642,0.536706264421844,0.329031706691736,"dom"
"Agriculture and Food","115","Committee on House Administration",1,0.0941484853850403,0.811,0.7357,1.0811,0.308623182890631,0.279968034096963,0.411408783012406,"prof"
"Agriculture and Food","115","Committee on Indian Affairs",2,0.132730326542043,1.3799,3.9091,2.7441,0.171776773599233,0.486624092815974,0.341599133584793,"dom"
"Agriculture and Food","115","Committee on Natural Resources",0,0.157300500536597,3.3349,4.0436,4.6817,0.276521119052752,0.335284655312516,0.388194225634732,"prof"
"Agriculture and Food","115","Committee on Oversight and Accountability",3,0.153126816095097,5.8923,7.662,8.6506,0.265360348391571,0.34505897346982,0.389580678138609,"prof"
"Agriculture and Food","115","Committee on Rules",0,0.0891332581940481,0.4226,0.5819,0.6986,0.248135752451412,0.341671070401033,0.410193177147554,"prof"
"Agriculture and Food","115","Committee on Rules and Administration",0,0.149213490034381,0.1567,0.5027,0.3241,0.159328927300458,0.5111337061515,0.329537366548043,"dom"
"Agriculture and Food","115","Committee on Science, Space, and Technology",1,0.169293553136258,0.965,1.4908,1.0896,0.272183674620635,0.42048852033621,0.307327805043154,"dom"
"Agriculture and Food","115","Committee on Small Business",1,0.124460141582112,0.8875,1.701,1.3564,0.224974017085351,0.431189637253162,0.343836345661487,"dom"
"Agriculture and Food","115","Committee on Small Business and Entrepreneurship",0,0.133684659684031,0.3697,1.2684,0.7573,0.154337480170326,0.529514903565167,0.316147616264507,"dom"
