"congress","gender","party","issue","total_mentions"
115,"Female","Democratic","Foreign Affairs",430
115,"Female","Democratic","International Trade",296
115,"Female","Democratic","Congressional political operations",238
115,"Female","Democratic","Government Operations and Politics",200
115,"Female","Democratic","Civil Rights and Liberties, Minority Issues",112
115,"Female","Independent","Immigration",4
115,"Female","Independent","Civil Rights and Liberties, Minority Issues",2
115,"Female","Independent","Crime and Law Enforcement",2
115,"Female","Independent","Human Rights",2
115,"Female","Republican","Foreign Affairs",978
115,"Female","Republican","International Trade",440
115,"Female","Republican","Congressional political operations",358
115,"Female","Republican","Government Operations and Politics",318
115,"Female","Republican","",266
115,"Male","Democratic","Foreign Affairs",582
115,"Male","Democratic","International Trade",340
115,"Male","Democratic","Congressional political operations",260
115,"Male","Democratic","Government Operations and Politics",156
115,"Male","Democratic","National Security",100
115,"Male","Independent","Foreign Affairs",68
115,"Male","Independent","Congressional political operations",60
115,"Male","Independent","International Trade",42
115,"Male","Independent","Commerce",32
115,"Male","Independent","Civil Rights and Liberties, Minority Issues",26
115,"Male","Republican","Foreign Affairs",2716
115,"Male","Republican","International Trade",1068
115,"Male","Republican","Congressional political operations",800
115,"Male","Republican","Government Operations and Politics",588
115,"Male","Republican","Human Rights",526
116,"Female","Democratic","Foreign Affairs",630
116,"Female","Democratic","Congressional political operations",558
116,"Female","Democratic","International Trade",492
116,"Female","Democratic","Economics and Public Finance",470
116,"Female","Democratic","Government Operations and Politics",344
116,"Female","Independent","Congressional political operations",8
116,"Female","Independent","Government Operations and Politics",4
116,"Female","Independent","Agriculture and Food",2
116,"Female","Independent","Armed Forces",2
116,"Female","Independent","Foreign Affairs",2
116,"Female","Republican","Foreign Affairs",506
116,"Female","Republican","International Trade",214
116,"Female","Republican","Congressional political operations",182
116,"Female","Republican","Government Operations and Politics",180
116,"Female","Republican","Economics and Public Finance",56
116,"Male","Democratic","Foreign Affairs",584
116,"Male","Democratic","Congressional political operations",414
116,"Male","Democratic","International Trade",334
116,"Male","Democratic","Human Rights",186
116,"Male","Democratic","Government Operations and Politics",184
116,"Male","Independent","Economics and Public Finance",94
116,"Male","Independent","Congressional political operations",80
116,"Male","Independent","Foreign Affairs",58
116,"Male","Independent","International Trade",52
116,"Male","Independent","Health",40
116,"Male","Republican","Foreign Affairs",2584
116,"Male","Republican","International Trade",1422
116,"Male","Republican","Government Operations and Politics",1070
116,"Male","Republican","Congressional political operations",970
116,"Male","Republican","Human Rights",636
117,"Female","Democratic","Foreign Affairs",2220
117,"Female","Democratic","Alliance and Collective Security",546
117,"Female","Democratic","Government Operations and Politics",504
117,"Female","Democratic","Economics and Public Finance",420
117,"Female","Democratic","Armed Forces",380
117,"Female","Independent","Foreign Affairs",72
117,"Female","Independent","Economics and Public Finance",32
117,"Female","Independent","Government Operations and Politics",26
117,"Female","Independent","Alliance and Collective Security",22
117,"Female","Independent","Congressional political operations",20
117,"Female","Republican","Foreign Affairs",332
117,"Female","Republican","Congressional political operations",136
117,"Female","Republican","Government Operations and Politics",94
117,"Female","Republican","Armed Forces",86
117,"Female","Republican","Civil Rights and Liberties, Minority Issues",80
117,"Male","Democratic","Foreign Affairs",2774
117,"Male","Democratic","Alliance and Collective Security",882
117,"Male","Democratic","Government Operations and Politics",602
117,"Male","Democratic","Armed Forces",474
117,"Male","Democratic","International Trade",432
117,"Male","Independent","Foreign Affairs",56
117,"Male","Independent","Government Operations and Politics",24
117,"Male","Independent","International Trade",16
117,"Male","Independent","Congressional political operations",6
117,"Male","Independent","Economics and Public Finance",6
117,"Male","Republican","Foreign Affairs",1112
117,"Male","Republican","Congressional political operations",500
117,"Male","Republican","Armed Forces",432
117,"Male","Republican","Government Operations and Politics",336
117,"Male","Republican","Economics and Public Finance",330
118,"Female","Democratic","Government Operations and Politics",834
118,"Female","Democratic","Foreign Affairs",466
118,"Female","Democratic","Congressional political operations",264
118,"Female","Democratic","International Trade",138
118,"Female","Democratic","Civil Rights and Liberties, Minority Issues",114
118,"Female","Independent","Congressional political operations",8
118,"Female","Independent","Government Operations and Politics",8
118,"Female","Independent","Civil Rights and Liberties, Minority Issues",4
118,"Female","Independent","Economics and Public Finance",4
118,"Female","Independent","Foreign Affairs",4
118,"Female","Republican","Congressional political operations",154
118,"Female","Republican","Foreign Affairs",144
118,"Female","Republican","Government Operations and Politics",134
118,"Female","Republican","Economics and Public Finance",54
118,"Female","Republican","International Trade",54
118,"Male","Democratic","Government Operations and Politics",1356
118,"Male","Democratic","Foreign Affairs",410
118,"Male","Democratic","Congressional political operations",342
118,"Male","Democratic","International Trade",182
118,"Male","Democratic","Economics and Public Finance",152
118,"Male","Independent","Government Operations and Politics",56
118,"Male","Independent","Congressional political operations",6
118,"Male","Independent","Foreign Affairs",6
118,"Male","Independent","Health",6
118,"Male","Independent","Civil Rights and Liberties, Minority Issues",2
118,"Male","Republican","Foreign Affairs",1146
118,"Male","Republican","Congressional political operations",798
118,"Male","Republican","Government Operations and Politics",516
118,"Male","Republican","Economics and Public Finance",414
118,"Male","Republican","International Trade",360
