Variable,Estimate,Est.Error,Q2.5,Q97.5
committee_ne_raw0,0.4166890728830807,1.3305176834041204,-2.0825212927021552,3.0245821781725137
committee_pl_raw3,0.3461591773107767,1.3307003203855914,-2.2034769809174457,2.8671111388759933
leverage_ne_rawM2,-0.18657051911569042,2.5463323055971983,-4.813287675233602,4.861251935138383
leverage_ne_rawM1,0.1599915646241759,2.415339931924004,-4.568886134771798,5.2304282438005645
committee_pl_raw2,-0.13819696227025727,1.3472327994671431,-2.7328267539712456,2.3942874504997738
committee_pl_raw1,0.07779673373652966,1.3384677625879307,-2.5477041554624478,2.4851243833419145
leverage_pl_raw2,0.0756821860753404,2.5698341026620763,-4.769478019952389,4.8053330950400435
leverage_pl_raw3,-0.06678841943546507,2.392063752020604,-4.593559897248442,4.567593468477003
leverage_pl_raw1,0.011919509602212717,2.3470476224806083,-4.528269468513417,4.564159256711043
leverage_ne_raw0,0.011831084378509969,2.585777291457142,-4.563233727717921,5.408238641731615
