congress,gender,issue,total_mentions
115,Female,Foreign Affairs,1408
115,Female,International Trade,736
115,Female,Congressional political operations,596
115,Female,Government Operations and Politics,518
115,Female,,356
115,Male,Foreign Affairs,3366
115,Male,International Trade,1450
115,Male,Congressional political operations,1120
115,Male,Government Operations and Politics,766
115,Male,Human Rights,610
116,Female,Foreign Affairs,1138
116,Female,Congressional political operations,748
116,Female,International Trade,706
116,Female,Government Operations and Politics,528
116,Female,Economics and Public Finance,526
116,Male,Foreign Affairs,3226
116,Male,International Trade,1808
116,Male,Congressional political operations,1464
116,Male,Government Operations and Politics,1276
116,Male,Human Rights,838
117,Female,Foreign Affairs,2624
117,Female,Government Operations and Politics,624
117,Female,Alliance and Collective Security,592
117,Female,Economics and Public Finance,492
117,Female,Armed Forces,476
117,Male,Foreign Affairs,3942
117,Male,Alliance and Collective Security,1092
117,Male,Government Operations and Politics,962
117,Male,Armed Forces,910
117,Male,Congressional political operations,756
118,Female,Government Operations and Politics,976
118,Female,Foreign Affairs,614
118,Female,Congressional political operations,426
118,Female,International Trade,194
118,Female,"Civil Rights and Liberties, Minority Issues",160
118,Male,Government Operations and Politics,1928
118,Male,Foreign Affairs,1562
118,Male,Congressional political operations,1146
118,Male,Economics and Public Finance,566
118,Male,International Trade,542
