congress,committee_el,issue,total_mentions
115,Committee on Appropriations,"Art, Culture, Religion",390
115,Committee on Armed Services,"Art, Culture, Religion",338
115,Committee on Foreign Affairs,"Art, Culture, Religion",338
115,Committee on Appropriations,law,290
115,Committee on Financial Services,"Art, Culture, Religion",280
115,Committee on Agriculture,"Art, Culture, Religion",262
115,Committee on Appropriations,labor and employment,254
115,NA,"Art, Culture, Religion",1216
115,Committee on Energy and Commerce,"Art, Culture, Religion",238
115,Committee on Foreign Affairs,law,238
115,Committee on Armed Services,law,224
115,Committee on Armed Services,labor and employment,218
115,Committee on Financial Services,law,180
115,Committee on Agriculture,labor and employment,178
115,Committee on Financial Services,labor and employment,174
115,Committee on Energy and Commerce,labor and employment,172
115,Committee on Foreign Affairs,labor and employment,170
115,Committee on Armed Services,"science, technology, communications",164
115,Committee on Foreign Affairs,National Security,160
115,Committee on Agriculture,law,158
115,Committee on Foreign Affairs,"science, technology, communications",154
115,Committee on Appropriations,"science, technology, communications",152
115,Committee on Energy and Commerce,law,152
115,Committee on Appropriations,education,136
115,Permanent Select Committee on Intelligence,"Art, Culture, Religion",136
115,Committee on the Budget,"Art, Culture, Religion",128
115,NA,law,876
115,Committee on Armed Services,human rights,116
115,Committee on Financial Services,education,112
115,Committee on Agriculture,"science, technology, communications",110
115,NA,labor and employment,786
115,Committee on Financial Services,"science, technology, communications",108
115,Committee on Ways and Means,"Art, Culture, Religion",98
115,Committee on Education and the Workforce,"Art, Culture, Religion",94
115,Permanent Select Committee on Intelligence,law,94
115,Committee on Energy and Commerce,education,92
115,Permanent Select Committee on Intelligence,labor and employment,86
115,Committee on Homeland Security,"Art, Culture, Religion",84
115,Committee on Oversight and Accountability,"Art, Culture, Religion",82
115,Committee on Energy and Commerce,health,78
115,Special Committee on Aging,"Art, Culture, Religion",78
115,Committee on Ways and Means,law,76
115,Committee on the Budget,labor and employment,76
115,Committee on the Budget,law,76
115,Committee on Agriculture,health,74
115,Committee on Education and the Workforce,law,68
115,Committee on Ways and Means,labor and employment,68
115,Permanent Select Committee on Intelligence,"science, technology, communications",68
115,Select Committee on Intelligence,"Art, Culture, Religion",68
115,Special Committee on Aging,law,68
115,Committee on Education and the Workforce,labor and employment,66
115,Committee on Natural Resources,"Art, Culture, Religion",62
115,Committee on Homeland Security,labor and employment,58
115,Committee on Oversight and Accountability,labor and employment,56
115,Committee on Oversight and Accountability,law,56
115,Committee on Transportation and Infrastructure,"Art, Culture, Religion",56
115,Permanent Select Committee on Intelligence,National Security,56
115,Committee on Homeland Security,law,54
115,Select Committee on Intelligence,law,54
115,Committee on Education and the Workforce,"science, technology, communications",52
115,Special Committee on Aging,labor and employment,52
115,Select Committee on Intelligence,labor and employment,50
115,Committee on the Judiciary,"Art, Culture, Religion",48
115,NA,"science, technology, communications",528
115,Committee on Indian Affairs,"Art, Culture, Religion",46
115,Committee on the Budget,National Security,46
115,Committee on Indian Affairs,law,44
115,Committee on Natural Resources,labor and employment,44
115,"Committee on Commerce, Science, and Transportation","Art, Culture, Religion",42
115,Committee on Education and the Workforce,health,42
115,Committee on Natural Resources,law,40
115,Committee on the Budget,health,40
115,Committee on Transportation and Infrastructure,labor and employment,38
115,Special Committee on Aging,"science, technology, communications",38
115,"Committee on Commerce, Science, and Transportation",law,36
115,Committee on Homeland Security,"science, technology, communications",36
